timestamp,accX,accY,accZ
0,-1724,-6666,6364
2,-1550,-4208,7482
3,-1458,-6870,8436
4,-1560,-5478,6474
6,-1388,-5302,7676
7,-1206,-5606,7688
9,-1254,-3918,7230
10,-952,-3834,7838
11,-812,-3158,6880
13,-1084,-3920,8404
14,-1052,-2804,7248
15,-1340,-4452,7654
17,-1680,-4202,7724
18,-1554,-4022,7388
20,-1440,-4790,7352
21,-1404,-4492,6662
22,-1436,-5470,8052
24,-1254,-4118,6304
25,-974,-4932,8226
26,-1394,-3852,7818
28,-972,-4060,6242
29,-998,-4262,7900
31,-1440,-3802,7572
32,-960,-4184,6984
33,-1806,-4482,7662
35,-1418,-4834,7366
36,-1480,-5054,6914
37,-1576,-5794,7054
39,-1668,-5594,7212
40,-1266,-6672,7266
42,-1510,-6150,6640
43,-1532,-5512,7444
44,-1180,-5500,7436
46,-1496,-3868,7020
47,-1434,-4640,7360
48,-1250,-3336,7294
50,-1456,-4588,7002
51,-1466,-3144,7032
53,-1330,-4062,7328
54,-1632,-4396,6672
55,-1346,-4126,7228
57,-1540,-5064,6714
58,-1564,-3950,6852
59,-1464,-5618,7440
61,-1062,-3856,6298
62,-1370,-4258,7326
64,-1160,-3426,6800
65,-1026,-3598,6562
66,-1312,-3908,8002
68,-930,-3710,6754
69,-1376,-3982,7050
70,-1448,-3892,7098
72,-1362,-4850,7590
73,-1578,-4426,7058
75,-1280,-5322,6974
76,-1660,-5208,7790
77,-1588,-5498,6540
79,-1058,-4544,6974
80,-1222,-4802,7654
81,-1146,-4050,6812
83,-1070,-3938,7090
84,-1390,-3146,7122
86,-1050,-4028,7524
87,-1482,-5040,6386
88,-1302,-4284,7404
90,-1674,-5860,8024
91,-1580,-4818,6942
92,-1704,-5738,7824
94,-1500,-5576,7106
95,-1622,-5348,7306
97,-1246,-4950,7136
98,-1198,-5406,7558
99,-1574,-4556,7888
101,-952,-3942,6488
102,-1346,-3924,7640
104,-1558,-4212,6890
105,-1280,-3230,6714
106,-1562,-4124,7742
108,-1606,-4406,7384
109,-1620,-4896,7426
110,-1594,-5220,7094
112,-1224,-5050,7650
113,-1578,-5386,7696
115,-1092,-4222,7072
116,-1294,-4350,7802
117,-1160,-3996,6810
119,-1250,-3602,7016
120,-972,-4170,7504
121,-954,-3534,7434
123,-1182,-4366,7834
124,-1318,-3852,6792
126,-1456,-4900,8334
127,-1564,-5216,7774
128,-1532,-4920,7174
130,-1362,-6422,8342
131,-1694,-5398,6528
132,-978,-5966,7772
134,-1282,-5064,6980
135,-1278,-5082,7594
137,-1314,-4602,7798
138,-1334,-3336,6638
139,-1498,-4824,8084
141,-1602,-4078,7302
142,-1380,-5054,7082
143,-1674,-4368,7026
145,-1560,-5332,7398
146,-1598,-4404,6690
148,-1578,-5378,7068
149,-1774,-4442,7340
150,-1058,-4626,6160
152,-1462,-4600,8158
153,-1142,-3684,6874
155,-978,-4722,7260
156,-1504,-3744,7822
157,-1066,-4094,7098
159,-1078,-3708,7674
160,-1518,-4640,7644
162,-1206,-3810,7600
163,-1760,-5800,7890
164,-1704,-4542,6984
166,-1170,-5566,8236
167,-1488,-6114,7932
168,-1088,-3796,6968
170,-1192,-5680,8516
171,-1220,-3872,7462
173,-1286,-4538,7256
174,-880,-3982,7594
175,-1344,-2562,7586
177,-974,-4318,7414
178,-1494,-3108,6386
179,-1138,-5748,8282
181,-1714,-4198,6548
182,-1498,-4890,8238
184,-1348,-4586,6536
185,-1876,-4956,7052
186,-1540,-4844,7322
188,-1114,-4042,5466
189,-1300,-5326,8942
191,-1334,-3954,6564
192,-788,-4574,7452
193,-1018,-3610,7942
195,-1086,-4502,6946
196,-1228,-3888,7184
198,-1494,-4150,7272
199,-1370,-5808,7214
200,-1810,-5174,7414
202,-1380,-6540,6982
203,-1500,-5024,7156
205,-1282,-6702,7834
206,-1762,-3270,6822
207,-940,-5436,7814
209,-1146,-4104,7162
210,-1176,-4664,7214
211,-836,-3740,6670
213,-1176,-5264,7576
214,-1484,-3652,7014
216,-1334,-2476,8184
217,-1216,-5544,7258
218,-1714,-2228,6502
220,-1340,-6972,8336
221,-1518,-3454,5878
222,-1272,-4042,8998
224,-1224,-4320,6936
225,-1110,-2960,5820
227,-1052,-4082,8384
228,-1030,-3132,6382
229,-1122,-4034,8108
231,-1102,-3834,7266
232,-1358,-4634,6776
234,-1176,-3930,7248
235,-1522,-5654,7756
236,-1094,-5818,6604
238,-1584,-5764,6896
239,-1608,-6638,7616
241,-1050,-4606,5578
242,-1248,-5996,7452
243,-1598,-3984,7284
245,-918,-4938,6276
246,-862,-4130,7770
248,-1162,-4374,7146
249,-646,-3968,7242
250,-2064,-4786,7040
252,-920,-4040,6910
253,-1608,-4348,7896
254,-1558,-5330,7066
256,-1520,-3862,6624
257,-1744,-6488,8462
259,-1628,-4416,6658
260,-1566,-3594,7798
261,-1414,-4780,7892
263,-1554,-2708,7406
264,-1072,-4614,7464
265,-1170,-2590,6550
267,-1326,-3766,7906
268,-1332,-2420,6792
270,-1202,-3814,7348
271,-1198,-4002,6758
272,-1818,-4104,7944
274,-1242,-6762,6012
275,-1410,-3778,6262
