timestamp,accX,accY,accZ
0,-1612,-6916,7976
2,-1218,-7790,7478
3,-214,-6060,7722
5,68,-5480,5966
6,-330,-2006,5370
7,-592,-1180,5786
9,-1748,-3506,6904
10,-2570,-2922,6344
11,-2784,-4214,8900
13,-1942,-7684,9204
14,-1308,-7284,7746
15,-788,-6666,8138
17,298,-6110,7784
18,120,-5116,5714
20,-886,-1784,5656
21,-750,-2362,6348
22,-2082,-1880,6924
24,-2744,-2708,7034
25,-2560,-4626,8786
26,-1914,-6706,8772
28,-1062,-6530,7534
29,-426,-6670,7848
31,-210,-5316,7020
32,-234,-3578,6344
33,-1202,-1870,5962
35,-1626,-1314,6092
36,-2368,-2882,7410
37,-3396,-3866,7602
39,-3310,-4988,8992
40,-1872,-7818,8454
42,-1380,-6814,7604
43,-678,-6990,8600
44,-6,-5436,6608
46,-498,-3378,6516
47,-1322,-2066,6468
48,-1162,-2472,6008
50,-1820,-3130,7318
51,-2176,-5198,7912
53,-2142,-6246,8142
54,-1336,-7024,8114
55,-798,-7636,8354
57,-56,-6330,7622
58,90,-4484,6476
60,-244,-2586,6180
61,-1424,-2416,6518
62,-2070,-1612,6072
64,-2304,-2998,7178
65,-3000,-4288,8682
66,-2638,-5950,8352
68,-1462,-6700,7782
69,-394,-7486,7916
71,-538,-5278,6920
72,-256,-3608,6954
73,-698,-2636,5880
75,-1570,-1234,5584
76,-2338,-2038,6938
78,-3086,-4062,6890
79,-2716,-4974,7542
80,-2414,-7064,9176
82,-1170,-7666,7472
83,-774,-6826,7466
84,-186,-5658,7558
86,-222,-4096,6442
87,-890,-2840,6492
88,-1644,-2980,6474
90,-2012,-2570,6982
91,-2608,-3596,7124
93,-1878,-5668,8366
94,-1786,-6922,7732
95,-432,-7062,7408
97,186,-7060,7692
98,270,-4738,6308
99,18,-3064,6222
101,-774,-2008,6004
102,-1608,-1842,6144
104,-2412,-1644,6692
105,-3164,-4332,7770
106,-2712,-5754,8750
108,-2186,-6860,7618
109,-1166,-6770,7930
110,-624,-7198,8616
112,-172,-3776,5822
113,-572,-2794,6142
115,-1356,-1836,6082
116,-1786,-1974,6346
117,-2584,-2940,6396
119,-2754,-5762,7804
120,-1988,-6638,8212
121,-1718,-7206,8278
123,-460,-7126,7802
124,-306,-6358,7834
126,76,-3788,6690
127,-204,-2444,5596
128,-1016,-2994,6304
130,-1876,-2484,6520
131,-2710,-2952,6736
132,-2504,-5918,8858
134,-1744,-6434,8526
135,-1338,-6022,7866
137,-64,-7620,8228
138,134,-6532,6840
139,368,-3024,6596
141,-274,-1874,6398
142,-760,-1830,5506
143,-2194,-1314,6906
145,-2734,-3324,7838
146,-2938,-5340,7768
148,-2098,-6408,8972
149,-1644,-7258,7464
150,-578,-6842,7928
152,-600,-5158,7732
153,-296,-3698,6364
155,-1694,-2220,5888
156,-1702,-2042,6900
157,-2294,-3238,7264
159,-3014,-3706,7486
160,-3034,-5932,9224
161,-1718,-7662,9010
163,-886,-7484,7032
164,98,-7004,8254
165,140,-6262,7326
167,38,-2990,6098
168,-450,-1474,6010
170,-924,-2160,6466
171,-2430,-2448,6630
172,-2700,-3666,7648
174,-2212,-6440,8440
175,-1704,-6930,8522
177,-890,-7364,8050
178,266,-6376,8044
179,-112,-4856,6982
181,-128,-2422,6324
182,-1410,-1188,6682
183,-1578,-1394,6638
185,-2458,-2982,6944
186,-2904,-4056,7522
187,-2412,-6518,8690
189,-1434,-7142,8284
190,-738,-7022,8038
192,-520,-6376,8036
193,-290,-4500,7508
194,-734,-2350,6490
196,-1568,-2878,6342
197,-2196,-2624,6622
198,-3376,-3400,7262
200,-3062,-4654,8174
201,-2246,-6994,8572
203,-1478,-6512,8012
204,-704,-6936,8244
205,618,-6512,6698
207,198,-4854,6346
208,-560,-1774,6476
209,-794,-2336,6000
211,-1384,-1762,6602
212,-2488,-3770,8050
214,-2478,-5360,7664
215,-1966,-6814,8324
216,-932,-6822,7934
218,-236,-7678,7686
219,-518,-4726,6948
220,-370,-3366,7142
222,-548,-1824,5986
223,-2060,-1600,6036
225,-2860,-1782,7904
226,-2868,-4396,7006
227,-2930,-3952,7634
229,-2334,-7440,9024
230,-1120,-6860,7054
231,-224,-6530,8394
233,90,-5068,7104
234,-404,-4008,5802
236,-986,-1530,6340
237,-1628,-2274,6370
238,-1970,-2714,7054
240,-2856,-4402,7638
241,-2518,-5484,8470
242,-2236,-6860,8128
244,-640,-7728,7092
245,-416,-7148,8184
247,-162,-5378,6820
248,-150,-3142,5642
249,-384,-2242,6752
251,-1698,-1950,6236
252,-1918,-1602,7160
254,-2108,-4552,7250
255,-1826,-6028,8404
256,-1586,-7270,7708
258,-344,-7228,7536
259,-40,-6190,7598
260,-72,-3996,7232
262,-920,-2154,6016
263,-1204,-2124,6250
264,-2272,-2378,6664
266,-2754,-3202,7348
267,-3154,-4690,8092
269,-2734,-5982,9226
270,-2076,-6382,7724
271,-646,-6602,7888
273,-710,-6342,6928
274,-460,-4522,6300
