timestamp,accX,accY,accZ
0,-850,-4956,7458
2,-1008,-4740,7480
3,-968,-3762,7014
5,-772,-3866,6822
6,-1074,-4348,6922
7,-1756,-4088,7478
9,-1708,-4348,7354
10,-944,-5214,7224
11,-1728,-3842,7668
13,-1792,-5534,8200
14,-1350,-5708,6152
16,-742,-4436,6764
17,-1660,-4710,7778
18,-1402,-4364,6274
20,-850,-2762,6158
21,-1146,-3762,8256
22,-2036,-3192,7112
24,-1410,-3504,7326
25,-1648,-4976,8148
27,-1668,-5690,7996
28,-1756,-5198,7320
29,-1418,-6454,8200
31,-1688,-5420,7780
32,-1196,-4270,7112
33,-1500,-4066,7650
35,-1106,-4346,7180
36,-1270,-3698,6176
38,-810,-4146,6864
39,-1176,-4588,6744
40,-1334,-4540,7224
42,-1646,-4672,7280
43,-1664,-4772,7548
45,-1874,-5550,7010
46,-1410,-5692,7752
47,-1338,-6094,7624
49,-792,-4628,6670
50,-1098,-5156,7716
51,-960,-4074,6560
53,-852,-3494,6164
54,-844,-3666,7518
56,-1700,-4362,7396
57,-1392,-4560,6806
58,-1478,-4954,7712
60,-1638,-5226,8376
61,-1912,-5048,7252
62,-1482,-5022,7686
64,-1196,-4394,7828
65,-1270,-3810,7096
67,-1186,-3898,6776
68,-750,-3946,6966
69,-890,-3136,6588
71,-1518,-3732,7402
72,-1408,-4678,7194
74,-1936,-4272,8260
75,-1860,-4948,7666
76,-2024,-5492,8028
78,-2048,-6184,7864
79,-1596,-5360,7392
81,-1218,-4982,7366
82,-1312,-4422,7276
83,-1222,-3752,6876
85,-814,-3682,7394
86,-1002,-3736,6658
88,-1654,-4840,6898
89,-1374,-4472,7140
90,-1090,-5904,7890
92,-1570,-5312,6390
93,-1608,-5342,8024
94,-1730,-6156,8982
96,-1144,-4842,5900
97,-1334,-4886,6988
99,-1242,-4706,7088
100,-632,-4206,5838
101,-716,-3610,5920
103,-884,-3422,7924
104,-1294,-3936,7224
105,-1378,-3840,7302
107,-1356,-4932,8626
108,-1680,-5506,7766
110,-1984,-5686,7504
111,-1516,-5562,8318
112,-1086,-4578,6662
114,-1722,-3480,7488
115,-1204,-3506,7828
116,-922,-3276,5782
118,-1212,-2970,6636
119,-1218,-4866,6802
121,-1210,-4176,6636
122,-1738,-5184,7224
123,-1718,-4640,8310
125,-1846,-5156,7964
126,-1984,-4698,7986
128,-1728,-5732,8432
129,-912,-5142,6738
130,-1304,-5076,7166
132,-1338,-4892,7628
133,-738,-3544,5976
135,-876,-4042,6706
136,-1552,-4376,7426
137,-1680,-4594,7374
139,-1376,-5776,7482
140,-1456,-5254,7766
141,-1788,-5784,8130
143,-1654,-5352,6850
144,-1020,-4816,7272
146,-1308,-4142,7570
147,-848,-4132,6780
148,-846,-3926,6490
150,-292,-4564,6964
151,-1102,-4052,7110
153,-1280,-4660,7118
154,-1800,-3762,7656
155,-1502,-5096,8084
157,-2464,-4008,7756
158,-1908,-5532,8094
160,-1576,-5322,6830
161,-1012,-5314,7448
162,-1398,-3902,7312
164,-868,-4198,6694
165,-1062,-2986,6870
166,-980,-3678,7312
168,-1728,-3128,6716
169,-1590,-4624,7438
171,-2116,-4868,7508
172,-1912,-5458,8500
173,-1758,-4878,6692
175,-2114,-5642,8636
176,-1750,-4968,8460
177,-596,-4728,6238
179,-1250,-4648,7552
180,-1056,-5160,6674
182,-740,-4816,5810
183,-754,-4516,6826
184,-1164,-3952,7298
186,-1614,-4748,7434
187,-1846,-4082,7626
188,-1514,-5224,7744
190,-1838,-5418,7316
191,-1706,-6044,7726
193,-848,-5114,7088
194,-722,-5176,7154
195,-952,-3722,7698
197,-982,-3716,6420
198,-872,-2776,6054
200,-1104,-4142,7706
201,-1680,-3544,6638
202,-1312,-4732,6628
204,-1300,-5516,8252
205,-1802,-4290,8138
206,-1606,-4772,6974
208,-1804,-4864,7870
209,-1598,-4678,7758
211,-1268,-4196,6674
212,-1416,-4432,7016
213,-1074,-4244,7274
215,-1010,-3512,6616
216,-1028,-4038,7122
217,-1588,-3798,7526
219,-1796,-4920,7672
220,-1852,-5140,7556
222,-1662,-5992,7924
223,-2410,-5474,7644
224,-1296,-5420,7464
226,-1078,-4688,7254
227,-1050,-4160,6820
228,-1222,-4678,7016
230,-364,-4482,6614
231,-878,-4164,6800
233,-1364,-5030,7156
234,-1600,-4650,7032
235,-1360,-5192,7762
237,-1870,-4690,7336
238,-1882,-4410,8140
239,-1542,-5044,7590
241,-1162,-5412,7124
242,-1070,-5394,7144
243,-818,-4770,7848
245,-924,-4356,7136
246,-848,-3506,7066
248,-1150,-3570,7458
249,-1086,-2916,7248
251,-1528,-3672,6676
252,-1624,-5064,8268
253,-2142,-4330,7514
255,-1384,-5202,7514
256,-1590,-4614,7808
258,-1376,-4802,8016
259,-1328,-3890,6580
260,-910,-4388,7462
262,-1488,-4204,6590
263,-1346,-4252,6430
265,-854,-4830,7004
266,-1468,-3410,7138
267,-1864,-4516,7484
269,-1750,-4600,7608
270,-1710,-4928,7366
271,-1938,-5320,7750
273,-1340,-6584,7768
274,-1086,-5224,6886
276,-840,-5028,7396
