timestamp,accX,accY,accZ
0,-214,-4572,6942
2,-954,-3124,7324
3,-960,-3590,7092
4,-1486,-3038,6626
6,-1752,-4600,8292
7,-2230,-4796,7178
9,-2408,-5018,8054
10,-2354,-6814,7554
11,-1974,-7102,6614
13,-1512,-6580,7272
14,-480,-5948,6322
16,-494,-6138,7482
17,170,-4118,6368
18,6,-2946,6556
20,-152,-2674,7972
21,-1346,-2292,6744
22,-1004,-1944,8788
24,-2118,-3710,7718
25,-2516,-3260,7078
26,-2590,-5918,8372
28,-2196,-5868,6754
29,-1920,-5728,7274
31,-978,-6026,6626
32,-906,-5366,6970
33,-430,-4094,6362
35,-64,-3266,6120
36,-360,-2226,7572
38,-852,-1708,6930
39,-1192,-2056,8094
40,-2244,-2024,7964
42,-2448,-3386,8304
43,-2860,-3980,7268
45,-2838,-5728,8036
46,-2244,-7886,6206
47,-1434,-6930,6130
49,-1028,-7594,7606
50,-894,-5638,5694
51,-6,-5520,6518
53,-168,-4182,7056
54,-292,-3684,7310
56,-1028,-2332,7188
57,-1236,-3476,7872
58,-2344,-3650,8334
60,-2862,-4864,7790
61,-3004,-5446,7636
63,-2518,-6418,7886
64,-2146,-7158,6778
65,-746,-6694,5642
67,-758,-7004,7442
68,416,-5062,5860
69,608,-5154,6556
71,74,-3306,7864
72,-24,-2632,6802
74,-452,-2464,8008
75,-1862,-2316,8564
76,-2270,-1736,8538
78,-3092,-4358,8364
79,-3126,-4318,7410
81,-2808,-7074,7816
82,-1806,-5888,6146
83,-1622,-6278,8008
85,-340,-5606,6396
86,226,-4574,5154
87,402,-4434,7714
89,450,-2122,6758
90,-122,-2424,6996
91,-790,-1078,8076
93,-1856,-2214,8784
94,-2462,-2314,7450
96,-3074,-4564,8242
97,-3396,-5600,7628
98,-2350,-7204,6608
100,-1932,-7528,7018
101,-1454,-8058,6962
103,-696,-7666,6794
104,478,-5708,5500
105,522,-4906,7490
107,-354,-4020,7744
108,-326,-1628,6442
110,-1608,-2190,8686
111,-2212,-3160,7978
112,-2990,-3790,7830
114,-3004,-4882,8336
115,-3140,-6474,7650
116,-2252,-7158,7164
118,-1534,-8086,6752
119,-496,-7054,6804
121,182,-6458,5540
122,522,-5056,6546
123,760,-3944,6830
125,332,-2540,7102
126,-980,-1638,7602
128,-1158,-974,8902
129,-2846,-2304,8274
130,-3098,-1320,7668
132,-3376,-6022,8832
133,-2868,-4652,6358
134,-2144,-6144,8390
136,-2010,-6578,6954
137,-128,-5954,4930
138,136,-5352,6900
140,588,-3260,6276
141,616,-3658,6856
143,-496,-1436,7010
144,-982,-1708,7728
145,-1814,-1282,7986
147,-2858,-2336,7972
148,-3484,-4038,8506
150,-3462,-5714,7572
151,-3134,-6770,7788
152,-2434,-7912,6900
154,-1362,-8456,7170
155,-498,-7166,5142
157,378,-6446,6248
158,652,-4880,5722
159,472,-3428,6212
161,-298,-2916,7218
162,-816,-2374,7668
164,-2368,-2720,8674
165,-2944,-2916,8014
166,-3618,-4940,9010
168,-3256,-6066,8298
169,-2746,-6500,6714
171,-1734,-7886,7598
172,-918,-7968,5230
173,332,-6178,6170
175,586,-5482,6658
176,926,-3618,6484
177,182,-2586,6946
179,-136,-1174,8304
180,-1730,-2206,8512
182,-2468,-604,8344
183,-3406,-3738,9392
184,-3586,-3626,8082
186,-2896,-6028,7716
187,-2314,-5616,7062
189,-1586,-6588,7046
190,-12,-5952,5162
191,360,-5654,6986
193,436,-4924,6842
194,672,-3474,5514
196,100,-2352,8222
197,-1322,-2264,8492
198,-2040,-1376,8474
200,-3378,-2422,8876
201,-3646,-4248,8772
203,-3858,-6194,8086
204,-2920,-6978,6862
205,-2228,-7296,7370
207,-782,-8110,6054
208,-60,-7444,5436
209,344,-5650,6300
211,958,-4954,5788
212,572,-4454,6460
214,42,-2824,7116
215,-1250,-2838,8260
216,-1810,-1854,7962
218,-3158,-3046,8904
219,-3208,-4480,8084
220,-3150,-5080,7658
222,-2776,-5954,7814
223,-1448,-7038,6176
225,-694,-7226,6446
226,210,-5322,5490
227,986,-5300,6192
229,890,-4846,6124
230,232,-1636,7018
232,-524,-2216,8384
233,-1434,-780,8230
234,-2718,-2454,8924
236,-3384,-1770,8478
237,-3384,-4958,8822
238,-3184,-4846,7792
240,-2804,-5236,8058
241,-1626,-6566,7126
242,-580,-6236,5298
244,-276,-5922,6474
245,866,-5192,5870
247,486,-4574,6566
248,-290,-2410,7194
249,-430,-2456,7410
251,-1472,-1716,8700
252,-2636,-2348,7766
253,-3386,-3668,8916
255,-3346,-5172,7716
256,-3136,-5952,7292
258,-2782,-7640,7698
259,-1380,-7800,6114
260,-466,-7300,6088
262,420,-6978,5956
263,608,-6000,6240
264,744,-3644,6488
266,64,-3594,7364
267,-684,-3142,7426
269,-1752,-1636,8448
270,-2530,-2798,8714
271,-3046,-3940,8248
273,-3306,-4706,8152
274,-2706,-5860,7508
276,-2040,-6512,7574
