timestamp,accX,accY,accZ
0,-1886,-4284,7572
2,-1152,-5746,6942
3,-1554,-4390,6768
5,-934,-5076,7104
6,-1138,-4864,7162
7,-1110,-5246,6920
9,-1362,-4496,7630
10,-1300,-5946,7854
11,-1442,-5484,6714
13,-1468,-5798,8418
14,-1240,-5492,7296
15,-1530,-3570,7878
17,-1366,-4316,8236
18,-1126,-3106,6492
20,-616,-3812,7578
21,-930,-2638,7040
22,-818,-4232,6686
24,-1048,-2604,7196
25,-1416,-4574,7958
26,-1298,-3110,6918
28,-1646,-4976,8714
29,-1818,-4766,6738
31,-1488,-5230,7954
32,-1828,-5568,8174
33,-1338,-4392,6974
35,-1632,-5506,8292
36,-1152,-3270,6160
38,-1082,-4846,7618
39,-1494,-3350,7932
40,-1046,-4230,6446
42,-1746,-4392,8140
43,-1700,-5002,6504
44,-1692,-4932,7440
46,-1774,-5804,8216
47,-2034,-5268,6816
49,-1660,-5942,8064
50,-1298,-4800,6526
52,-1324,-4934,7106
53,-1040,-5542,6758
54,-586,-4364,6216
56,-756,-4252,7002
57,-664,-3758,7274
58,-950,-4494,6748
60,-1220,-3494,7816
61,-1462,-5356,7856
62,-1750,-4658,7144
64,-1742,-5956,7734
65,-1910,-5296,7608
67,-1410,-5212,7388
68,-1264,-4378,6768
69,-894,-4568,7064
71,-960,-4862,6588
72,-478,-2770,6316
74,-616,-3638,7572
75,-1054,-2550,6858
76,-1086,-3116,7248
78,-1788,-3256,7886
79,-1848,-4498,7974
81,-2014,-4018,7264
82,-2298,-6004,8448
83,-2298,-5164,7618
85,-1036,-6220,6982
86,-1596,-4790,7512
87,-1102,-4910,6958
89,-698,-3922,6560
90,-692,-3598,6836
92,-678,-3344,6964
93,-1342,-4218,7478
94,-1486,-4282,6700
96,-1912,-4804,8476
97,-2324,-5934,6856
98,-2352,-5198,7644
100,-2508,-7420,8784
101,-1990,-6462,6582
103,-1390,-7246,7500
104,-898,-5734,6656
105,-400,-5678,7098
107,-442,-4212,6950
108,-30,-3700,6730
110,-616,-3262,7194
111,-922,-3660,7342
113,-1436,-3444,6732
114,-2076,-3882,8472
115,-2136,-4446,7396
117,-2376,-5446,7226
118,-2314,-6112,7578
119,-1436,-5916,7160
121,-1292,-5552,7028
122,-422,-4388,6850
123,-224,-4396,6722
125,-460,-2566,6812
126,-200,-2562,6440
128,-434,-2082,7672
129,-1438,-2384,7414
130,-1810,-2122,7610
132,-2368,-4522,7968
133,-2734,-4452,7512
135,-2662,-5366,7864
136,-1880,-6640,6866
137,-1852,-5876,6924
139,-1352,-5726,6788
140,-722,-4784,6512
141,-440,-4778,7122
143,-176,-3312,6492
144,-292,-3784,6858
145,-1020,-2140,7028
147,-1646,-3722,7792
148,-2072,-4470,7410
150,-2504,-5234,8060
151,-2656,-6052,7754
153,-2878,-7704,8202
154,-1896,-7612,7216
155,-1206,-6046,7272
157,-858,-6822,7674
158,-210,-4632,5994
159,38,-4820,7030
161,56,-3304,6780
162,-98,-3054,7346
164,-1308,-1768,7632
165,-1532,-3000,7384
166,-1956,-2990,8414
168,-2716,-4518,8294
169,-2960,-5066,7436
171,-2068,-7238,7986
172,-2198,-7026,6326
173,-1442,-6190,7448
175,-374,-6104,6998
176,108,-3936,6590
177,226,-2912,7194
179,274,-2052,6830
180,-158,-1538,6972
182,-1386,-1210,7534
183,-1766,-2988,7540
184,-2834,-2364,8048
186,-3146,-4786,7468
187,-3234,-5380,7142
188,-2796,-7654,8930
190,-2126,-6954,5728
191,-842,-7754,7100
192,-878,-6892,7582
194,-20,-4536,5802
195,100,-4082,7006
197,-50,-3532,6602
198,-822,-2578,7278
199,-1424,-2666,7894
201,-1844,-3414,7530
202,-2672,-4266,8394
203,-3284,-5818,7452
205,-2454,-6508,7694
206,-2212,-7776,7630
208,-1930,-6658,6328
209,-470,-7276,6854
210,-134,-6846,5784
212,656,-4106,5792
213,598,-4098,6996
214,90,-2138,6832
216,-580,-1508,6702
217,-1260,-1360,8798
219,-2502,-2454,7962
220,-2808,-2172,7528
221,-3210,-5724,8590
223,-2884,-5530,6782
224,-2232,-6554,7450
226,-1422,-6012,6512
227,-538,-5950,6628
228,-104,-4068,6068
230,582,-3324,5866
231,524,-3282,7422
232,-216,-1200,6672
234,-762,-2012,6696
235,-1852,-2158,9170
236,-2812,-3340,8546
238,-3030,-2654,8122
239,-3420,-7258,9862
241,-3082,-5796,5800
242,-1784,-8794,7748
244,-1616,-7060,7310
245,-258,-7354,6242
246,-126,-5420,6810
248,814,-4192,6174
249,-142,-3224,7204
250,-586,-2788,7580
252,-774,-2176,7560
253,-2418,-3130,9488
255,-2926,-3972,7256
256,-3180,-5564,8854
257,-3278,-7320,8810
259,-2968,-6396,6440
260,-1792,-8636,8134
261,-944,-8012,5476
263,444,-7104,6426
264,468,-4890,6584
266,1112,-3796,6274
267,314,-1802,6950
268,-242,-1016,7740
270,-1664,-960,7634
271,-2180,-996,8052
272,-2890,-3258,7996
274,-3298,-4008,7968
275,-3040,-6392,6894
