timestamp,accX,accY,accZ
0,-314,-4402,5892
2,-752,-3448,8000
3,-1138,-4322,7750
4,-1048,-4142,6070
6,-1564,-5496,8574
7,-1834,-6160,7826
9,-1756,-5642,7712
10,-1738,-6820,7966
11,-1400,-4432,6918
13,-1024,-5886,7872
14,-1172,-3912,6972
15,-586,-4432,7518
17,-942,-3542,7346
18,-550,-3388,6734
20,-562,-2448,7682
21,-1460,-2870,7770
22,-1272,-3856,7322
24,-1990,-3614,8654
25,-2030,-4808,8088
26,-2254,-4588,7500
28,-2170,-6906,8980
29,-1752,-5106,5998
31,-1220,-6268,7990
32,-1154,-4924,7604
33,-1010,-4748,7042
35,-688,-3468,7290
36,-600,-2806,6702
37,-1258,-3396,7736
39,-1644,-3358,7240
40,-1394,-3938,6800
41,-2156,-3850,8120
43,-2352,-6516,6860
44,-2244,-4322,6646
46,-1852,-7950,8864
47,-2164,-4634,5474
48,-612,-7186,6854
50,-1128,-6694,6454
51,-40,-5200,6390
53,-310,-4522,6824
54,-326,-4176,7284
55,-730,-3110,6988
57,-1510,-2390,7644
58,-1752,-3860,7190
59,-2200,-3446,7804
61,-2146,-5012,7006
62,-2096,-4028,6478
63,-1596,-7692,7426
65,-1886,-3636,5392
66,-584,-5498,7092
68,-894,-5782,6666
69,-18,-3800,6176
70,44,-3626,6732
72,-492,-3076,7340
73,-890,-2172,6858
74,-1720,-1512,8088
76,-2212,-3252,7860
77,-2454,-2432,8414
79,-2530,-5556,7858
80,-2068,-4304,7046
81,-2174,-6944,7448
83,-1316,-4084,5780
84,-886,-6136,7278
85,-760,-3722,6294
87,214,-4150,5362
88,-336,-4442,8118
90,-708,-2996,7094
91,-952,-3080,6104
92,-1520,-3782,9314
94,-2310,-4402,8196
95,-2432,-3444,7828
96,-2670,-7470,8278
98,-2612,-6166,7682
99,-1970,-8142,7176
101,-1060,-6148,6602
102,-376,-6038,7442
103,-210,-4406,6588
105,334,-3844,5708
106,498,-4378,7296
107,-750,-2888,7388
109,-644,-3406,6594
110,-1642,-3280,8638
111,-2344,-4192,8524
113,-2918,-4606,7880
114,-2838,-6426,9164
116,-2512,-5532,6520
117,-1638,-7590,7986
118,-1158,-5958,6876
120,-540,-5754,6886
121,-190,-4024,7262
123,192,-3090,6308
124,-376,-1850,7400
125,-626,-1722,7586
127,-1066,-1316,7484
128,-2056,-2252,8320
130,-2510,-4098,7040
131,-3308,-3904,8426
132,-2868,-6798,8948
134,-2658,-5732,6394
135,-1722,-7826,8022
136,-1522,-6628,5994
138,-44,-6240,6496
139,102,-5014,6670
140,156,-4068,6772
142,-136,-3172,7284
143,-514,-1966,6822
145,-1622,-2948,8274
146,-2564,-2918,8514
147,-2490,-4796,7248
149,-3172,-5368,8574
150,-2928,-7808,6884
152,-1772,-6284,6022
153,-1414,-8004,7610
154,-1098,-5474,5650
156,112,-5752,6462
157,712,-5786,6308
158,334,-3598,6832
160,312,-3110,7092
161,-768,-2252,7062
162,-1828,-2652,8848
164,-2382,-2210,7464
165,-3286,-4410,8094
167,-3100,-4350,8402
168,-2976,-6936,6982
169,-1930,-5488,6444
171,-1312,-7374,7030
172,-496,-4834,6182
174,368,-4848,6936
175,198,-2640,6424
176,430,-2778,6974
178,-354,-1036,6658
179,-1416,-1180,8112
181,-1922,-2382,7772
182,-3132,-3220,8446
183,-3220,-4434,8658
185,-2918,-6564,7820
186,-2784,-7574,7732
188,-2098,-7828,7038
189,-1034,-8038,7158
190,-434,-5696,5836
192,598,-5370,6266
193,270,-3400,6804
195,232,-2748,6170
196,-648,-1592,6654
197,-1448,-3260,8524
199,-2792,-2894,7634
200,-2734,-4850,8240
202,-3436,-5434,7580
203,-2964,-7408,8124
204,-2902,-7884,6368
206,-1216,-7082,6424
207,-888,-8244,6972
208,-160,-5812,5660
210,984,-5196,5916
211,614,-3450,6794
212,30,-2310,6640
214,-852,-1516,7824
215,-1076,-1596,7634
217,-2614,-1684,8002
218,-3268,-3030,8310
219,-3232,-4518,6968
221,-3122,-5924,7898
222,-2654,-6148,6734
223,-1194,-7130,6460
225,-550,-6678,6540
226,-218,-4732,6176
228,362,-4212,6504
229,704,-3178,6592
230,-352,-1668,6554
232,-904,-1418,7926
233,-1704,-1818,7630
234,-2854,-1918,7914
236,-3432,-3450,8776
237,-3484,-5296,7742
239,-2814,-6402,7738
240,-2702,-7892,7188
241,-1136,-7366,6182
243,-794,-7214,5796
244,442,-5718,5786
245,486,-5160,6616
247,674,-3044,6402
248,-140,-2778,6960
250,-1092,-2354,8334
251,-2176,-2716,8108
252,-3072,-2974,8080
254,-3216,-5668,8698
255,-3204,-5960,7382
256,-2708,-6376,7266
258,-1772,-7632,6722
259,-976,-7314,5958
261,144,-6334,5906
262,664,-5610,6114
263,922,-4914,6466
265,416,-2294,6476
266,-326,-1990,7614
268,-1082,-1460,7982
269,-2382,-1770,7924
270,-2950,-1784,9354
272,-3368,-5210,8500
273,-3182,-4148,7026
274,-2914,-6870,8156
