timestamp,accX,accY,accZ
0,-2578,-5032,8048
2,-2352,-5728,7346
3,-1622,-5682,6770
4,-984,-6374,6890
6,-904,-5514,6860
7,-296,-5868,6274
8,-404,-4900,6574
10,-48,-4928,7232
11,-838,-3872,6624
13,-1070,-3274,7428
14,-1654,-4276,8132
15,-1814,-3202,7152
17,-1764,-3916,7120
18,-2270,-4666,7942
19,-1726,-4182,6672
21,-1550,-4092,7470
22,-1040,-5000,7206
24,-642,-4614,6390
25,-684,-4812,7012
26,-530,-3982,7176
28,-620,-3856,7096
29,-1252,-3234,7394
31,-1428,-3508,8052
32,-2158,-2894,7998
33,-2114,-3354,7276
35,-2112,-4182,8036
36,-2280,-4024,7764
38,-2084,-4206,6682
39,-1566,-4582,7096
40,-1126,-6116,6488
42,-1314,-4862,6308
43,-674,-5674,7024
45,-694,-4620,6316
46,-964,-4620,7352
47,-1316,-5106,7052
49,-1614,-4576,7578
50,-1820,-5388,7928
52,-1902,-5344,7156
53,-1778,-5918,8312
54,-2078,-4338,6408
56,-1434,-5906,6902
57,-1410,-5170,7382
58,-900,-5356,6416
60,-858,-4332,5924
61,-980,-5450,7822
63,-1060,-4004,6356
64,-716,-4398,7710
65,-1540,-3860,7968
67,-1186,-4554,7768
68,-1534,-2980,6866
70,-1282,-3626,7560
71,-1820,-4500,7074
72,-1682,-3688,6228
74,-1258,-4414,6492
75,-1108,-3464,7708
76,-1012,-4414,6064
78,-1278,-2902,6052
79,-898,-5234,8002
81,-1592,-2806,6606
82,-928,-4276,8362
83,-1628,-4038,7392
85,-1690,-3958,7300
86,-1572,-3568,6698
87,-1620,-3760,7616
89,-1516,-3074,7246
90,-1280,-3912,6474
92,-1278,-4908,8030
93,-1586,-5094,7218
94,-1264,-5064,6354
96,-1418,-4872,7798
97,-1634,-6168,7920
98,-1302,-5180,6458
100,-1494,-6368,7876
101,-1696,-5498,7976
103,-1630,-4508,6912
104,-1806,-5242,7862
105,-1108,-4592,7228
107,-1180,-4742,6902
108,-1060,-4026,6522
109,-934,-4572,7080
111,-1534,-3800,6530
112,-1098,-4900,6880
114,-1106,-4424,7538
115,-1170,-5742,7570
116,-1754,-3956,7078
118,-1254,-5500,8468
119,-1948,-5676,6236
121,-1120,-4704,7170
122,-1216,-5232,7846
123,-1272,-3706,7322
125,-676,-3404,6532
126,-1230,-2668,7590
127,-1266,-3218,7414
129,-1596,-2104,6878
130,-982,-3974,7072
132,-1410,-3692,7156
133,-2046,-5036,8478
134,-1848,-3548,6194
136,-1670,-5422,8184
137,-1750,-3306,6360
138,-1010,-4550,6586
140,-1450,-5612,7456
141,-754,-4184,6098
143,-1156,-5066,7228
144,-1202,-3936,6954
145,-1188,-4508,6648
147,-1552,-3748,8288
148,-2038,-5336,7108
149,-1916,-3992,6910
151,-2022,-5656,7766
152,-2102,-5550,7122
154,-1424,-6752,7508
155,-1580,-5542,6114
156,-1078,-5076,6642
158,-1106,-6390,7158
159,-500,-3158,5626
160,-218,-4282,8342
162,-864,-3562,7490
163,-680,-3650,5922
165,-1176,-3522,8066
166,-1736,-4730,8384
167,-2102,-4074,7006
169,-1572,-6010,8142
170,-2062,-5382,7850
171,-2044,-4516,7664
173,-1068,-5278,6344
174,-1254,-3904,8192
176,-944,-3580,7268
177,-230,-2884,5544
178,-294,-2718,8240
180,-912,-2122,7380
181,-1098,-2652,6826
183,-1874,-2982,8342
184,-1890,-5020,6832
185,-2416,-3504,6764
187,-2128,-6406,8542
188,-2460,-4594,6496
190,-982,-6602,6668
191,-1878,-5920,7066
192,-812,-5196,7190
194,-944,-5026,7090
195,-236,-4148,7038
197,-532,-4220,7442
198,-1378,-3948,6624
199,-1336,-3810,6788
201,-1892,-4062,8110
202,-2600,-4784,7154
204,-2206,-5430,7186
205,-2170,-7448,7736
206,-1640,-5692,6316
208,-1360,-6916,7188
209,-848,-5100,7150
211,-430,-5234,6816
212,-322,-3870,6336
213,-48,-3768,7290
215,-504,-2720,6894
216,-1052,-2850,6378
218,-1666,-2754,8508
219,-1836,-3500,8462
220,-2328,-4516,6924
222,-2216,-4518,8636
223,-2258,-6500,7936
224,-1816,-5240,6218
226,-858,-5494,7734
227,-714,-4570,6970
229,-86,-3868,7054
230,86,-2852,6728
231,196,-2090,7112
233,-540,-2318,7324
234,-1828,-2208,7374
235,-1222,-3124,7706
237,-2826,-3434,8316
238,-2696,-5050,7966
239,-3240,-5738,7618
241,-2520,-6880,7686
242,-2040,-7140,6638
244,-1186,-7448,7816
245,-694,-6304,6782
246,-394,-5394,6244
248,-314,-4016,7708
249,-392,-3198,6164
251,-1156,-2320,6610
252,-1266,-3208,8466
253,-2436,-4030,7020
255,-2284,-4112,7202
256,-2822,-6212,7772
258,-2678,-6162,7730
259,-2206,-7088,6290
260,-1468,-6436,6864
262,-640,-7118,6504
263,338,-4880,5326
265,426,-4758,6378
266,10,-2958,7128
267,-374,-2596,6492
269,-374,-1772,8042
270,-1710,-3046,8704
272,-2486,-2440,7724
273,-2558,-5014,7964
274,-2968,-5346,8210
276,-2654,-6502,7234
