timestamp,accX,accY,accZ
0,66,-2364,6422
2,-292,-1752,8080
3,-1000,-1250,7188
5,-2078,-896,7822
6,-3046,-2276,9278
7,-3046,-3524,7650
9,-3300,-4384,7100
10,-2912,-6612,7930
11,-1848,-6406,6442
13,-1114,-6982,6640
14,28,-5728,6226
16,438,-5292,6144
17,390,-3522,6232
18,-46,-3180,7284
20,-320,-3610,7352
21,-1834,-2046,8140
22,-2318,-3316,8472
24,-3162,-4288,7944
25,-3310,-5234,7814
27,-3260,-5128,7778
28,-2540,-7902,7504
29,-1452,-7184,5732
31,-800,-8098,7064
32,148,-6228,6086
33,624,-5800,5718
35,188,-3840,6654
36,52,-3424,7472
38,-338,-1910,7138
39,-1336,-2310,7492
40,-2550,-3224,8724
42,-2802,-3858,7848
43,-2876,-4710,7574
44,-3044,-5510,8408
46,-2116,-6872,7212
47,-1562,-5968,6478
49,-392,-6154,6582
50,20,-5332,6164
51,332,-4402,6292
53,196,-2666,6400
54,116,-2568,7902
55,-1144,-1394,7804
57,-1810,-1194,7920
58,-2282,-2588,8534
60,-3342,-2904,8282
61,-2676,-4524,7672
62,-2466,-5696,7262
64,-2364,-6408,7434
65,-1730,-6140,5922
66,-432,-6624,6588
68,-32,-6200,6200
69,372,-4876,6272
71,48,-4220,6802
72,-384,-3342,7824
73,-1374,-2984,7740
75,-1988,-2400,8682
76,-2808,-4790,8930
77,-2848,-3572,7538
79,-2760,-6412,8300
80,-2590,-6168,7754
82,-1946,-6786,6338
83,-990,-6612,6424
84,-220,-6766,6632
86,52,-6806,5866
87,386,-4780,5844
88,-68,-4554,7082
90,-416,-2526,7640
91,-1388,-2930,7428
93,-1856,-3258,8972
94,-2554,-4104,8540
95,-2730,-2926,7518
97,-2444,-5648,8634
98,-2444,-5058,7282
99,-1424,-6100,6526
101,-842,-5098,6542
102,-226,-5760,6554
104,170,-3802,5528
105,-114,-3640,6804
106,-48,-4156,7478
108,-990,-2010,7812
109,-1362,-2984,7940
110,-2154,-2780,8592
112,-2688,-3936,8584
113,-2724,-3792,7442
115,-2484,-5910,8432
116,-2502,-5248,6112
117,-1602,-6520,6754
119,-962,-6364,7100
120,-628,-6186,5736
122,-302,-5252,6350
123,-374,-4556,7546
124,-590,-3854,6686
126,-752,-2698,6822
127,-1716,-3920,8854
128,-2128,-3224,7432
130,-2100,-4442,7886
131,-2776,-4900,8226
133,-2116,-6142,7508
134,-1956,-6032,6298
135,-1116,-6490,6854
137,-816,-6814,6666
138,-282,-5400,5902
139,-192,-5222,6346
141,-350,-4666,7698
142,-940,-4164,7140
144,-776,-2286,8428
145,-1410,-4410,9144
146,-2308,-2884,7722
148,-1694,-3128,8062
149,-2354,-3910,8278
150,-1970,-4582,6618
152,-1800,-4404,5890
153,-1210,-5530,7318
155,-874,-3930,6204
156,-294,-5234,6508
157,-434,-4838,6872
159,-804,-3890,8190
160,-1068,-3608,7932
161,-1350,-2276,8196
163,-2088,-4226,9100
164,-2310,-2772,6940
166,-2226,-4712,7866
167,-2270,-4096,8292
168,-1952,-5380,6400
170,-1676,-5240,7034
171,-1106,-5694,7398
172,-760,-5762,6386
174,-618,-5614,6690
175,-798,-5546,7098
177,-872,-4624,7088
178,-1078,-5018,7258
179,-1422,-3984,8160
181,-1844,-5070,8106
182,-1946,-4000,6908
183,-1882,-5468,8344
185,-2086,-5480,7974
186,-1308,-5344,6622
188,-1176,-5934,7170
189,-1004,-5676,6234
190,-442,-5070,6002
192,-872,-5148,7424
193,-710,-4608,6888
195,-1022,-3688,6972
196,-746,-4190,8046
197,-1590,-3054,7818
199,-1624,-3740,7476
200,-1918,-3338,6990
201,-1752,-4264,8426
203,-1948,-2836,6304
204,-1188,-4490,6586
206,-1312,-4842,7350
207,-970,-4464,6734
208,-976,-4114,6388
210,-1136,-5222,7916
211,-1448,-4994,7410
212,-1184,-3194,7918
214,-1144,-4516,8350
215,-1450,-3240,7272
217,-1734,-4304,7754
218,-2014,-3222,7514
219,-1164,-4608,7142
221,-1604,-4236,6852
222,-1254,-5438,6840
223,-1182,-5098,7138
225,-1234,-5154,6690
226,-1166,-5176,7604
228,-1248,-6048,8148
229,-1374,-5044,6450
230,-1290,-5980,8258
232,-1738,-6162,8060
233,-1558,-4954,6900
235,-1492,-5052,7620
236,-1430,-5122,7828
237,-1450,-4248,7004
239,-872,-4306,6440
240,-1220,-4624,7074
242,-900,-4540,6778
243,-1120,-5022,6584
244,-1238,-4826,7410
246,-1116,-4800,7334
247,-1366,-4946,7234
249,-1728,-4262,7918
250,-1586,-4376,7246
251,-1500,-3576,7048
253,-1512,-3992,7956
254,-1210,-3580,7280
256,-872,-3532,6620
257,-1170,-3220,7304
258,-722,-3792,7346
260,-1332,-3676,6566
261,-1466,-4106,7678
262,-1520,-4736,7794
264,-1646,-4776,7284
265,-1816,-4902,7648
267,-1982,-4286,7744
268,-1760,-5144,7536
269,-1336,-3884,6516
271,-1372,-5008,8260
272,-1342,-3840,6884
273,-738,-4246,6734
275,-1050,-4146,7434
