timestamp,accX,accY,accZ
0,-2046,-5676,6274
2,-2144,-5660,7024
3,-2124,-6874,7562
5,-1654,-5868,6254
6,-1060,-6216,7946
7,-894,-5158,7616
9,-908,-4494,6962
10,-228,-3638,6576
11,-658,-4328,7674
13,-980,-3430,6406
14,-1062,-4166,6466
16,-1730,-4734,7708
17,-2012,-5440,7440
18,-2040,-5658,6686
20,-2246,-5602,8574
21,-1812,-6792,7860
23,-1140,-5372,7054
24,-794,-5420,8260
25,-614,-3796,7006
27,-362,-3356,6814
28,-370,-2150,7606
29,-458,-1972,7366
31,-742,-2270,7354
32,-1636,-2360,7042
34,-1646,-3760,7792
35,-2496,-4070,7292
36,-2580,-5484,8196
38,-2448,-5714,7186
39,-1660,-6838,6386
40,-1728,-5556,7500
42,-664,-5908,7202
43,-686,-4644,6914
45,-732,-3596,7270
46,-524,-2886,7116
47,-870,-2332,7196
49,-1478,-2712,6700
50,-1782,-3258,8310
51,-2190,-4138,7108
53,-2408,-4710,7202
54,-2636,-7126,8002
56,-2170,-6624,6520
57,-1534,-7772,7300
58,-1646,-6516,6668
60,-666,-6796,6706
61,-306,-5756,6604
63,160,-4126,6848
64,22,-3120,7116
65,-544,-2674,7306
67,-1346,-2202,7168
68,-1772,-4100,8224
69,-2316,-4224,7234
71,-2714,-4618,8638
72,-2468,-7042,8316
74,-1902,-6006,6098
75,-1542,-6746,7822
76,-892,-5776,7254
78,-284,-5664,6620
79,158,-2928,6494
81,166,-3036,7812
82,-214,-1448,7358
83,-842,-854,6668
85,-1282,-1720,9044
86,-2734,-2694,8510
87,-2474,-3256,6906
89,-2834,-5436,8752
90,-2828,-6784,7994
92,-2388,-6180,6492
93,-1246,-7542,7396
94,-1090,-6522,6908
96,-616,-5580,6608
97,82,-4116,6466
98,-22,-3258,7272
100,-676,-1764,7202
101,-912,-1824,6982
103,-1284,-2524,8044
104,-2306,-3006,8184
105,-2900,-5422,7266
107,-2966,-5710,8116
108,-2624,-8816,8510
110,-1794,-6494,6062
111,-1170,-9082,8050
112,-1024,-5644,5254
114,514,-6392,6426
115,112,-4492,6104
116,294,-3540,6888
118,-458,-2486,7478
119,-726,-2118,7834
121,-2006,-2290,8168
122,-2706,-1968,8128
123,-3084,-4136,7540
125,-3014,-4850,8026
126,-2518,-6602,6740
128,-1564,-5926,5902
129,-890,-7958,7310
130,214,-4672,5466
132,838,-4618,5836
133,574,-2578,7178
134,190,-2050,6742
136,-340,-888,8114
137,-1550,-1592,8428
139,-2454,-800,8356
140,-2588,-4352,8730
141,-3628,-4108,7878
143,-3060,-5090,8360
144,-2640,-7080,6780
145,-1882,-6684,6574
147,-1228,-7294,6616
148,-58,-5432,6050
150,416,-5844,6316
151,318,-3454,6490
152,66,-3142,6812
154,-418,-1398,7224
155,-1380,-2298,8250
156,-2256,-2802,7774
158,-3232,-3748,8214
159,-3260,-6144,8966
161,-3296,-7102,6436
162,-2362,-8584,7412
163,-1818,-8124,6054
165,-662,-8252,6362
166,124,-6298,5910
167,586,-5676,6964
169,290,-3324,6802
170,176,-1840,6822
172,-1224,-1832,8312
173,-1582,-1330,8844
174,-2026,-1674,7754
176,-3274,-3142,8728
177,-3220,-5800,7312
179,-2756,-5034,6538
180,-1972,-7504,7310
181,-922,-6260,6028
183,-36,-7368,5882
184,140,-5892,6042
185,866,-4638,6438
187,394,-2436,6460
188,96,-2108,7128
190,-1274,-232,8076
191,-1782,-2264,8748
192,-3016,-1352,7224
194,-3586,-2270,10064
195,-3400,-5160,6894
196,-3018,-5270,6268
198,-2292,-8460,7420
199,-938,-6854,5092
201,-310,-7990,6570
202,-128,-5214,5982
203,604,-5714,6414
205,488,-4206,6398
206,-408,-2834,7312
208,-1134,-2586,8490
209,-2178,-2822,8114
210,-3092,-2874,7986
212,-3510,-5896,8662
213,-3318,-6070,7544
215,-2704,-8154,7384
216,-1758,-8802,7348
217,-892,-7188,5714
219,72,-7798,5990
220,568,-5440,6312
221,1002,-5206,6092
223,-38,-2244,6938
224,-78,-2262,8028
226,-1716,-680,8024
227,-2378,-1656,8588
228,-2996,-2338,8652
230,-3348,-4472,8496
231,-2920,-5350,7146
233,-2212,-6932,7968
234,-1410,-7446,6774
235,-1210,-6520,6090
237,160,-6736,6538
238,468,-4200,6338
239,616,-3638,6632
241,-204,-1454,6190
242,-500,-2582,8830
244,-1976,-464,7400
245,-2354,-876,9606
246,-3578,-3354,8770
248,-3470,-3748,7896
249,-3172,-5738,7736
251,-2046,-6818,6970
252,-1786,-8494,6012
253,-124,-7576,5632
255,202,-8012,6178
256,292,-4898,6236
257,446,-5138,6278
259,-200,-3364,8136
260,-1292,-2254,8020
262,-2010,-1720,8270
263,-3092,-3870,9416
264,-3364,-4080,8320
266,-3082,-4454,7608
267,-2682,-6532,7814
269,-2044,-7250,6290
270,-566,-6982,5850
271,-124,-6832,6050
273,566,-5222,5892
274,822,-4738,5890
276,570,-2478,7164
