timestamp,accX,accY,accZ
0,-662,-5884,6318
2,-842,-3016,6788
3,-566,-5426,7796
4,-882,-2334,7012
6,-1234,-4546,8118
7,-1896,-3660,7418
9,-1668,-4516,7924
10,-2264,-4214,7842
11,-2356,-5196,8102
13,-1916,-5182,7270
14,-1924,-4322,7110
15,-1222,-5318,6746
17,-1024,-4394,6734
18,-1050,-5326,6460
20,-976,-3910,6666
21,-396,-5592,7276
22,-1142,-2814,6150
24,-1200,-5070,8522
25,-1586,-3538,6664
27,-1522,-4840,7564
28,-1818,-3354,7162
29,-1398,-5446,7628
31,-1578,-5742,6336
32,-804,-5530,7108
33,-1196,-5720,7194
35,-676,-5410,6916
36,-934,-5806,7152
38,-624,-3406,6346
39,-730,-5014,7708
40,-1372,-2598,6922
42,-1176,-5078,8166
43,-1520,-2892,7084
44,-1274,-3640,8312
46,-1892,-3016,7804
47,-1302,-3732,6760
49,-1346,-2980,7190
50,-1488,-3634,7838
51,-776,-4552,6344
53,-1180,-4832,7044
54,-1202,-4716,7178
56,-1084,-5134,7388
57,-1312,-4864,7254
58,-1404,-3156,8218
60,-1732,-5096,8280
61,-1512,-3664,6544
62,-1730,-5466,8158
64,-1812,-4484,7698
65,-1648,-4528,6502
67,-1544,-3950,6836
68,-1356,-4910,7734
69,-1280,-4166,6242
71,-1272,-4364,6944
72,-1106,-6170,6954
73,-1296,-5066,6848
75,-1486,-6316,7366
76,-1356,-5014,7010
78,-1516,-6288,7776
79,-1330,-4960,6536
80,-1228,-5466,7720
82,-1582,-4296,7866
83,-912,-5054,6706
85,-1294,-4298,7296
86,-896,-5096,7072
87,-1308,-4482,6758
89,-1394,-3428,7712
90,-1450,-4480,7258
91,-1436,-3510,7120
93,-1512,-4466,7578
94,-1406,-4078,6976
96,-1174,-5308,7402
97,-1240,-3286,6904
98,-1044,-4580,7758
100,-1052,-2708,6874
101,-812,-3754,7010
103,-1098,-2994,7762
104,-1290,-4538,6984
105,-1718,-3094,7848
107,-1616,-5682,7798
108,-2068,-4196,6782
110,-1740,-6050,8608
111,-1970,-5644,7012
112,-1724,-4248,7926
114,-1442,-5140,7190
115,-1328,-4314,6736
117,-1360,-4746,7270
118,-1020,-3724,6046
119,-716,-4588,7964
121,-914,-4166,6666
122,-1260,-4314,6370
123,-1626,-4940,7614
125,-1752,-5386,7674
126,-1806,-5372,7616
128,-1880,-6660,7926
129,-1830,-5988,7108
130,-1278,-6100,7312
132,-1174,-5510,7018
133,-1026,-4732,7244
135,-920,-4684,7264
136,-696,-3754,6620
137,-588,-3810,7160
139,-1108,-3582,7414
140,-1612,-2912,7324
141,-1698,-3848,8032
143,-1578,-4914,7268
144,-2100,-4642,7932
146,-1738,-5528,7680
147,-1768,-5124,6920
149,-1230,-4656,7548
150,-954,-4028,7134
151,-924,-3618,7438
153,-326,-3298,6642
154,-776,-3500,7500
155,-978,-3296,7272
157,-1372,-2900,7344
158,-2010,-3932,8266
160,-2240,-4058,7860
161,-2392,-4900,7896
162,-2314,-5146,7230
164,-2432,-6884,7804
165,-1362,-5928,6574
167,-1110,-6060,7510
168,-1142,-5110,7734
169,-180,-4868,6394
171,-356,-3584,7118
172,-446,-3476,7166
173,-890,-3822,6822
175,-1366,-3860,7056
176,-1648,-4362,7230
178,-1968,-5608,8260
179,-2280,-5342,7078
180,-2068,-5548,8052
182,-2050,-6332,7610
183,-1428,-5856,6414
184,-734,-5732,7500
186,-328,-5252,6712
187,-98,-3756,6414
189,22,-3182,6872
190,-318,-3326,7174
191,-1384,-1568,7138
193,-1378,-2892,7790
194,-1754,-3346,8142
196,-2342,-4696,8490
197,-2522,-4526,6924
198,-2324,-6526,8540
200,-2014,-6038,5638
201,-1114,-5704,6910
203,-926,-5210,7998
204,-488,-3958,6098
205,-130,-3540,6654
207,-302,-2918,6576
208,-836,-2162,6840
210,-1788,-2282,7610
211,-1936,-3334,7486
212,-2518,-4042,8006
214,-2910,-5696,7616
215,-2452,-6164,7742
217,-2272,-7274,6894
218,-1656,-6108,6392
219,-992,-6866,7252
221,-628,-4960,5832
222,-28,-4950,6318
224,-34,-4474,6976
225,-444,-3862,7214
226,-868,-2930,7052
228,-1582,-3748,8094
229,-2304,-4600,7958
231,-2760,-2946,8194
232,-2574,-6966,8128
233,-2738,-5640,7228
235,-2006,-7964,7770
236,-1372,-5844,6244
237,-344,-6248,7424
239,246,-3988,5732
240,354,-3342,6054
242,232,-2098,6996
243,-374,-1656,6364
244,-786,-2512,8152
246,-1930,-2802,8114
247,-2164,-3422,7506
249,-2914,-4038,8130
250,-3258,-6722,9344
251,-3104,-5128,6618
253,-1856,-7724,7584
254,-1812,-5904,6978
256,-230,-6520,6518
257,88,-4032,6436
258,282,-3616,7270
260,-316,-2484,7274
261,-436,-1908,6980
262,-1500,-1900,7734
264,-2088,-2978,7806
265,-2898,-3388,6714
267,-3008,-5180,8692
268,-3210,-5912,6920
269,-2208,-6778,6562
271,-1798,-8698,7148
272,-582,-6376,6038
273,-170,-6874,6622
275,128,-4128,5830
276,326,-4764,7260
