timestamp,accX,accY,accZ
0,-1770,-3648,7900
2,-1350,-4338,7292
3,-1284,-2876,6952
4,-598,-3572,7026
6,-1526,-3586,7384
7,-1158,-4062,6494
9,-1120,-3626,6500
10,-1066,-4752,7820
11,-1390,-3912,5944
13,-1626,-4164,7250
14,-1620,-4290,7476
16,-1384,-3546,6474
17,-1380,-4734,8458
18,-1344,-4048,7440
20,-1404,-3656,6792
21,-1212,-3696,7344
23,-1180,-4774,7302
24,-1486,-4320,7096
25,-1400,-5538,6758
27,-1398,-4538,7862
28,-1628,-6640,7810
29,-1744,-5360,6360
31,-1656,-7094,8738
32,-1638,-5906,6990
34,-1060,-5018,7828
35,-1388,-5066,8404
36,-1032,-3494,6598
38,-664,-4422,7174
39,-1196,-3340,7974
40,-718,-3800,6948
42,-1034,-4270,7176
43,-1462,-4576,7346
45,-1356,-5070,7092
46,-1618,-5414,7300
47,-1864,-5590,7570
49,-1448,-6030,7786
50,-1240,-5832,6890
52,-1400,-4176,7504
53,-906,-4612,8174
54,-1046,-3352,6470
56,-774,-2954,7556
57,-954,-2540,7672
58,-1112,-2952,6832
60,-1632,-2800,7200
61,-1768,-4290,7016
62,-2380,-3322,6856
64,-2038,-5186,8058
65,-2176,-5058,6672
67,-1620,-5636,7218
68,-1528,-6286,6736
69,-1552,-4820,7304
71,-1074,-5606,7722
72,-834,-3622,6554
74,-764,-3902,7788
75,-976,-2648,6998
76,-1078,-3860,6166
78,-1938,-2812,8680
79,-2074,-5604,7632
81,-2010,-4522,5638
82,-1832,-7878,9024
83,-1854,-6476,6812
85,-1338,-6456,7412
86,-1470,-5494,7210
88,-676,-5654,7104
89,-746,-3532,6738
90,-8,-3266,6058
92,-378,-3242,7870
93,-1166,-3068,7580
95,-1186,-2492,6966
96,-1328,-4960,9028
97,-2190,-5000,7764
99,-2040,-3656,7856
100,-2194,-7024,8442
101,-1920,-5504,6928
103,-1414,-6406,7128
104,-1244,-5208,7562
105,-592,-4704,6812
107,-320,-3328,6768
108,-306,-2876,6764
110,-380,-1756,7184
111,-1360,-1434,7432
112,-1378,-2708,7766
114,-2244,-3196,8080
115,-2406,-4466,8166
116,-2472,-4790,7310
118,-2490,-7268,8866
119,-2182,-6796,5582
121,-1272,-7018,7388
122,-1176,-6732,8074
123,-822,-5064,6168
125,-182,-4530,6798
126,-524,-2886,6996
127,-856,-3046,7244
129,-1264,-2370,6932
130,-1482,-3738,8018
132,-2620,-3716,8222
133,-2546,-5012,7226
134,-2546,-5690,7190
136,-2422,-7626,8282
137,-2152,-6040,5752
139,-626,-7276,6560
140,-664,-7804,6334
141,418,-4720,5650
143,228,-4658,7112
144,-16,-2952,7148
146,-500,-2394,6796
147,-1002,-2644,8414
148,-1678,-2912,7630
150,-2702,-2042,8626
151,-2998,-5376,7636
152,-2812,-4688,7246
154,-2346,-6840,7394
155,-1534,-5578,5632
156,-1044,-6156,7992
158,-296,-4342,6028
159,322,-3456,5890
161,38,-2490,7592
162,-138,-2472,6730
163,-600,-1728,7552
165,-1640,-1746,8180
166,-2096,-2744,8144
168,-2826,-3646,8158
169,-3182,-5132,8520
170,-2802,-5626,6990
172,-2132,-8106,7088
173,-1824,-7416,6882
174,-1026,-7810,6712
176,-492,-5646,6198
177,196,-4922,7090
179,124,-4092,7270
180,-388,-2184,6560
181,-686,-2650,7572
183,-2122,-3014,8890
184,-2304,-3534,7348
185,-2924,-4834,7908
187,-2982,-6466,8450
188,-3020,-6902,7044
190,-1494,-7906,6414
191,-1550,-7528,6742
192,-224,-7054,6530
194,348,-6268,5784
195,546,-4368,6888
197,430,-3302,7146
198,-346,-1914,6988
199,-1312,-1142,7576
201,-1700,-1312,9018
202,-2934,-2208,7574
204,-3020,-2930,7524
205,-3080,-6000,8072
206,-2454,-5262,6192
208,-1960,-7200,7352
209,-816,-5918,6326
211,0,-6426,6336
212,166,-3698,6418
213,948,-3802,6208
215,-112,-1812,7200
216,-724,-1120,6878
218,-1434,-1512,9022
219,-2962,-2340,8568
220,-2976,-2544,7348
222,-3722,-5802,9204
223,-3306,-6186,7474
224,-2638,-6342,7256
226,-1832,-8610,7668
227,-732,-7308,5838
229,-102,-7008,6214
230,700,-5572,6608
231,758,-4406,6282
233,70,-2980,6906
234,-814,-2470,7572
236,-1074,-2522,8540
237,-2560,-2770,8428
238,-3024,-3336,8870
240,-3446,-5874,9200
241,-3154,-6232,7104
242,-2160,-7696,7586
244,-1332,-7990,7382
245,-502,-7408,5680
247,724,-6444,6226
248,580,-4916,6686
249,958,-2574,6754
251,-182,-1982,7368
252,-432,-1472,8408
254,-2242,-1762,8834
255,-2664,-1056,8110
256,-3212,-4234,9106
258,-3402,-4560,7960
259,-3032,-6196,7272
261,-1886,-6490,7536
262,-970,-7096,6098
263,10,-6548,6222
265,494,-5750,6166
266,568,-3412,6344
268,114,-2510,6928
269,-340,-1668,8076
270,-1674,-1062,8200
272,-2328,-928,8676
273,-3208,-3594,8332
274,-3800,-4620,8770
276,-3284,-6364,6950
