timestamp,accX,accY,accZ
0,-2452,-2276,9488
2,-2614,-4056,6932
3,-3148,-5028,8672
4,-3038,-7820,9164
6,-3078,-6642,6326
7,-1798,-9268,8400
9,-1138,-8122,5382
10,-122,-7480,6910
11,454,-5758,6440
13,728,-4518,6282
14,330,-3248,7470
15,-618,-1920,7024
17,-1710,-2102,8100
18,-2250,-2020,8680
19,-2492,-3904,8066
21,-3192,-4372,8256
22,-3060,-6730,7166
24,-2358,-5792,6712
25,-1552,-8150,7368
26,-1144,-5318,5664
28,822,-6242,6154
29,534,-5136,6074
31,832,-3202,6960
32,328,-2138,7130
33,-616,-1334,8354
35,-1628,-1416,8472
36,-2440,-784,8228
37,-3418,-3554,8308
39,-3642,-3446,8656
40,-3240,-6102,6988
42,-2678,-5550,6348
43,-1442,-7936,7202
44,-638,-5224,5666
46,548,-6068,5814
47,524,-3790,6444
48,396,-3760,7374
50,204,-2874,6424
51,-892,-2730,8668
53,-1940,-2400,8504
54,-2688,-3528,8436
55,-3396,-4924,8680
57,-3268,-4426,8350
58,-3230,-8526,8332
59,-2046,-6548,5640
61,-1022,-9020,7374
62,-548,-6408,6094
64,644,-7136,6176
65,648,-3686,6496
66,666,-4122,6638
68,38,-2146,7438
69,-1042,-2614,8772
70,-1562,-1462,7586
72,-2518,-3728,9652
73,-3412,-4368,8690
74,-3068,-4104,7644
76,-2706,-6560,7774
77,-2290,-5976,6420
79,-664,-7486,6352
80,-78,-6056,5950
81,590,-5020,6608
83,664,-3434,6446
84,658,-2940,6438
86,-854,-592,7970
87,-1452,-1198,9018
88,-1892,-416,7840
90,-3406,-2712,9158
91,-3528,-3916,7514
93,-2954,-5776,7278
94,-2766,-6876,6898
95,-1492,-7172,6526
97,-980,-7564,6850
98,134,-5596,5862
100,518,-5990,6484
101,626,-4260,6168
102,130,-2902,6748
104,-952,-2226,8194
105,-1434,-2112,8016
106,-2968,-2740,8408
108,-3268,-2978,8882
109,-3434,-5884,7572
111,-3030,-5284,7326
112,-2104,-8128,7276
114,-1482,-7348,6164
115,-164,-7464,5894
116,430,-6292,5772
118,1024,-5788,6364
119,520,-3068,6040
120,104,-2950,7350
122,-572,-1344,8174
123,-1992,-1944,8130
125,-2660,-2062,8674
126,-3158,-4794,8916
127,-3240,-4912,7270
129,-2992,-6768,7644
130,-2074,-6718,7188
132,-1308,-6252,6332
133,-30,-6460,5672
134,392,-4490,5904
136,716,-3790,6164
137,334,-1958,5956
138,-258,-2866,8424
140,-1622,-506,7904
141,-2104,-1558,8200
143,-2804,-2244,8870
144,-3410,-4240,8858
145,-3526,-4264,6938
147,-2516,-7074,7528
148,-2136,-7552,7272
149,-1376,-8040,5764
151,-182,-7144,5948
152,214,-5412,6348
154,42,-4790,6626
155,154,-3416,6262
156,-454,-2404,8196
158,-1670,-2420,8084
159,-2526,-2912,8262
160,-3088,-3906,8578
162,-3030,-4840,7494
163,-2760,-6012,7754
165,-2188,-7412,7280
166,-1622,-7084,6050
167,-262,-7502,5916
169,134,-7002,5878
170,784,-5586,6192
172,424,-4316,5802
173,134,-2934,7892
174,-780,-2220,7456
176,-1764,-1524,7900
177,-2224,-2152,8960
178,-3044,-2856,8350
180,-2978,-3940,8010
181,-2716,-5412,7646
182,-2182,-6126,7504
184,-1684,-6280,5718
185,-278,-6256,6280
187,64,-4896,6306
188,556,-4192,5754
189,266,-4000,6314
191,-366,-2612,7844
192,-1318,-1670,7704
194,-1830,-1498,8760
195,-2966,-3142,9542
196,-3228,-3096,7964
198,-3036,-4980,7946
199,-2782,-5356,7940
200,-2408,-6784,6232
202,-982,-6602,5834
203,-368,-7422,6306
205,178,-5848,6188
206,628,-6078,5746
207,152,-3812,7474
209,-782,-4046,8326
210,-1074,-2970,7312
212,-2188,-3820,9218
213,-2830,-3930,8824
214,-3008,-4616,7794
216,-2780,-5432,7900
217,-2726,-5734,6890
218,-1496,-6686,6172
220,-722,-6636,5972
221,-258,-6304,6716
223,332,-5392,5448
224,382,-5202,7340
225,-232,-2814,7554
227,-402,-2960,7548
228,-1276,-1672,8280
230,-2150,-3216,9086
231,-2614,-2822,7162
232,-2554,-3874,7998
234,-2810,-4460,7140
235,-1786,-5162,6824
236,-1152,-5746,6288
238,-838,-6052,6706
239,28,-6054,6050
241,-80,-4872,6320
242,-214,-3702,7110
244,-764,-2964,7772
245,-1776,-2516,7878
246,-2104,-1710,8094
248,-2474,-3736,8522
249,-2688,-3180,7494
250,-2676,-4320,8082
252,-2468,-4874,7248
253,-1882,-6318,7112
255,-992,-7324,5906
256,-286,-6564,6466
257,-300,-7418,7000
259,-310,-5012,5848
260,4,-5948,7552
261,-644,-3594,7226
263,-1424,-4470,8306
264,-1782,-3008,7614
266,-2394,-5032,8554
267,-2810,-3040,8340
269,-2290,-5898,7612
270,-2574,-4816,7426
271,-1394,-6994,6528
273,-848,-5546,5832
274,-388,-5430,6828
275,-276,-4424,5742
