timestamp,accX,accY,accZ
0,-2034,-4414,7624
2,-2312,-4980,8076
3,-2018,-5470,7598
4,-1692,-4664,6896
6,-1162,-5866,7024
7,-854,-4890,6604
9,-370,-5594,6236
10,-664,-4066,6230
11,-374,-4622,7586
13,-742,-2758,6190
14,-1198,-3130,7436
15,-1602,-3016,7676
17,-1614,-3038,6782
18,-1858,-3750,8440
20,-1690,-4068,7620
21,-1990,-4160,6904
22,-1178,-4498,7044
24,-1172,-4826,7070
25,-1018,-5020,6948
27,-848,-5002,6042
28,-980,-3742,8164
29,-628,-4762,7118
31,-1392,-3238,6598
32,-1254,-5236,8644
33,-1900,-3828,7388
35,-1948,-3658,8008
36,-1970,-4428,7818
38,-2062,-4626,7538
39,-1906,-4918,7094
40,-1370,-5436,7170
42,-1206,-5790,6750
43,-1110,-5740,6498
44,-916,-5840,6810
46,-792,-5546,7030
47,-1074,-5580,7134
48,-988,-4958,7010
50,-1538,-5326,7944
51,-1410,-4754,6928
53,-1718,-3908,8132
54,-1616,-5080,7944
55,-1396,-4056,6904
57,-1176,-4712,7358
58,-1268,-4326,7318
60,-818,-4582,6980
61,-1232,-3684,6470
62,-926,-4550,7850
64,-1212,-4004,7324
65,-962,-4466,6774
66,-1216,-3684,7702
68,-1308,-4930,7726
69,-1708,-4082,6770
71,-1082,-3594,7284
72,-1670,-4200,8102
73,-1876,-3724,6464
75,-962,-4030,6514
76,-1570,-3452,7810
78,-1268,-4034,6524
79,-1492,-3604,7968
80,-1720,-4902,7942
82,-1666,-3450,6604
83,-1240,-5910,7546
85,-1736,-4168,7026
86,-1554,-5638,7668
87,-1580,-3802,6452
89,-1196,-5202,7174
90,-1528,-3550,7214
92,-840,-4890,6366
93,-1268,-3984,7560
94,-1036,-5606,7782
96,-1208,-5150,6238
97,-1362,-5614,8270
99,-1470,-6298,7780
100,-1594,-5758,7168
101,-1810,-6408,8402
103,-1404,-4850,6586
104,-1400,-5770,7654
105,-1390,-4346,7454
107,-910,-4980,7336
108,-1014,-3440,6978
110,-692,-3536,7034
111,-1074,-3520,7694
112,-1274,-3330,7302
114,-1076,-3334,7122
115,-1752,-4518,8636
116,-1728,-4772,6764
118,-1782,-4552,7780
119,-1840,-5578,8436
121,-1888,-4216,6976
122,-1020,-5370,7408
123,-1252,-4670,7490
125,-1070,-4332,7490
126,-760,-2850,6874
128,-686,-3864,7228
129,-1266,-2534,7842
130,-1482,-2686,6888
132,-1876,-3660,7016
133,-2014,-4414,7924
134,-1928,-5084,6456
136,-2040,-4648,6884
137,-1910,-7656,7252
138,-1490,-4544,5652
140,-1140,-6366,7630
141,-1472,-4216,6236
143,-494,-5168,6580
144,-932,-4816,6836
145,-324,-4760,6884
147,-1018,-4058,6996
148,-1456,-4766,7760
150,-1650,-4544,7428
151,-1864,-5974,8122
152,-2482,-5392,7388
154,-1902,-4920,7012
155,-1858,-6818,7588
157,-1136,-4372,5844
158,-698,-6086,8232
159,-720,-3998,7134
161,-130,-3526,6022
162,-126,-2826,7716
163,-610,-3290,7514
165,-700,-2202,6734
166,-1570,-4072,7922
167,-1806,-3086,7614
169,-2248,-4826,8248
170,-2488,-5200,7270
172,-2262,-4028,8778
173,-1884,-6430,7416
174,-1206,-4324,5702
176,-1146,-5802,8358
177,-716,-3576,6600
178,-184,-3978,6880
180,-438,-2428,7528
181,-608,-2722,7506
183,-1006,-2004,6848
184,-1816,-2908,8190
185,-2040,-4964,8774
187,-2774,-4434,7182
188,-2852,-6636,8444
189,-2552,-6718,6702
191,-1832,-7870,7372
192,-1566,-6072,6482
194,-574,-7214,7694
195,-678,-4884,6576
196,146,-5368,6660
198,-360,-3814,7504
199,-614,-2990,6532
201,-1326,-2878,6964
202,-1724,-3604,8418
203,-1990,-3592,7164
205,-2518,-4654,7830
206,-2736,-6902,7460
207,-1978,-5940,6870
209,-1356,-7714,7384
210,-1440,-5246,6998
211,-110,-5948,7042
213,20,-4810,6074
214,198,-3604,6954
216,-96,-2378,7712
217,-368,-2328,6684
218,-1352,-1512,7142
220,-1964,-1580,8800
221,-2672,-2918,6852
222,-2880,-2998,7372
224,-2804,-6386,7744
225,-2114,-5120,5952
227,-1754,-7086,7532
228,-538,-5004,6046
229,-490,-5424,6788
231,-98,-3054,6138
232,192,-3334,6704
233,-44,-3000,7154
235,-1062,-2740,6704
236,-1498,-3084,7730
238,-2172,-3470,8020
239,-3082,-4740,7972
240,-3146,-5186,8346
242,-3062,-7084,7838
243,-2410,-6570,6832
245,-1714,-8504,7462
246,-980,-6708,6744
247,12,-5768,6090
249,398,-4586,6752
250,454,-3976,6878
251,264,-3568,6696
253,-992,-2534,7276
254,-1388,-2790,8158
255,-1848,-3548,7806
257,-2716,-4610,7772
258,-3202,-4390,8756
260,-2334,-7226,7228
261,-2198,-6070,6246
262,-1504,-7314,7912
264,-580,-5814,6390
265,230,-4874,6492
266,480,-3350,6540
268,386,-2786,6990
269,264,-1006,6428
271,-850,-826,7580
272,-1542,-2412,8072
273,-2844,-1800,8070
275,-3016,-4102,8500
