timestamp,accX,accY,accZ
0,-1836,-3994,8520
2,-2958,-3946,8398
3,-1798,-5012,7078
4,-1480,-4618,6628
6,-1200,-5770,7566
7,-634,-7510,6724
9,-614,-5924,6472
10,-318,-6818,7098
11,-612,-3794,7276
13,-762,-6030,8070
14,-1268,-2752,6586
15,-1304,-5398,9122
17,-1984,-3066,7642
18,-1994,-3422,8468
19,-2306,-3594,8106
21,-2012,-3746,7136
22,-1266,-3686,6486
24,-792,-4580,7320
25,-686,-6306,5870
26,-538,-3568,6294
28,-494,-5896,7868
29,-800,-2488,7032
31,-1018,-5150,7966
32,-1286,-3102,7594
33,-1784,-5112,8628
35,-1972,-2702,7756
36,-2078,-5032,8474
37,-2512,-3944,8388
39,-1752,-2870,6784
40,-1632,-5160,7572
41,-1346,-3640,6810
43,-1128,-5356,6510
44,-1076,-3780,6692
46,-790,-6506,6966
47,-1196,-3208,6400
48,-1224,-5780,8014
50,-2004,-5618,6996
51,-1232,-5476,7382
52,-2218,-5510,7576
54,-2218,-5112,8328
55,-1690,-5464,7346
57,-1676,-3994,7436
58,-1374,-5520,7102
59,-1110,-4312,6764
61,-692,-5196,6246
62,-668,-3600,6172
64,-528,-5760,7224
65,-998,-2810,6048
66,-736,-5502,7842
68,-1640,-3344,6498
69,-1376,-5296,8122
70,-1650,-5156,6788
72,-1316,-4652,7692
73,-1982,-4832,6772
75,-920,-4140,6884
76,-1410,-4228,7368
77,-1412,-4962,7598
79,-1132,-4676,6572
80,-1022,-2800,8472
82,-1344,-5378,7708
83,-1232,-2568,6192
84,-1026,-5586,8326
86,-1512,-2586,7104
87,-1134,-4014,8190
88,-1660,-3082,7306
90,-1318,-3816,6930
91,-1456,-3166,7444
92,-1398,-3736,6968
94,-1014,-4946,7402
95,-1650,-4856,7624
97,-1404,-4842,6514
98,-1268,-5882,7784
99,-1688,-6304,7410
101,-1614,-4358,7824
102,-1464,-7008,8158
104,-1300,-4934,6332
105,-1426,-6212,8408
106,-1562,-4570,7762
108,-1134,-4174,6912
109,-1160,-4112,7264
110,-1288,-3988,7354
112,-924,-3586,6350
113,-1214,-3996,7130
114,-1140,-5938,6976
116,-1454,-4356,7184
117,-1322,-6108,8068
119,-1568,-4314,7270
120,-1494,-6580,8472
121,-1180,-5136,6048
123,-1142,-5316,7918
124,-1494,-3964,8312
125,-728,-4198,6558
127,-1148,-3222,7696
128,-942,-2204,6906
130,-1364,-3526,7172
131,-1616,-2896,7514
132,-1382,-4554,6956
134,-1806,-3478,7716
135,-1888,-5732,8318
136,-2028,-4226,6838
138,-1322,-6516,7998
139,-1666,-5476,6498
141,-1084,-5004,7680
142,-1418,-5298,7778
143,-1052,-3792,6672
145,-1216,-3126,7464
146,-1104,-4526,6828
147,-1542,-3470,6180
149,-1526,-3748,8224
150,-1986,-4650,6498
152,-1738,-4642,7038
153,-1838,-6124,6966
155,-1494,-5416,6822
156,-1328,-7212,6536
157,-942,-5142,6142
159,-1068,-6278,7994
160,-910,-3894,5650
161,-514,-4250,6454
163,-914,-3614,7490
164,-1090,-3678,6556
166,-1372,-2890,7888
167,-2000,-4832,8248
169,-1962,-4786,7392
170,-1962,-5866,7548
171,-2194,-5812,7620
173,-1642,-5742,7102
174,-1130,-5190,6598
175,-842,-4346,6972
177,-584,-4036,7072
178,-500,-2994,6446
179,-358,-2842,7228
181,-1244,-2632,7538
182,-1540,-2660,7236
184,-1496,-2926,7896
185,-2180,-4224,8104
186,-2592,-3562,7874
188,-2096,-5920,7928
189,-2226,-5988,7420
191,-1838,-6336,7382
192,-1224,-6296,7318
193,-786,-5108,6946
195,-330,-4546,7022
196,-628,-3272,6750
198,-798,-3448,7208
199,-1162,-2396,7034
200,-1370,-3964,7606
202,-2190,-3386,7430
203,-2310,-4838,7910
205,-2546,-5102,6764
206,-2630,-6732,8196
207,-2242,-6020,6302
209,-1000,-7064,6262
210,-1370,-7022,6864
212,90,-5388,5762
213,-52,-5574,7046
214,184,-3438,6748
216,-212,-3570,6662
217,-824,-2596,7558
218,-1584,-2890,7310
220,-1890,-3324,7964
221,-2442,-4138,7300
223,-2542,-4552,7496
224,-2482,-6416,7584
225,-1454,-5344,6050
227,-1174,-6186,7668
228,-1016,-5366,6672
229,-198,-4510,6236
231,46,-3456,6962
232,-68,-3072,7178
234,-556,-2256,7200
235,-1282,-1772,7760
236,-1966,-2440,7916
238,-2376,-4080,8338
239,-2820,-4632,7684
240,-2710,-4414,8544
242,-2192,-7128,7902
243,-1558,-5758,5680
245,-1258,-6900,8258
246,-468,-4968,6282
247,178,-4952,6736
249,-212,-3854,7344
250,-44,-3782,6406
251,-570,-3522,7388
253,-1788,-2448,7460
254,-1918,-4042,8200
255,-2466,-4068,8116
257,-2736,-5524,7674
258,-3092,-5622,8124
260,-1992,-8458,7356
261,-1822,-6742,6018
262,-868,-8126,7414
264,-270,-6158,6208
265,386,-4650,6566
266,622,-3364,6802
268,-62,-3032,6710
269,-160,-1420,7046
271,-1334,-2562,7828
272,-1858,-3502,7806
274,-2760,-3482,8738
275,-2910,-5552,7106
