timestamp,accX,accY,accZ
0,-46,-3550,6260
2,-132,-3864,7248
3,-320,-2250,6686
4,-686,-2604,7076
6,-1814,-2128,8154
7,-2226,-3280,8048
9,-2458,-3680,7890
10,-3342,-5802,8382
11,-2838,-6036,7808
13,-2232,-8110,6412
14,-1686,-6916,6602
16,-1116,-7090,6732
17,-248,-5944,6188
18,436,-4468,5706
20,224,-4222,7788
21,-518,-3000,7206
22,-616,-2192,7504
24,-2150,-2738,8834
25,-2430,-3770,8512
26,-2622,-4336,7924
28,-2874,-6010,8226
29,-2676,-6826,6916
31,-1508,-7442,6870
32,-1138,-7386,6806
33,-606,-6164,6772
35,446,-5408,6676
36,394,-3828,6570
38,278,-3048,7318
39,-556,-1362,7342
40,-536,-1580,7230
42,-2042,-820,8322
43,-2468,-2212,8114
44,-3156,-2300,7134
46,-3148,-4920,8890
47,-3058,-5284,5920
49,-1734,-6516,6464
50,-1318,-6034,6316
51,-58,-6024,5656
53,284,-5978,6462
54,120,-3396,6098
56,-100,-3482,7310
57,-700,-1702,6970
58,-1618,-2274,7752
60,-2378,-1738,8716
61,-3042,-4336,7788
62,-3430,-3904,7480
64,-3270,-7946,8364
65,-2714,-6296,6124
67,-1602,-7392,7718
68,-846,-7284,6324
69,142,-6632,5318
71,662,-4944,6232
72,624,-4402,6558
73,452,-3798,6512
75,18,-2114,7596
76,-1160,-2520,7784
78,-2212,-2832,8530
79,-3044,-4004,7796
80,-3442,-3672,8922
82,-2938,-6986,7640
83,-2218,-5982,5986
85,-1908,-8530,7912
86,-540,-6812,5674
87,254,-5744,6874
89,416,-4358,6896
90,766,-2816,5708
91,418,-1222,7636
93,-912,-386,7354
94,-1376,-1278,8128
96,-2850,-1376,8098
97,-3442,-3152,8950
98,-3506,-4402,7772
100,-2904,-6606,7376
101,-2640,-6116,7072
103,-894,-8016,6836
104,-870,-6882,6334
105,194,-6094,6048
107,358,-5624,6784
108,482,-3944,6236
109,-272,-2360,6480
111,-1264,-1912,8624
112,-1776,-1820,7768
113,-3166,-1678,7942
115,-3404,-4352,9028
116,-3756,-5542,7634
117,-2650,-7376,7232
119,-2478,-7752,6894
120,-1014,-8858,7070
122,-436,-8542,6186
123,460,-6198,5898
124,798,-5660,6612
126,580,-3658,6404
127,172,-2298,6040
128,-876,-1778,8012
130,-1598,-1876,7868
131,-2688,-1254,7240
133,-3182,-3778,9314
134,-3258,-3868,7072
135,-3092,-5532,7320
137,-2282,-6488,6732
138,-916,-7182,5824
140,-324,-7256,6106
141,1178,-5262,5488
142,768,-4690,6420
144,722,-1724,6504
145,-330,-1864,7368
146,-1052,-926,8346
148,-2386,-1776,8084
149,-3146,-1556,8596
150,-3726,-4742,8516
152,-3562,-4656,7418
153,-2984,-5756,7936
155,-1924,-6844,6752
156,-952,-6708,5858
157,-454,-6338,5742
159,406,-5468,6270
160,666,-5714,5830
162,-194,-3102,6594
163,-178,-3134,7896
164,-1742,-2098,8152
166,-2384,-2668,7938
167,-3354,-4124,9238
169,-3402,-5882,8246
170,-3152,-5626,7442
171,-2274,-8326,8176
173,-1762,-7980,6518
174,-920,-8536,6366
175,238,-7052,5956
177,694,-5500,6540
178,404,-4134,6520
180,318,-2154,5974
181,-112,-2272,8030
182,-1650,-636,8086
184,-2378,-2324,8546
185,-3074,-2880,8318
187,-3228,-5340,8452
188,-3364,-4776,7280
189,-1990,-7046,7816
191,-1962,-6558,5764
192,34,-6460,6118
193,-6,-5502,6430
195,754,-4382,5624
196,642,-3016,5526
197,-308,-2740,8348
199,-1292,-1104,7068
200,-1830,-934,7818
202,-2556,-2326,9302
203,-3336,-3434,8682
204,-3386,-4140,7606
206,-2836,-5544,7770
207,-2518,-7514,7982
209,-610,-6450,5684
210,-310,-7686,6074
211,-108,-5596,6352
213,560,-5772,6192
214,502,-3814,5660
216,-44,-3592,8428
217,-1476,-2522,7424
218,-1718,-2162,8630
220,-2884,-3978,9062
221,-3118,-4076,7974
222,-3460,-5882,8026
224,-2648,-6342,7782
225,-2038,-6998,6610
227,-846,-7172,6468
228,124,-6892,6298
229,352,-6194,6368
231,550,-4392,5778
232,568,-3620,7324
234,-550,-2264,7618
235,-1110,-1660,8230
236,-2476,-1968,8520
238,-2550,-3298,8362
239,-3200,-3670,7842
240,-2624,-4878,8154
242,-2660,-5410,7052
243,-1218,-6148,6592
245,-878,-6162,6592
246,222,-5494,6406
247,358,-4616,5818
249,176,-3870,6954
250,-240,-2938,7302
251,-874,-2238,7776
253,-1224,-1696,7878
254,-2560,-2756,8880
256,-2802,-3504,7274
257,-3048,-3758,7756
258,-2810,-5476,8412
260,-2568,-6148,6602
261,-1534,-6988,6412
262,-974,-6750,6372
264,-238,-6644,6906
265,30,-5696,5924
267,160,-5278,7004
268,-456,-4370,7872
269,-988,-3488,7402
271,-2038,-3420,8114
272,-2194,-4086,8642
274,-2834,-3678,7720
275,-2574,-4474,7638
