timestamp,accX,accY,accZ
0,-2942,-6234,8326
2,-2082,-5928,6848
3,-966,-6454,6322
4,-212,-6206,6320
6,368,-5536,5790
7,294,-3914,6338
8,-58,-2968,6942
10,-244,-3480,8128
11,-1946,-1608,7998
13,-2012,-2586,8362
14,-3296,-3748,8714
15,-3356,-4612,7832
17,-3130,-5380,7468
18,-2448,-7288,8280
19,-1702,-7556,6132
21,-922,-7950,6704
22,98,-7180,6456
24,434,-6238,5620
25,324,-4626,6788
26,164,-4142,7008
28,-1228,-2340,7744
29,-1370,-2294,8002
31,-2194,-2990,8252
32,-2994,-3040,8816
33,-3150,-4432,7150
35,-2718,-5360,8270
36,-2268,-6638,7544
38,-1472,-6608,6382
39,-310,-6578,6822
40,282,-5646,5386
42,236,-4556,6324
43,366,-3130,7112
44,364,-2284,7516
46,-1010,-1260,7508
47,-1530,-1122,8738
49,-2788,-2038,8632
50,-2774,-2664,7608
51,-3126,-4112,8038
53,-2698,-5760,8154
54,-2364,-6046,6120
56,-1128,-6464,6402
57,-880,-6094,5952
58,-22,-5800,5934
60,-84,-4308,6352
61,166,-4156,7112
62,-844,-3366,6990
64,-1356,-2700,8612
65,-2440,-3032,7972
67,-2652,-3258,8376
68,-2726,-4354,7500
69,-2740,-4912,7618
71,-2496,-6338,6706
72,-1342,-7064,5816
74,-994,-7546,6538
75,-422,-7406,5832
76,82,-6374,5640
78,246,-5036,7248
79,-212,-4868,7228
80,-848,-2948,7544
82,-1094,-2430,8010
83,-2672,-3466,9118
85,-2410,-3482,7446
86,-2672,-4020,7500
87,-2558,-4710,8350
89,-2466,-5712,6418
90,-1574,-5552,6414
92,-604,-5632,6640
93,-150,-5496,6128
94,252,-4732,5822
96,272,-4074,6494
97,-420,-3058,7516
98,-1168,-2532,7300
100,-1912,-1916,7924
101,-2462,-3106,9188
102,-2828,-2568,7538
104,-2376,-4106,7296
105,-3066,-4372,7522
107,-1780,-5824,6372
108,-1626,-5716,6236
109,-724,-7058,6752
111,-564,-5790,5858
112,-82,-4676,7070
113,-316,-4544,6560
115,-964,-3746,7244
116,-966,-3230,7390
118,-2038,-3242,7276
119,-2474,-4392,8450
120,-2398,-3866,6712
122,-2764,-5224,7988
123,-2604,-5204,6934
124,-1620,-6936,6408
126,-1434,-6234,6924
127,-262,-7626,6314
129,-436,-5748,5578
130,-118,-6090,7134
131,-302,-4752,6668
133,-452,-3314,8016
134,-1516,-3382,7816
136,-1592,-2754,8002
137,-1986,-3482,8168
138,-2344,-2820,7260
140,-2186,-4514,8384
141,-1902,-4086,6864
142,-1372,-5446,6284
144,-1338,-5076,6876
145,-798,-5792,6834
147,-628,-4066,6300
148,-234,-5128,7368
149,-552,-4016,7174
151,-1256,-3646,7656
152,-1514,-3324,7752
153,-2168,-2632,8480
155,-1998,-3444,7856
156,-2384,-2672,6950
157,-2066,-4286,7846
159,-2052,-3752,6140
160,-1660,-5270,7274
162,-790,-4910,6226
163,-1018,-6180,6232
164,-692,-5094,6696
166,-258,-6102,7004
167,-932,-5582,6916
169,-1230,-4934,7544
170,-2018,-5502,7802
171,-1762,-3682,7174
173,-2068,-5198,7798
174,-2626,-4850,8256
176,-1656,-6208,6834
177,-1792,-4108,7054
178,-870,-6588,7320
180,-1080,-5326,5864
181,-410,-5804,7126
183,-490,-4774,6024
184,-422,-5520,7774
185,-746,-3498,6412
187,-958,-3842,8786
188,-1758,-2884,8008
190,-1622,-3096,6978
191,-1678,-3042,8840
192,-1620,-3272,7880
194,-1648,-3182,6758
195,-1328,-3932,7648
197,-1030,-5150,5712
198,-862,-3866,6820
199,-576,-5506,7050
201,-830,-3990,7462
202,-1126,-5028,7752
204,-1156,-3464,7048
205,-1926,-4742,8848
206,-1916,-4080,8264
208,-1904,-3982,7624
209,-2080,-4118,8468
211,-1988,-4804,6834
212,-1576,-4472,6894
213,-1544,-3872,7174
215,-1508,-5288,6664
216,-1210,-4718,6868
218,-938,-6280,7396
219,-1336,-4856,6624
220,-1150,-5452,7284
222,-1572,-4808,7372
223,-1422,-5354,7522
225,-1778,-3870,6672
226,-1446,-5088,7792
227,-1574,-3870,6874
229,-1122,-4686,6442
230,-1488,-4652,7200
232,-1090,-5110,7030
233,-1160,-5246,6458
234,-1094,-5560,7474
236,-1152,-5830,7358
237,-1294,-3430,7354
239,-1490,-5648,7820
240,-1830,-3552,7672
241,-1080,-4472,7504
243,-1584,-3224,6480
244,-1374,-3764,8162
245,-1162,-2462,6356
247,-1000,-3030,7418
248,-1072,-2598,7154
250,-1186,-3756,7158
251,-1078,-2688,6568
252,-974,-5020,7390
254,-1676,-3782,6980
255,-1104,-5400,7336
257,-2034,-6106,7274
258,-1586,-4414,7440
259,-1632,-6002,7656
261,-1854,-3916,7792
262,-1462,-4960,7484
264,-1688,-3464,6884
265,-1208,-4560,7312
266,-1236,-4460,7136
268,-1532,-4990,7306
269,-1290,-5322,6706
271,-1554,-6110,7438
272,-1366,-5502,7008
273,-1510,-5810,7608
275,-1560,-6052,7614
276,-1326,-5482,6752
