timestamp,accX,accY,accZ
0,-2354,-7146,8052
2,-1522,-5778,6200
3,26,-5152,5588
5,452,-4678,5356
6,1120,-3254,5826
7,358,-3018,6142
9,-154,-3228,7608
10,-1782,-3370,8564
11,-2600,-3374,8740
13,-3506,-4314,8724
14,-3256,-4610,8934
15,-3270,-4962,7364
17,-2056,-4736,6722
18,-1198,-5124,5684
20,-218,-5488,5674
21,-274,-5054,6214
22,-76,-4538,6132
24,-788,-4790,7872
25,-1282,-4796,8378
27,-1782,-3804,7640
28,-1956,-3706,8444
29,-2458,-3760,7714
31,-1696,-3716,6514
32,-1472,-3210,6364
33,-1318,-4360,6424
35,-864,-4638,6532
36,-1214,-5634,6524
38,-1088,-5982,7490
39,-1478,-6860,7304
40,-1278,-6390,7504
42,-1094,-6118,8468
43,-984,-3480,6520
44,-576,-3272,7048
46,-684,-2282,6072
47,-736,-2154,6218
49,-1276,-2854,7300
50,-1832,-3948,7032
51,-2212,-5262,8376
53,-3132,-6186,7562
54,-2616,-6696,7900
56,-2576,-7486,7548
57,-1166,-5454,5958
58,-586,-4744,6666
60,-280,-3442,5046
61,390,-2192,5194
62,96,-3152,7774
64,-1266,-1826,6432
65,-1888,-3012,7808
67,-2696,-4670,8890
68,-3108,-5122,8082
69,-3140,-6168,8534
71,-2712,-6510,7138
72,-1536,-6060,6588
73,-450,-6056,5522
75,708,-4438,5068
76,678,-4452,6608
78,416,-3518,5938
79,-510,-3832,7122
80,-954,-3324,9204
82,-2224,-3740,7966
83,-2518,-3800,8952
85,-2524,-4194,8244
86,-2446,-3852,7652
87,-1726,-4324,5728
89,-874,-5734,6196
90,-610,-4904,6160
92,-298,-5406,6242
93,-816,-5198,7854
94,-1550,-5212,8636
96,-1582,-4868,7874
97,-1492,-4262,7992
99,-1896,-3514,7886
100,-1958,-3554,6980
101,-1152,-2630,6522
103,-1344,-3098,6382
104,-1520,-4866,7706
105,-2018,-5196,7180
107,-1698,-5164,7728
108,-2380,-7312,8818
110,-2056,-7212,8026
111,-1640,-6052,7564
112,-762,-5456,7266
114,-704,-5402,6940
115,-4,-2768,6326
116,576,-2484,5748
118,-112,-2452,7712
119,-1174,-2532,7316
121,-1862,-2970,8420
122,-3526,-5950,9502
123,-2748,-5674,8116
125,-2650,-7428,8362
126,-1932,-6882,8138
127,-1330,-5338,6116
129,86,-4534,6458
130,570,-3708,5060
132,848,-3002,6974
133,-192,-2718,7332
134,-834,-1996,8044
136,-2620,-3756,9986
137,-3128,-3868,7842
139,-3276,-5062,8646
140,-3224,-6024,8686
141,-2796,-5412,6398
143,-1318,-5828,6678
144,-470,-4896,5224
146,-14,-5820,6320
147,-268,-4692,6456
148,-530,-4694,6902
150,-1114,-4526,8450
151,-1930,-4528,8398
153,-2100,-4422,7920
154,-2008,-3916,8322
155,-2048,-3930,7674
157,-1482,-3554,6444
158,-1076,-4630,6342
160,-662,-5058,6334
161,-1026,-5828,6266
162,-870,-5808,6930
164,-1124,-6698,8172
165,-1710,-5822,7852
167,-1084,-5240,7868
168,-1236,-4080,7500
169,-956,-2978,7566
171,-1194,-2056,6458
172,-1002,-2542,6332
173,-1166,-2772,6986
175,-1748,-3472,7398
176,-2096,-4128,7672
178,-2922,-5948,8602
179,-2756,-7052,7922
180,-2234,-7036,7744
182,-1832,-6166,7076
183,-368,-4670,6286
185,-20,-3194,6468
186,556,-2342,5914
187,58,-2130,6924
189,-1182,-3104,7628
190,-1906,-3386,7788
191,-2252,-5164,9102
193,-3350,-5808,8968
194,-3366,-6186,8202
196,-2134,-6626,7430
197,-1490,-5806,6640
198,-948,-5562,5680
200,616,-5092,4878
201,1160,-4498,6316
203,576,-3376,6570
204,-434,-3194,8558
205,-1776,-3766,9546
207,-2434,-3506,8266
208,-2494,-4352,8858
209,-2674,-4748,8478
211,-2480,-4080,6338
212,-1680,-4418,6698
214,-910,-4868,5578
215,-600,-5686,6584
216,-798,-4996,6454
218,-534,-4774,7888
219,-1478,-5358,8984
221,-1660,-4966,7694
222,-1674,-4070,8686
223,-1782,-4048,8378
225,-1992,-3044,7186
226,-1324,-2758,6944
228,-1028,-3084,6416
229,-1428,-4526,7202
230,-1788,-4998,7118
232,-1148,-6806,7864
233,-2156,-6638,8178
235,-1630,-6788,7874
236,-1106,-6566,7276
237,-1130,-5086,7232
239,-616,-3506,6904
240,-12,-2696,6310
242,116,-2576,6560
243,-634,-2742,7196
244,-1032,-2166,6740
246,-1710,-4456,8720
247,-2948,-5784,8530
248,-3008,-5824,8046
250,-2488,-7098,8150
251,-2078,-6626,6600
253,-744,-5694,6688
254,-206,-4626,6444
255,258,-3150,5720
257,-160,-3106,6642
258,-286,-2590,6946
260,-1700,-3334,8064
261,-2252,-3066,8754
262,-3620,-4738,8632
264,-3226,-5320,8320
265,-3282,-5562,7442
267,-2352,-5246,6880
268,-994,-5870,5596
269,76,-5452,5244
271,392,-4764,5782
272,-152,-4766,6516
273,-396,-4024,6284
275,-734,-4024,9444
276,-1950,-4034,8540
