timestamp,accX,accY,accZ
0,406,-4564,6394
2,438,-3110,6398
3,-40,-3278,8262
4,-1900,-3956,9446
6,-2304,-3406,8124
7,-2866,-4890,8886
9,-2820,-4370,7202
10,-1890,-4606,6390
11,-1218,-4836,6854
13,-1016,-4648,6002
14,-234,-5678,5914
16,-2,-4728,5770
17,-46,-5592,7626
18,-1128,-6002,8694
20,-1574,-3922,7378
21,-2310,-4112,8830
22,-2230,-4448,7222
24,-2354,-1732,7236
25,-1994,-3298,7888
27,-1768,-2992,5898
28,-1182,-4418,6512
29,-1682,-5108,6944
31,-1628,-6636,7370
32,-1744,-7118,7660
33,-1624,-7274,7822
35,-1244,-6650,7454
36,-1020,-5472,7198
38,-746,-4026,7356
39,-444,-2952,6492
40,110,-2242,6358
42,-504,-2278,7354
43,-1484,-2246,6748
45,-1944,-3926,8266
46,-2554,-5468,9040
47,-2722,-6366,7518
49,-2390,-7156,7858
50,-1982,-7174,6972
51,-576,-5742,6544
53,248,-4740,5588
54,686,-3790,5762
55,122,-2766,6720
57,70,-1994,6594
58,-1388,-2384,7896
60,-2566,-3356,9538
61,-3288,-3706,8102
62,-3610,-4710,8414
64,-3530,-6184,7902
65,-2246,-5422,6664
67,-1450,-5974,6460
68,-986,-5534,5264
69,214,-5480,5602
71,144,-5304,6104
72,268,-4250,6376
73,-776,-4772,7968
75,-1354,-4666,8434
76,-2290,-4004,8402
77,-2532,-3686,8522
79,-2260,-4018,7610
80,-1868,-4276,7386
82,-1826,-4140,5366
83,-638,-4622,6096
84,-978,-5782,6808
86,-534,-5886,5992
87,-398,-6324,6468
89,-1180,-6154,8684
90,-1256,-4740,7082
91,-964,-4472,8144
93,-1666,-2976,8324
94,-1288,-1792,7378
95,-956,-2364,6082
97,-1018,-2160,6892
98,-1676,-2900,7286
100,-1696,-3718,6458
101,-2232,-5472,7592
102,-2440,-6822,8024
104,-2200,-6340,7092
105,-1644,-7058,7788
107,-930,-5358,6820
108,-640,-4558,6094
109,-52,-3408,5992
111,-84,-2694,6344
112,-172,-2274,7438
113,-1592,-2858,7668
115,-2368,-3638,8802
116,-2930,-5076,8524
118,-3592,-6554,8654
119,-2808,-7266,7588
120,-1612,-6922,6242
122,-1020,-6758,7140
123,-268,-4762,4920
124,986,-4524,4732
126,916,-3388,7264
127,122,-2900,6024
129,-266,-2634,8704
130,-2450,-3840,8990
131,-2988,-3370,8712
133,-2902,-4428,8248
134,-2614,-4232,7644
136,-2676,-4716,7090
137,-1068,-4130,5252
138,-156,-5062,6618
140,-550,-5074,6552
141,114,-4518,5398
143,-658,-5264,8234
144,-1882,-4914,8744
145,-1646,-4428,7902
147,-2218,-3792,8688
148,-1968,-3822,8154
150,-2378,-3236,7624
151,-1800,-3072,6604
152,-1200,-3346,6666
154,-1528,-4946,6918
155,-1154,-4992,6780
156,-1570,-6524,7300
158,-1650,-6846,8246
159,-1680,-7262,7650
161,-1166,-6262,7254
162,-598,-5438,7258
163,-904,-3322,6982
165,-184,-2634,6516
166,-154,-1882,6226
168,-1218,-3242,7760
169,-1752,-3034,6900
170,-2216,-4722,7692
172,-2552,-6186,8912
173,-2692,-6826,7562
175,-2164,-6746,7470
176,-1308,-6324,6656
177,-336,-5176,6450
179,-192,-3746,5598
180,284,-3188,5950
182,0,-2768,7178
183,-982,-1752,7060
184,-1828,-2448,8510
186,-3226,-4264,8700
187,-3630,-4792,7600
189,-3126,-5952,8830
190,-3182,-5884,7234
191,-1358,-5798,6384
193,-912,-5302,5762
194,26,-5200,6024
195,552,-4536,6040
197,652,-4272,6134
198,-438,-4788,8640
200,-1698,-4854,7686
201,-2298,-3368,7858
202,-2526,-4530,9716
204,-2890,-3594,7674
205,-2050,-3768,6922
206,-1634,-3884,6018
208,-778,-4868,5866
209,-540,-6020,6124
211,-508,-5522,5876
212,-682,-5990,7170
213,-814,-5944,7800
215,-1254,-4924,7516
216,-1366,-4574,8362
218,-1406,-3610,7314
219,-1544,-2692,7528
220,-1400,-2340,6538
222,-1340,-2218,5962
223,-1356,-4026,7752
225,-1940,-4348,7288
226,-2272,-4856,8356
228,-2584,-7010,8858
229,-2668,-7370,7136
230,-1674,-6624,7352
232,-900,-6448,7490
233,-654,-3662,6018
234,456,-2816,6018
236,52,-2986,6684
237,-42,-1842,7214
239,-1156,-2904,7344
240,-2076,-3466,8802
241,-2994,-4770,9160
243,-3170,-5846,7870
244,-2556,-6728,8254
245,-1942,-6840,7364
247,-968,-5728,5856
248,526,-4134,5256
250,1058,-4708,5634
251,1108,-3066,6282
252,-50,-3032,6394
254,-442,-3336,8530
255,-2264,-3440,9066
257,-2584,-3244,9164
258,-3314,-4810,9492
259,-3108,-4430,7376
261,-2400,-5806,7594
262,-1792,-4944,6978
263,-558,-5128,5028
265,-282,-5530,6952
266,-384,-5100,7130
268,-712,-5032,7050
269,-1680,-5422,8970
270,-2012,-4558,7564
272,-2164,-4626,7938
273,-2184,-4052,8686
274,-2102,-3406,7408
276,-1618,-3238,7030
