timestamp,accX,accY,accZ
0,-356,-4738,5856
2,-526,-5942,6874
3,-120,-5452,6412
4,-760,-5832,7484
6,-1340,-6018,8924
7,-1158,-5100,7616
9,-1598,-4436,8174
10,-1672,-3912,8410
11,-1554,-2606,7308
13,-1198,-2456,6744
14,-940,-2728,5554
15,-806,-4710,7170
17,-1562,-4430,6578
18,-1318,-5588,7484
19,-1502,-6556,8576
21,-2256,-7304,7782
22,-1750,-5944,7682
24,-980,-5492,8166
25,-924,-4130,6144
26,-520,-2432,6662
28,-272,-2932,6946
29,-550,-1316,6484
30,-2236,-2072,7216
32,-2082,-3918,8422
33,-3112,-5422,8344
35,-3284,-6394,7948
36,-3412,-7454,8418
37,-2046,-7456,7238
39,-1294,-6676,6342
40,-812,-4784,6664
41,782,-4440,6064
43,444,-3822,5514
44,-320,-2660,7198
45,-540,-2716,8032
47,-1528,-3524,8050
48,-2526,-3144,8244
50,-3166,-4676,8886
51,-2726,-4928,6934
52,-1964,-5594,6690
54,-1722,-6384,7058
55,-2,-5276,4518
56,462,-5282,6042
58,300,-4664,7262
59,-278,-4688,6156
61,-378,-4240,8946
62,-1778,-3102,9040
63,-2252,-2836,8772
65,-2624,-3880,9120
66,-2420,-3030,7572
68,-2216,-4146,7404
69,-1948,-3862,6578
70,-660,-4326,5978
72,-1374,-5430,6970
73,-1000,-5466,6492
74,-1400,-6614,7698
76,-1990,-6688,8152
77,-1590,-6354,7552
78,-1652,-5400,8446
80,-1362,-4184,7652
81,-1550,-2612,7264
83,-948,-2412,7412
84,-838,-2618,6362
85,-1918,-3408,6868
87,-1514,-4322,7792
88,-2208,-6162,7050
89,-2072,-6608,7754
91,-2310,-7970,8110
92,-1376,-7344,7286
94,-676,-5910,6454
95,-282,-4264,6866
96,518,-3076,6164
98,296,-2376,6302
99,-334,-1580,7212
100,-1238,-1312,7462
102,-1730,-3034,8576
103,-2914,-3862,8780
105,-3388,-5000,8748
106,-3034,-6584,8216
107,-2114,-6238,6848
109,-1618,-6056,6816
110,-654,-5062,5512
111,738,-5114,5720
113,304,-3768,6594
114,-170,-2924,6598
116,-508,-3344,8528
117,-2318,-4214,9488
118,-2888,-2986,8984
120,-3046,-4982,9008
121,-2884,-4510,8342
122,-2632,-5344,7426
124,-1976,-5146,6476
125,-258,-5558,5410
126,-212,-5694,6202
128,-96,-5782,6468
129,-370,-5594,7166
131,-1088,-6010,8636
132,-1148,-5076,8142
133,-1418,-4932,8606
135,-1664,-4130,8636
136,-1666,-2460,7374
137,-1444,-2964,7606
139,-1218,-2340,6220
140,-832,-3958,6752
142,-1654,-4536,7258
143,-1452,-5234,6942
144,-1360,-6742,7984
146,-2220,-7382,8294
147,-1804,-5732,7662
148,-1458,-5594,8302
150,-922,-4906,6256
151,-556,-1838,6784
153,-478,-2090,7170
154,-676,-1866,6336
155,-1948,-1928,7194
157,-1960,-2970,7968
158,-2602,-5996,8976
159,-3062,-6158,8492
161,-3170,-7376,8012
162,-2034,-7394,8116
164,-1246,-7290,5762
165,-184,-4984,5342
166,724,-4666,6140
168,352,-2786,5868
169,-86,-1890,6200
170,-390,-2682,8578
172,-2410,-3734,9370
173,-2570,-3680,8508
175,-3026,-5742,9004
176,-3050,-6304,9010
177,-2480,-5668,6614
179,-1260,-6084,6542
180,-326,-5292,5848
181,200,-5084,5738
183,394,-4560,6576
184,134,-4294,6872
186,-572,-4440,8520
187,-2010,-3788,9020
188,-2138,-3338,8646
190,-2822,-4052,9218
191,-2920,-3274,8022
192,-2518,-3748,7542
194,-1890,-3568,6868
195,-1134,-4258,5648
197,-972,-5552,6570
198,-814,-6114,7076
199,-1194,-6110,7108
201,-1424,-6818,8684
202,-1452,-6362,7274
203,-1362,-5002,8132
205,-1438,-4388,8416
206,-1242,-2554,6606
208,-1050,-2362,7488
209,-768,-2676,6590
210,-1378,-3518,6884
212,-1566,-3636,7668
213,-1670,-6508,7160
214,-1856,-6562,8234
216,-2580,-7402,7750
217,-1554,-7222,7100
219,-828,-6418,7488
220,-402,-3532,6474
221,206,-3198,6862
223,208,-2498,5844
224,-278,-1390,6282
225,-1548,-1766,8002
227,-1550,-3176,8054
228,-2730,-4252,8100
229,-3596,-4872,8826
231,-2998,-6538,7874
232,-2462,-6714,7020
234,-1610,-6266,7092
235,-880,-6330,5756
236,538,-5224,5290
238,622,-3690,6372
239,-266,-3722,7218
241,-506,-2890,7612
242,-1784,-3812,9206
243,-2802,-3412,8734
245,-3062,-4772,8338
246,-2990,-5024,8384
247,-2412,-5582,7586
249,-1646,-5200,6234
250,-694,-5130,5822
251,134,-5762,6272
253,318,-5010,6096
254,314,-4992,6680
256,-300,-5500,8694
257,-1494,-5188,7258
258,-1624,-3780,7836
260,-1878,-4148,9106
261,-2108,-2240,7230
262,-1854,-2418,7366
264,-1516,-2316,6332
265,-1278,-3980,6112
267,-1750,-4430,6708
268,-1538,-6066,7126
269,-1260,-6302,7324
271,-1954,-7048,7814
272,-1636,-6404,8008
273,-1250,-5788,8102
