timestamp,accX,accY,accZ
0,-1320,-4250,5816
2,-970,-5118,6442
3,-1354,-4786,6270
4,-1364,-5762,7022
6,-1560,-6128,7978
7,-1786,-6112,7838
9,-1556,-4548,7510
10,-1604,-4310,7896
11,-1254,-2542,7100
13,-898,-2510,6832
14,-694,-2212,6370
16,-1030,-2680,6366
17,-1622,-3174,7558
18,-2086,-5064,7816
20,-2270,-6284,7810
21,-2534,-7746,8380
22,-2086,-7642,8148
24,-1676,-7028,6810
25,-302,-5214,6766
27,-296,-4306,6380
28,572,-2748,5558
29,302,-2254,6404
31,-374,-2364,7060
32,-1586,-3080,7812
34,-2184,-4484,8712
35,-3290,-5366,8300
36,-3106,-6424,8814
38,-2724,-6280,6878
39,-1650,-6366,7066
40,-964,-5928,5180
42,-288,-4622,4926
43,344,-4608,6152
45,150,-3750,6638
46,-834,-3032,7000
47,-1544,-3216,8818
49,-2348,-3628,8534
50,-2986,-3548,8090
51,-3108,-4592,8296
53,-2800,-4312,7650
54,-1960,-5270,6970
56,-1486,-4652,5726
57,-494,-5250,6298
58,-750,-5334,6104
60,-712,-5686,6656
61,-586,-5966,8400
62,-1458,-5416,8378
64,-1250,-3994,7800
65,-1756,-4046,8286
67,-1650,-2786,7836
68,-1360,-2446,6424
69,-834,-2912,5534
71,-978,-3842,6274
72,-1182,-5042,6300
74,-1184,-5162,6038
75,-1382,-6750,8518
76,-2012,-7202,8262
78,-1666,-6690,7620
79,-1386,-4982,7690
80,-1092,-4462,7654
82,-482,-3538,6308
83,70,-2138,5994
84,-624,-1812,6612
86,-914,-2252,6940
87,-1972,-2816,7140
89,-2354,-4588,9092
90,-3068,-6174,8148
91,-3100,-6448,7886
93,-2536,-6976,7420
94,-1598,-6892,6798
96,-896,-6190,6052
97,616,-3870,5404
98,248,-3542,6052
100,190,-2136,7362
101,-656,-2872,6910
102,-1542,-2810,9196
104,-2888,-4032,8462
105,-3174,-4330,8520
107,-3018,-5778,7976
108,-2128,-5632,6526
109,-1710,-6058,7024
111,-372,-5014,4964
112,688,-5258,4978
113,586,-4352,6594
115,134,-4144,6004
116,-268,-3652,8340
118,-1540,-4046,8508
119,-2012,-3082,8106
120,-2392,-3608,8750
122,-2314,-3336,7668
123,-2252,-2956,7272
124,-1522,-3636,6144
126,-1042,-3874,5336
127,-820,-5456,6822
129,-952,-5114,5970
130,-1034,-6026,7674
131,-1730,-6230,8298
133,-1538,-5878,7744
134,-1556,-4762,8070
135,-1440,-3816,7808
137,-1584,-3284,7232
138,-962,-2296,6858
140,-1038,-2792,6048
141,-1224,-4090,7518
142,-1850,-4170,6906
144,-2110,-5130,7912
145,-2442,-7050,8282
146,-2374,-7820,7968
148,-2198,-6982,7460
149,-1038,-6798,7018
151,-338,-5728,6070
152,104,-3216,6162
153,746,-2728,5952
155,328,-1806,6464
156,-920,-1222,6878
157,-1570,-2378,8692
159,-2212,-4310,8552
160,-3018,-4954,8160
162,-3498,-6652,8328
163,-2312,-6234,7166
164,-1652,-6604,6692
166,-1222,-4894,5950
167,702,-4496,5222
168,174,-4314,6324
170,-310,-2730,6850
171,-592,-2806,6616
172,-1102,-3584,9630
174,-2632,-2918,8556
175,-3036,-3746,9158
177,-3062,-4946,8226
178,-2624,-4656,7456
179,-2098,-5202,6658
181,-550,-4952,5202
182,-334,-5856,6608
184,-366,-5352,6116
185,-212,-5536,5752
186,-494,-5946,8892
188,-1418,-5654,8028
189,-1396,-4142,8478
190,-1892,-4168,8820
192,-1790,-3052,7556
193,-1592,-3356,7508
195,-1240,-2798,5936
196,-888,-3224,6764
197,-1366,-4664,6844
199,-984,-5142,7264
200,-1300,-6480,8128
201,-2016,-7102,7896
203,-1710,-7034,7650
204,-1428,-5154,7960
206,-854,-4280,7204
207,-956,-2350,6996
208,-520,-2074,6724
210,-646,-1768,6422
211,-1740,-1878,7056
212,-1792,-3062,7682
214,-2628,-5542,8180
215,-3218,-5842,7980
217,-3206,-6994,8452
218,-2180,-7322,7352
219,-1138,-6758,6362
221,-786,-5180,6332
222,470,-3382,5462
223,644,-3940,6730
225,166,-2544,6930
226,-320,-1926,6438
228,-1152,-3852,9526
229,-3034,-4014,9236
230,-2746,-4750,8192
232,-2978,-6302,8646
233,-2652,-5796,7248
234,-2058,-6680,6648
236,-318,-5002,5186
237,326,-5060,6250
239,408,-4854,7008
240,308,-4232,5754
241,-270,-4380,8500
243,-1976,-4122,9628
244,-1714,-3534,7998
245,-2622,-4230,9100
247,-2856,-3074,8394
248,-2614,-3818,7016
249,-1906,-3364,6532
251,-1026,-4328,5888
252,-1092,-6270,6724
254,-1102,-5860,6630
255,-1092,-5900,7340
256,-1636,-6730,9012
258,-1772,-6224,7596
259,-1516,-4946,8028
261,-1578,-3636,8752
262,-1560,-2938,7088
263,-990,-2258,7084
265,-858,-2258,6518
266,-812,-4116,7440
267,-1574,-4024,7444
269,-1574,-5612,7400
270,-2130,-7102,8832
272,-2614,-7308,7112
273,-1424,-7110,6992
274,-960,-6410,7510
