timestamp,accX,accY,accZ
0,-2,-2852,6368
2,-1200,-3528,9732
3,-2828,-4298,9036
4,-2814,-3858,8392
6,-2828,-5002,9172
7,-2572,-5822,8038
9,-1988,-4840,6168
10,-1052,-5818,5896
11,-438,-5234,5942
13,380,-4576,6110
14,436,-4820,6126
15,-442,-4408,8100
17,-1776,-4184,8880
18,-1810,-3676,7940
20,-1786,-3550,8450
21,-2420,-3440,8194
22,-2344,-2830,6814
24,-1266,-2798,6386
25,-1506,-3740,6594
27,-1356,-4164,7040
28,-1356,-5688,6742
29,-1482,-6040,7550
31,-1986,-6730,8472
32,-1672,-6494,7606
34,-1190,-5742,7598
35,-1110,-4434,7578
36,-1060,-3638,6664
38,-312,-2056,6134
39,-244,-2922,7318
40,-1532,-2638,7320
42,-1930,-3462,6822
43,-1844,-6046,8932
45,-2810,-6834,8552
46,-2492,-6306,7722
47,-2346,-8216,8346
49,-1236,-6514,7052
50,-358,-4732,5978
51,652,-4392,6164
53,932,-3262,5834
54,-226,-2284,6896
56,-608,-2094,7530
57,-1356,-3078,8816
58,-3288,-4304,9416
60,-3330,-3938,8518
61,-3272,-6356,8848
63,-3064,-5924,6178
64,-936,-5482,6198
65,-834,-5782,6760
67,104,-4762,5362
68,158,-4354,6006
70,108,-3760,7182
71,-388,-3338,7320
72,-1822,-3866,8594
74,-2638,-3606,8972
75,-2652,-3468,8436
77,-2540,-4654,7630
78,-2072,-4410,7340
79,-1808,-4894,6850
81,-826,-4890,5406
82,-126,-5462,6220
83,-530,-5338,6590
85,-384,-6024,6800
86,-698,-5758,7652
88,-1182,-5320,7868
89,-1370,-4844,7682
90,-1234,-4296,7906
92,-1486,-2644,7270
93,-1382,-2094,6718
94,-1028,-3200,6768
96,-1412,-2696,6816
97,-1854,-3810,7108
99,-2186,-5946,7586
100,-2146,-6540,8568
101,-2106,-6554,7186
103,-1496,-7210,7632
104,-1694,-5010,7054
106,-446,-4174,6434
107,-328,-2862,6232
108,136,-2732,6376
110,-750,-2110,6574
111,-1478,-3038,7640
112,-2480,-3410,7942
114,-2828,-5038,8906
115,-3488,-6036,8250
117,-2862,-7034,8226
118,-2462,-6458,6742
119,-824,-5788,6078
121,-196,-6004,5462
122,1206,-3984,5244
123,1038,-3730,5434
125,160,-2814,6730
126,-758,-2574,7716
128,-1272,-3538,9150
129,-2668,-4228,8828
130,-2940,-4270,8306
132,-3042,-5448,8046
133,-2286,-4656,6902
134,-1366,-5262,5892
136,-398,-5376,5490
137,-2,-5018,6120
139,-56,-4112,5862
140,-476,-4920,7024
141,-838,-5442,8094
143,-1946,-4122,7926
144,-1968,-3548,7964
146,-2552,-4218,8242
147,-2518,-3040,7896
148,-2036,-3230,6460
150,-1472,-4254,6420
151,-1254,-4510,6554
152,-1394,-5324,6346
154,-1310,-5962,7198
155,-1398,-6906,8210
157,-1638,-6892,7266
158,-1530,-6288,7684
159,-1124,-4286,7590
161,-980,-3794,7004
162,-872,-3452,6634
163,-142,-2184,6240
165,-648,-1910,6488
166,-1164,-3054,7598
168,-1826,-4820,7430
169,-1966,-5392,8252
170,-2650,-6778,7948
172,-2280,-6940,8094
173,-1676,-5916,7068
174,-748,-5382,6772
176,24,-4270,5796
177,948,-3216,5512
179,356,-2842,5932
180,-380,-1982,7398
181,-1550,-2248,7204
183,-2020,-2370,9508
184,-3554,-4712,9464
185,-3602,-4380,8340
187,-3338,-6228,8364
188,-2560,-6566,7506
190,-1404,-6054,5644
191,-140,-5530,5276
192,568,-5356,5944
194,56,-3556,6004
195,-348,-3710,6380
196,-596,-4110,8622
198,-1422,-3912,8772
199,-2598,-4216,8112
201,-2888,-4948,8696
202,-2258,-4632,7152
203,-2134,-4358,7132
205,-1106,-4980,5948
206,-390,-4774,5352
207,-16,-5216,6496
209,-176,-5406,5988
210,-384,-5838,8146
212,-1270,-5666,8266
213,-1376,-4598,7520
214,-1258,-3964,8272
216,-1506,-3412,7852
217,-1732,-2512,7238
219,-1080,-2258,6554
220,-1266,-2770,6054
221,-1110,-3568,7450
223,-1930,-4416,7002
224,-1740,-6216,8024
225,-2096,-6460,8394
227,-2232,-6420,7398
228,-1734,-5648,7502
230,-1008,-5370,7214
231,-876,-4386,6538
232,-16,-2528,5816
234,30,-2556,6280
235,-492,-2086,7362
236,-1836,-2802,6866
238,-2018,-3504,9116
239,-2970,-5816,8928
241,-2984,-5992,7910
242,-3052,-7612,8624
243,-1882,-7428,7516
245,-832,-5794,5718
246,48,-4966,6044
247,1058,-4858,5568
249,702,-3166,6110
250,-148,-2386,6664
252,-854,-3090,8400
253,-2676,-3536,9070
254,-2934,-3788,8392
256,-3324,-5270,9138
257,-2730,-5238,7760
258,-2646,-4984,6646
260,-1402,-5140,7152
261,-264,-5270,5174
263,256,-4784,5826
264,140,-3886,6654
265,-424,-4422,7152
267,-1244,-3908,8310
268,-1968,-4446,8260
269,-2320,-4258,8544
271,-2324,-4140,8390
272,-2226,-3112,7176
274,-1978,-3786,7466
275,-1578,-4130,6528
