timestamp,accX,accY,accZ
0,-1752,-5544,6722
2,-408,-5158,5722
3,484,-4856,4964
4,1002,-4884,6142
6,686,-4544,6356
7,-440,-4792,7634
9,-1290,-3708,8626
10,-2242,-3756,8874
11,-2352,-3446,8542
13,-2372,-3388,8376
14,-2568,-2562,7232
15,-1938,-3890,6954
17,-1196,-4140,5912
18,-940,-5654,6696
20,-1080,-5378,6838
21,-1106,-5856,6882
22,-1298,-6126,8554
24,-1912,-6192,8090
25,-1354,-4750,7778
26,-1334,-4470,7796
28,-1502,-3600,7174
29,-1166,-2476,6710
31,-738,-2468,6464
32,-1178,-3356,7548
33,-2210,-4250,7940
35,-1824,-4756,7328
36,-2170,-7294,8984
37,-2394,-7762,8424
39,-2220,-7082,7238
40,-1288,-6708,7146
42,-240,-5734,6280
43,362,-3434,5682
44,1076,-2390,5876
46,-10,-2308,7160
47,-824,-1878,7026
48,-1416,-2522,8566
50,-1928,-4658,9784
51,-3404,-4576,8396
53,-3358,-6910,8530
54,-2730,-5914,7994
55,-1892,-5694,6300
57,-884,-5132,6326
58,530,-4590,5220
59,586,-4196,5830
61,500,-2776,6614
62,-646,-3508,6916
63,-996,-3560,8834
65,-2776,-3422,8818
66,-3122,-3022,8956
68,-3124,-4722,8776
69,-2730,-4574,7088
70,-2462,-5676,7340
72,-1082,-4860,5598
73,-250,-5172,5756
74,-560,-5732,6622
76,98,-6180,6716
77,-648,-5076,7636
79,-1472,-5616,8776
80,-1726,-5312,7390
81,-1850,-3848,8008
83,-1752,-3750,8380
84,-1806,-3568,6996
85,-898,-2932,6212
87,-1414,-3112,6738
88,-1466,-4376,7014
90,-1156,-5032,6402
91,-1418,-5856,7350
92,-1580,-6226,8308
94,-1840,-6992,7910
95,-1294,-5150,7474
96,-988,-5192,7160
98,-752,-3850,6594
99,-302,-1548,6332
100,-642,-2264,6362
102,-848,-2326,7762
103,-2134,-2422,7396
105,-2596,-3112,8852
106,-3026,-5902,8522
107,-3182,-6604,8070
109,-2422,-7270,7818
110,-1588,-6476,6628
112,-422,-5982,6726
113,208,-3784,5616
114,1142,-3544,6124
116,342,-2700,7332
117,-202,-2676,6540
118,-1238,-2536,8940
120,-3142,-4672,9920
121,-3110,-4336,8172
123,-3018,-6520,8808
124,-2668,-5506,8088
125,-2026,-5618,6666
127,-620,-5366,5746
128,452,-5224,4886
129,402,-5086,6164
131,742,-4180,6226
132,-180,-4550,7680
133,-1736,-4038,9344
135,-2350,-4212,9114
136,-2148,-3598,8384
138,-2744,-4488,9166
139,-3018,-3302,7088
140,-1742,-3692,6262
142,-1364,-3860,6490
143,-996,-5448,6674
145,-1286,-5074,5940
146,-630,-6206,7284
147,-1246,-5800,8414
149,-1644,-6498,7218
150,-1362,-4868,7678
151,-1786,-4354,8080
153,-1512,-3632,7070
154,-660,-2204,6138
156,-628,-2338,7104
157,-1240,-3406,7134
158,-1842,-3476,6726
160,-1526,-5044,7936
161,-2058,-6350,8040
162,-2342,-7182,8084
164,-2170,-7284,7572
165,-1114,-6334,7112
167,-606,-5566,6690
168,-72,-3160,6324
169,980,-2504,5774
171,-174,-1998,6626
172,-928,-1082,7452
174,-1416,-3052,8018
175,-2894,-4288,8728
176,-3678,-5544,8766
178,-2928,-6432,8102
179,-2818,-6438,7360
180,-1946,-6028,7132
182,-840,-5464,6276
183,316,-4522,5154
185,200,-3940,5856
186,292,-3434,6948
187,-260,-3106,7030
189,-1660,-3982,8670
190,-2972,-4140,8632
191,-2842,-4804,8506
193,-3150,-5042,9086
194,-2870,-4644,7554
196,-1790,-5996,7382
197,-1338,-5128,5030
198,64,-5696,5622
200,58,-5538,6284
201,190,-5378,6512
203,-160,-4896,7032
204,-1114,-5092,8252
205,-1550,-3310,7814
207,-1598,-4064,8238
208,-1752,-2612,7492
209,-1546,-3278,7588
211,-1478,-2662,5508
212,-766,-3706,5954
214,-1504,-4520,7362
215,-1720,-5282,7210
216,-1528,-5684,6524
218,-1630,-6288,8686
219,-1676,-6580,8060
220,-1278,-5378,6840
222,-1074,-4116,7978
223,-1042,-3402,7476
225,-440,-1756,5292
226,-966,-2560,7000
227,-1356,-2898,7806
229,-2246,-4050,7062
230,-2546,-5286,8504
232,-2996,-6708,8052
233,-2898,-7314,8092
234,-2314,-7550,7190
236,-852,-6604,7082
237,-312,-5494,6300
239,16,-4130,5528
240,324,-3888,6482
241,470,-2964,6232
243,-814,-2884,6880
244,-1498,-3640,8976
245,-2546,-4136,8038
247,-3276,-4594,8676
248,-2918,-6094,8062
250,-2016,-5450,6924
251,-1522,-5872,6438
252,-1010,-4648,5552
254,612,-4582,5076
255,218,-4630,6556
256,-42,-4134,6730
258,-794,-3514,7556
259,-1448,-3880,9010
261,-2394,-3624,8052
262,-2488,-3464,9176
263,-2852,-3208,7840
265,-2468,-3306,7212
266,-1596,-4226,6116
268,-784,-4502,5586
269,-792,-5398,6816
270,-638,-5722,6492
272,-828,-5664,8002
273,-1534,-6572,9030
275,-1342,-5676,7436
