timestamp,accX,accY,accZ
0,-3016,-5058,8602
2,-2688,-5124,7606
3,-2208,-5570,6590
4,-326,-5084,5538
6,-126,-5346,5574
7,-78,-4764,6338
9,280,-5510,5968
10,88,-4780,8242
11,-1392,-5618,8786
13,-1702,-4208,7716
14,-1578,-4228,8604
16,-2070,-3276,7910
17,-2004,-3284,7444
18,-1548,-2298,6346
20,-852,-3710,6140
21,-1468,-4952,7228
23,-1384,-5662,6722
24,-1266,-6176,7700
25,-1758,-6990,8734
27,-1776,-6442,6904
28,-1230,-5382,8102
29,-1240,-4638,7890
31,-1308,-2840,6500
32,-676,-2566,6944
33,-692,-2568,6424
35,-1110,-2348,7138
36,-1848,-3314,7552
38,-2304,-4292,8108
39,-3086,-5866,8618
40,-2846,-7112,8268
42,-2528,-7336,7566
43,-1434,-7182,6996
44,-676,-4930,6096
46,492,-4250,6300
47,760,-3298,5810
49,594,-2700,6810
50,-708,-2058,7032
51,-986,-2594,8500
53,-2570,-4078,8802
54,-3330,-4650,8636
55,-3208,-6094,8458
57,-2182,-5932,6890
58,-1756,-5828,7020
60,-570,-5170,6390
61,426,-5216,5258
62,458,-4126,6278
64,122,-4078,6560
65,44,-3516,7640
66,-1588,-3748,9268
68,-2420,-3760,8526
69,-2702,-4080,8548
71,-3110,-3752,8438
72,-2556,-3946,7472
73,-2022,-4404,6632
75,-1176,-4392,5818
76,-1124,-5546,6330
78,-680,-5268,6664
79,-658,-6080,7030
80,-1390,-6618,8334
82,-1376,-6028,8488
83,-1700,-4716,7724
84,-1498,-4716,8060
86,-1734,-3778,7840
87,-1422,-2164,7092
88,-942,-2208,6414
90,-782,-3882,6818
91,-1510,-4438,7620
93,-1518,-4674,6890
94,-1344,-6566,8132
95,-1952,-6858,7970
97,-1678,-6700,7310
98,-1020,-6030,7818
99,-476,-4456,6268
101,-432,-3198,6714
102,-256,-2624,6500
103,394,-2458,6876
105,-1310,-1876,7546
106,-2058,-2408,8134
108,-2586,-4268,8960
109,-3562,-4872,8930
111,-3366,-6616,8238
112,-2628,-7374,8646
113,-1642,-5870,5726
115,-502,-5598,6316
116,290,-5352,5230
118,560,-3202,5410
119,-56,-3308,7050
120,-518,-2814,7148
122,-1746,-3668,8610
123,-3026,-4204,8624
124,-3170,-5162,8454
126,-3280,-5646,8908
127,-2718,-5800,7108
128,-1508,-5544,6590
130,-796,-5278,5472
131,168,-5046,5312
133,318,-5308,6088
134,410,-5110,6588
135,-344,-5100,7482
137,-1084,-4422,7864
138,-1876,-4020,8762
139,-2150,-4106,8868
141,-2150,-3158,7648
142,-1794,-3464,7532
144,-1928,-2850,6222
145,-1070,-3898,6396
146,-978,-4316,6464
148,-1404,-5904,7064
149,-1068,-5280,7254
151,-1506,-6454,7782
152,-1740,-5344,7614
153,-1390,-5816,8256
155,-1096,-3268,7050
156,-744,-3088,7042
157,-924,-2498,6150
159,-852,-2516,6292
160,-1712,-2974,7422
161,-1742,-4566,7298
163,-2088,-5286,7652
164,-2892,-6480,8336
166,-2564,-7036,7812
167,-1884,-7720,7428
169,-1550,-6332,6610
170,-268,-5150,5922
171,608,-4584,5456
173,450,-2468,5868
174,270,-2614,6416
175,-548,-2744,7012
177,-1908,-2592,7920
178,-2570,-4258,9058
179,-3276,-5438,8262
181,-3062,-6540,7934
182,-2902,-6238,7188
184,-1404,-5494,6434
185,-512,-5412,5922
186,192,-4024,5214
188,762,-3070,5726
189,-48,-3622,6776
190,-770,-3062,6750
192,-1630,-4048,9334
193,-2938,-4012,8816
195,-2860,-3760,8068
196,-3156,-4774,8304
197,-2588,-4494,7558
199,-2280,-4258,6284
200,-992,-5312,5704
201,-380,-5422,6062
203,-692,-5576,6140
204,-378,-5016,6250
206,-932,-6334,9256
207,-1430,-4994,7770
208,-1282,-4420,7230
210,-1356,-4240,8132
211,-1576,-2994,7508
213,-1172,-3306,6318
214,-588,-3280,5752
215,-1078,-3850,6854
217,-1384,-4790,6608
218,-1392,-5476,6706
219,-1790,-6478,8638
221,-1762,-6622,7308
222,-1474,-6620,7206
223,-1312,-5246,7546
225,-750,-3782,6452
226,-308,-3234,6518
228,146,-1990,5960
229,-424,-1924,6696
230,-1334,-2082,7256
232,-2406,-3554,7436
233,-2440,-5028,8834
234,-3464,-5850,7830
236,-2996,-6566,8178
237,-2934,-7518,7576
239,-1248,-5760,6248
240,-700,-5276,6178
241,188,-4318,5308
243,638,-3264,5738
244,238,-3062,7202
246,-692,-2808,7242
247,-1640,-3176,8970
248,-3078,-4526,8714
250,-2936,-4762,8452
251,-2948,-5142,8332
252,-2140,-5812,7136
254,-1604,-5396,6104
255,-786,-5962,6036
256,192,-4986,5100
258,750,-4780,6538
259,368,-4434,6928
261,-654,-4678,7232
262,-1018,-4028,8832
263,-2374,-3642,8346
265,-2306,-3634,8602
266,-2580,-3856,7918
267,-2234,-3112,7158
269,-2138,-4066,6330
270,-1612,-4562,6030
271,-958,-4604,6908
273,-1192,-6176,6918
274,-1146,-5830,6770
