timestamp,accX,accY,accZ
0,-904,-4184,9778
2,-1104,-1924,7928
3,-606,-2346,6724
4,-2196,-1614,6944
6,-3096,-2706,6404
7,-3640,-5270,7024
9,-3934,-7730,7508
10,-2856,-8988,8184
11,-250,-7478,8534
13,586,-7222,7090
14,1058,-3176,6458
15,1164,-2326,6294
17,208,-846,5564
18,-2096,-2044,6612
20,-3088,-3278,8168
21,-2974,-5056,8524
22,-2238,-6046,8604
24,-1320,-6198,8132
25,190,-4204,6066
26,-6,-3810,5912
28,-426,-3452,4628
29,-1134,-3510,4372
31,-1648,-6246,8186
32,-1922,-6208,7118
33,-1812,-4684,9522
35,-800,-4396,10036
36,-970,-3142,8236
37,-64,-1292,7354
39,-1782,-1584,7148
40,-2402,-1788,6116
42,-3790,-5108,6976
43,-4094,-8214,8244
44,-3182,-7984,7318
46,-1286,-8720,9090
47,54,-8234,6892
49,1784,-4688,5792
50,1012,-2252,5554
51,-346,-1320,4828
53,-1470,-2280,5502
54,-2542,-4890,9038
56,-3092,-4522,7678
57,-2152,-4794,9784
58,-1288,-6224,9168
60,-890,-4484,6130
61,46,-3830,5672
62,-488,-3058,5464
64,-1410,-5420,6168
65,-2070,-5742,6774
67,-1696,-5860,7502
68,-1954,-6038,9154
70,-1656,-5674,10740
71,-26,-980,6846
72,-282,-216,6628
74,-1152,-1678,7238
75,-3084,-1612,5378
76,-3564,-4262,6900
78,-4056,-7080,8096
79,-2832,-8752,8264
81,-1746,-9032,8070
82,158,-6732,7898
83,1570,-5800,6492
85,1300,-2676,4712
86,270,-2094,5092
87,-756,-2568,6860
89,-2410,-3946,7412
90,-3194,-4448,8386
92,-2778,-5332,9572
93,-1234,-5614,9508
94,-1318,-4732,7012
96,-238,-3628,6312
97,-736,-3526,5786
98,-988,-4604,5040
100,-1916,-5074,5766
101,-2640,-6574,7244
103,-1886,-5622,7828
104,-1442,-6392,9332
105,-340,-3864,7572
107,454,-1690,6700
108,-4,-1290,7330
109,-2830,-894,5766
111,-3482,-2624,6260
112,-3900,-6814,8584
114,-3010,-7476,7738
115,-2334,-7598,8960
116,-178,-8592,9092
118,718,-6484,6722
119,1430,-3578,5218
120,696,-2278,5750
122,-358,-2500,5676
123,-1774,-3784,7254
125,-2174,-4438,8228
126,-2088,-4218,8772
127,-2078,-5092,10636
129,-1590,-4942,7368
130,-654,-2762,6326
131,-382,-3276,6482
133,-2430,-3638,4554
134,-2460,-5038,5696
136,-3208,-6452,6958
137,-1740,-6036,6592
139,-1142,-8162,9948
140,-110,-4348,8010
141,846,-3084,6586
143,190,-690,6974
144,-1978,-654,5988
145,-2950,-1740,7774
147,-3954,-5680,7922
148,-3318,-6502,7266
150,-3192,-8972,9466
151,-708,-8926,9080
152,206,-5120,5760
154,916,-5272,6114
155,1060,-3798,4450
157,-856,-3380,5714
158,-1408,-3160,6576
159,-2422,-5386,8520
161,-2394,-4604,8970
162,-1632,-4302,9014
164,-1064,-2950,8114
165,-654,-2866,6910
166,-1608,-2164,6450
168,-1888,-3316,5050
169,-2450,-5336,6666
170,-3364,-7080,7530
172,-2396,-8128,7442
173,-248,-6186,8794
175,84,-6564,8498
176,452,-1342,6352
178,142,-1906,6648
179,-1020,-1014,5682
180,-3224,-2502,6836
182,-3964,-3986,8976
183,-3228,-7134,8794
185,-2534,-7526,8186
186,-1170,-7944,8606
187,648,-6240,6518
189,978,-4038,5500
190,778,-3564,4790
192,354,-2978,5194
193,-1966,-4356,7354
194,-2388,-5084,8384
196,-2262,-5048,9188
197,-1306,-5142,9502
199,-1276,-3542,7328
200,-1054,-2012,6734
201,-1124,-2802,5762
203,-2742,-2678,5286
204,-3100,-4954,6720
205,-4084,-7338,7560
207,-2048,-9190,7282
208,-834,-9282,8724
210,54,-4730,7192
211,654,-3176,6574
212,394,-1534,6668
214,-528,-1396,5588
215,-2176,-1094,7150
216,-2814,-5742,8570
218,-3920,-5864,8956
219,-3230,-6826,9628
221,-678,-7134,8834
222,-6,-5282,6828
223,22,-5148,6672
225,188,-3258,5530
226,258,-3490,4486
227,-1292,-3702,6356
229,-2300,-4518,8338
230,-2308,-4748,8660
232,-1254,-4932,8730
233,-836,-4748,8526
234,-1062,-856,7302
236,-962,-2332,6300
237,-1446,-2842,6374
238,-3346,-3816,6516
240,-3680,-4750,7398
241,-2818,-9320,8276
243,-2230,-9510,8068
244,192,-6240,7814
245,994,-5372,6394
247,650,-3064,6762
248,-230,-1846,5860
249,-1056,-1850,6020
251,-2358,-3230,8300
252,-4256,-5840,9494
254,-3454,-6156,8544
255,-932,-7230,9584
256,-906,-6088,8002
258,-344,-5388,6026
259,482,-4558,6974
260,538,-3632,3906
262,-1178,-4020,5292
263,-2166,-5336,8650
265,-2050,-4292,6062
266,-1070,-5134,8674
267,-828,-5186,8494
269,-364,-1118,6750
270,-992,-1826,6538
271,-1390,-1990,6314
273,-3440,-2118,6522
274,-3918,-4130,7788
276,-3102,-8692,7972
