timestamp,accX,accY,accZ
0,-44,-2444,5104
2,-1710,-3610,6736
3,-2532,-4578,8104
5,-2430,-4270,8462
6,-1646,-4974,9778
7,-1754,-2506,7844
9,-1224,-2596,6682
10,-962,-3512,6540
11,-1924,-2926,5262
13,-2944,-4284,7398
14,-3150,-7724,7616
16,-2830,-8310,7134
17,-1334,-7430,9268
18,64,-6800,8736
20,1228,-4026,6202
21,1052,-1866,7040
22,-398,-1602,6184
24,-810,-1266,6004
25,-3386,-4190,8222
27,-3662,-5052,7682
28,-3282,-7238,9016
29,-1316,-7486,9188
31,-930,-5480,6534
32,96,-5080,6876
34,552,-4406,4710
35,220,-3230,4784
36,-1466,-3148,5712
38,-2364,-5150,8318
39,-2904,-5082,8476
40,-2012,-4242,9766
42,-1426,-3744,9532
43,-938,-1870,7280
45,-1086,-3246,6516
46,-2054,-2300,6374
47,-2424,-3464,5846
49,-4026,-6404,7502
50,-3368,-9140,7996
51,-1454,-8012,7756
53,236,-6504,8058
54,428,-6106,6792
55,990,-2050,6358
57,948,-1578,6028
58,-232,-582,5796
60,-2922,-2886,7218
61,-3438,-5422,8790
62,-3486,-5798,7738
64,-2038,-6376,8868
65,-1548,-6356,7810
67,-50,-5186,6724
68,618,-3338,5346
69,54,-3992,4488
71,-1644,-2904,5084
72,-2406,-5046,8326
73,-1884,-5478,7028
75,-1570,-4530,10200
76,-1356,-4578,10082
78,-494,-2444,7594
79,-742,-1830,6784
80,-2128,-1664,6970
82,-2626,-2904,5674
83,-3794,-7416,7718
85,-3206,-8778,7804
86,-2400,-8624,7914
87,-842,-9104,10058
89,566,-7340,5984
90,1264,-3166,6468
91,1266,-2204,7000
93,42,-816,4986
94,-1816,-2398,6358
95,-3060,-3130,8260
97,-2802,-4866,8154
98,-2228,-6266,8836
100,-1864,-5754,8618
101,-552,-4558,6984
102,-16,-4358,5690
104,-586,-3356,4532
105,-1382,-3106,4892
106,-1824,-5078,7536
108,-2366,-6352,7448
109,-2156,-5724,9696
111,-1308,-4964,9938
112,-424,-3506,8494
113,-704,-2004,7266
115,-1452,-2390,6982
116,-1758,-2382,5802
117,-3684,-4474,5834
119,-3756,-6984,7938
120,-3416,-9194,7544
122,-794,-7992,7910
123,112,-8286,7744
124,746,-5042,6598
126,1600,-2474,5890
127,1080,-1272,4820
129,-1576,-768,5840
130,-2782,-2696,8992
131,-3298,-4670,8000
133,-2132,-4738,9632
134,-1730,-6268,9876
136,-940,-4730,7468
137,-410,-3570,6062
138,-966,-3752,5982
140,-1584,-3944,5154
141,-2704,-5574,7338
143,-1886,-6814,7744
144,-2212,-5310,8418
145,-1494,-5920,10362
147,-242,-1940,6726
148,408,-1546,6908
150,-824,-2166,6680
151,-3084,-1774,5370
152,-3380,-4270,6866
154,-3758,-7098,8074
155,-2732,-8254,6984
157,-1612,-9144,8938
158,620,-6934,8202
159,1100,-4940,5784
161,1088,-2802,5724
162,596,-1966,4868
164,-758,-2464,6778
165,-2100,-3572,7476
166,-2746,-3762,8348
168,-2948,-4630,10046
169,-2182,-5868,7908
171,-802,-4388,6822
172,-514,-4068,6450
173,-1128,-3774,5340
175,-1926,-4140,5084
176,-2612,-5770,7424
177,-2820,-6658,7764
179,-1994,-7066,8428
180,-1510,-6238,9226
182,374,-4414,7844
183,528,-2456,7452
184,156,-216,6410
186,-1938,-2178,6308
187,-2704,-3156,7078
188,-3352,-5968,7246
190,-3470,-7242,8830
191,-1020,-8976,8602
193,136,-7848,8050
194,964,-4838,6130
195,1310,-3592,5662
197,704,-1708,5158
198,-912,-2448,6004
200,-2064,-2502,6878
201,-2632,-4346,8464
202,-2884,-3046,9280
204,-2276,-4918,9612
205,-1294,-3882,7234
206,-624,-2874,6660
208,-990,-3360,5746
209,-2026,-3446,4758
211,-2410,-5216,7552
212,-2714,-7644,7384
213,-1968,-7422,7640
215,-980,-6402,9128
216,46,-4808,8618
218,242,-2128,6926
219,-182,-452,5630
220,-1394,-400,6786
222,-2938,-3468,7294
223,-3500,-5488,7834
224,-3288,-7300,7460
226,-1810,-7976,8804
227,-1568,-9638,7502
228,1220,-4718,5174
230,1752,-4270,5570
231,716,-3100,5168
233,-784,-2408,4890
234,-1172,-3434,6230
235,-2080,-4332,8626
237,-2952,-3842,8660
238,-1882,-5218,10122
239,-1004,-4020,8342
241,-1010,-2804,6930
242,-760,-2730,6506
244,-2290,-3110,5908
245,-2802,-5768,6926
246,-2894,-6778,7218
248,-2356,-7710,7402
249,-2086,-7260,9430
250,276,-8122,9246
252,1480,-4210,5528
253,304,-1048,6688
255,-734,-2146,7296
256,-1392,-1870,5806
257,-3222,-3180,7000
259,-3584,-4588,8736
260,-2390,-8460,8666
261,-1338,-7462,8344
263,-136,-6752,7246
264,1062,-5042,5758
266,328,-3128,4916
267,-502,-2744,5234
268,-976,-3348,5600
270,-2582,-4858,8338
271,-2730,-4952,8308
272,-1978,-4824,9348
274,-962,-3178,8708
275,-1514,-2512,7682
