timestamp,accX,accY,accZ
0,-1708,-2858,6720
2,-2314,-2874,5972
3,-3608,-6888,7812
4,-3324,-8314,7864
6,-1762,-7978,7584
7,-392,-8220,9070
9,512,-6370,6240
10,1620,-2406,6526
11,914,-2006,6514
13,-134,-340,5750
14,-2548,-1826,7034
15,-2996,-3814,8742
17,-2996,-5228,7888
18,-2634,-6512,8902
20,-1474,-6122,8054
21,-322,-5430,6706
22,540,-4316,5640
24,-224,-3384,5034
25,-714,-2794,5016
27,-1932,-5068,7726
28,-2304,-5844,8234
29,-2122,-5018,8766
31,-1240,-4954,10388
32,-998,-3756,8744
33,-986,-1944,6320
35,-1632,-2034,7350
36,-2068,-2640,5850
38,-3766,-4658,6370
39,-3868,-7490,8086
40,-2934,-8708,7294
42,-632,-8498,8468
43,216,-7788,6280
44,1552,-3764,6254
46,1574,-2934,6808
47,730,-464,4688
49,-1778,-956,5358
50,-2870,-3360,9314
51,-3250,-4542,8066
53,-2336,-5318,9670
54,-1928,-6268,9300
56,-1222,-5240,7418
57,-464,-4472,5844
58,-300,-3328,5134
60,-738,-3402,5228
61,-2566,-4806,7588
62,-2632,-6348,7682
64,-1674,-5526,7960
65,-1254,-5516,10094
67,-664,-4214,8142
68,-262,-1904,6612
69,-846,-1306,6862
71,-1632,-1266,6032
72,-3560,-3574,5872
73,-3758,-5634,8084
75,-3776,-9252,8018
76,-1380,-8184,7804
78,-330,-7336,7064
79,1088,-4796,6344
80,1440,-4162,6482
82,198,-488,4068
83,-706,22,4800
84,-2438,-3980,9172
86,-3126,-4426,7756
87,-2380,-4810,9238
89,-2316,-6108,10126
90,-1304,-5492,8542
91,-766,-4014,6078
93,-358,-3680,5418
94,-1076,-3336,5240
96,-2450,-5734,6896
97,-2236,-6632,6656
98,-2154,-6192,8022
100,-1348,-6000,9480
101,-1132,-5072,8240
102,130,-2336,7020
104,-290,-1328,6840
105,-1656,-1708,7048
107,-3458,-3788,5952
108,-3346,-4608,7508
109,-3228,-7820,8394
111,-2080,-8566,7876
112,-568,-8608,8346
114,1330,-6026,6780
115,1494,-2920,5566
116,732,-2138,5096
118,270,-1284,6082
119,-1902,-2850,7726
121,-3020,-3744,8118
122,-3134,-4252,9224
123,-2304,-5478,10186
125,-1614,-4020,7646
126,-374,-3418,6498
128,-1082,-3012,5618
129,-1766,-4196,5676
130,-2408,-5084,5684
132,-2492,-7232,7396
133,-1848,-7514,7890
134,-1756,-6772,9216
136,-192,-4558,8362
137,714,-3004,7388
139,208,-944,6912
140,-1934,-976,6654
141,-2702,-1886,6738
143,-3464,-5950,7982
144,-4016,-7172,8236
145,-2454,-8652,7770
147,-548,-8702,9266
148,230,-7312,5834
150,1886,-3794,4952
151,1098,-2712,5800
152,124,-1448,5386
154,-1752,-2782,6378
155,-2210,-4600,8200
156,-2984,-3530,8888
158,-2566,-5296,9976
159,-1718,-4074,7272
161,-672,-2432,6964
162,-748,-3358,6296
163,-1526,-3174,4710
165,-2456,-5004,5306
166,-2778,-7062,7262
167,-1932,-8260,7386
169,-1426,-6938,8312
170,-620,-6716,9640
172,550,-4752,8472
173,840,72,5632
174,-1168,-346,6240
176,-1922,-2142,6912
177,-3184,-3738,6778
178,-3642,-5086,7228
180,-3050,-8742,9024
181,-1010,-8152,8938
183,-44,-7378,6824
184,966,-4660,6076
185,1104,-2988,5718
187,-196,-2736,5094
188,-924,-3152,5554
189,-1614,-3618,7856
191,-3014,-4048,8586
192,-2764,-5478,9334
194,-1832,-4954,8750
195,-1054,-1980,7628
196,-1322,-2706,7256
198,-2058,-3762,5690
199,-2184,-3498,5210
200,-2322,-6892,7228
202,-2698,-7812,7280
203,-2044,-7604,8524
205,-30,-7258,9066
206,862,-6074,8070
207,986,-1136,6036
209,-500,-818,6448
210,-1236,-1204,6792
212,-2796,-2986,6928
213,-3836,-4126,8310
214,-3030,-7924,9366
216,-1950,-8370,9418
217,-384,-6528,7314
219,816,-5420,6724
220,748,-3582,4582
221,300,-2552,5092
223,-656,-3640,5190
224,-1548,-4126,7334
225,-2562,-4756,9074
227,-2168,-4572,9280
228,-1074,-4312,9826
230,-1410,-3214,8908
231,-1118,-1876,6606
232,-1700,-3070,6952
234,-2172,-3202,5156
235,-3400,-5838,6538
236,-3836,-8428,8452
238,-2412,-7744,7364
239,-136,-8038,8742
241,456,-6508,7158
242,1020,-2892,6698
243,530,-1886,6600
245,-116,-1016,5750
246,-2870,-2364,7142
247,-3352,-3962,8578
249,-2828,-6874,8056
250,-2294,-6946,8760
252,-1460,-6996,8350
253,76,-5468,6794
254,852,-4418,5700
256,362,-3998,5364
257,-234,-3658,4326
258,-1136,-4528,7430
260,-2774,-5328,8886
261,-2310,-4760,8814
263,-1174,-4410,10382
264,-1342,-2890,9048
265,-828,-1848,6668
267,-1584,-2932,7276
268,-2408,-2204,4968
269,-2980,-4130,6706
271,-4038,-7414,7958
272,-3346,-9322,7726
274,-594,-8142,8282
275,236,-7200,7080
