timestamp,accX,accY,accZ
0,-1028,-908,6114
2,-3126,-1644,6580
3,-3480,-4988,8516
4,-3198,-6672,8500
6,-2610,-6832,8722
7,-754,-7398,9444
9,-24,-6782,5548
10,1300,-4344,5162
11,570,-3280,5960
13,536,-3500,4918
14,-1362,-3316,6152
15,-2668,-5056,8588
17,-2306,-3686,8580
18,-1376,-5398,9948
20,-1376,-4024,8020
21,-1104,-1776,6904
22,-1076,-2774,6960
24,-1594,-2550,5510
25,-3296,-4418,5984
27,-3762,-6008,7446
28,-2154,-9276,7112
29,-1232,-9994,8246
31,66,-6144,7800
32,900,-4354,6374
33,676,-1976,6788
35,-72,-1780,5976
36,-1640,-788,5336
37,-2550,-4510,8776
39,-4204,-6132,8810
40,-3192,-5944,9344
42,-816,-6924,9622
43,-340,-6116,7106
44,-50,-5394,6712
46,290,-3636,6196
47,368,-3414,4402
49,-606,-3528,5436
50,-2648,-3930,7646
51,-2288,-4626,8814
53,-1890,-5332,8802
54,-740,-4476,9288
55,-958,-976,7810
57,-998,-1920,6346
58,-1364,-2044,6256
59,-3360,-3046,6442
61,-3156,-4558,6936
62,-3116,-8744,8438
64,-2226,-9798,8084
65,-462,-7042,7796
66,584,-5632,7080
68,1310,-4030,6760
69,428,-2202,6274
71,-768,-1544,5748
72,-1976,-1902,7214
73,-4036,-5374,9220
75,-3690,-6034,8202
76,-1062,-6820,9446
77,-818,-6386,6982
79,100,-5276,6394
80,-18,-4522,6914
82,534,-3276,3400
83,-1318,-3760,4938
84,-2192,-4846,7820
86,-2416,-5744,6634
87,-1330,-4804,7562
89,-1120,-4304,9572
90,-864,-1858,7274
91,-628,-1812,7602
93,-1418,-1486,7166
94,-3236,-2152,5524
95,-3684,-3290,7796
97,-3646,-8710,8874
98,-2118,-8888,7190
99,-1104,-8160,8912
101,256,-6820,7388
102,1380,-3540,6208
104,750,-2040,6378
105,466,-766,5106
106,-2012,-2670,7316
108,-3180,-4102,8432
109,-3282,-5092,8274
111,-1934,-5906,9390
112,-1388,-6522,7930
113,-38,-3824,6764
115,208,-4478,6682
116,-20,-2560,4544
118,-1768,-4698,5546
119,-1920,-5594,6916
120,-1872,-6030,6830
122,-1766,-6546,8624
123,-1048,-4640,9052
124,-234,-3396,7810
126,76,-1264,6808
127,-1550,-1506,6776
128,-2826,-1848,6346
130,-3278,-5362,6918
131,-4194,-7436,8098
133,-2928,-8726,8614
134,-628,-8584,8176
135,-12,-7234,7560
137,794,-4306,6608
138,928,-3494,6074
139,782,-1680,4872
141,-1494,-2254,6432
142,-2674,-3460,7990
144,-3040,-5318,8502
145,-2338,-5168,8742
146,-1540,-5692,8854
148,-694,-4410,7654
149,-32,-3652,6234
151,-120,-2818,5424
152,-1552,-3904,5338
153,-1826,-4070,7040
155,-2194,-7458,7698
156,-1480,-6698,7408
157,-1518,-4992,10146
159,-378,-5226,9202
160,316,-2130,5922
162,-1058,-618,8086
163,-2192,-610,6954
164,-3714,-5024,6546
166,-4620,-7532,9054
167,-3236,-7208,7224
168,-1428,-9288,8758
170,-576,-8636,9376
171,472,-4634,5814
173,1264,-3970,6424
174,922,-1732,4154
175,-1008,-2282,5336
177,-1192,-3778,7580
178,-2564,-4240,7742
180,-2836,-4486,8708
181,-2188,-6162,8990
182,-582,-3816,7446
184,-462,-3526,6922
185,-860,-2830,5398
187,-1520,-3382,4712
188,-2230,-6204,7098
189,-2500,-6610,6962
191,-1834,-6178,8102
192,-1122,-6364,10354
193,-648,-5692,8986
195,714,-2524,6274
196,-314,-576,7890
198,-1726,-586,5602
199,-3270,-3694,6572
200,-4014,-5946,8016
202,-2814,-6704,7218
203,-2654,-8444,8532
205,-1330,-7990,8138
206,996,-4798,6282
207,1710,-4212,5564
209,636,-2110,4730
210,-666,-2130,5238
212,-1170,-3982,6460
213,-1610,-4412,7320
214,-2492,-4596,9704
216,-1478,-4420,8874
217,-916,-4450,8834
218,-766,-2670,7058
220,-1180,-2286,5738
221,-1828,-4442,6272
223,-2472,-4986,5808
224,-3314,-6636,7910
225,-2294,-8076,8166
227,-834,-6586,8486
228,-314,-5098,8508
229,482,-2732,6348
231,-2,-824,6880
232,-616,-1266,6594
234,-2700,-2428,5620
235,-3698,-6306,9144
236,-3336,-6686,8644
238,-2968,-7610,9086
239,-800,-8314,9544
241,178,-6282,7022
242,1240,-4130,6032
243,644,-3942,5762
245,-84,-3316,5042
246,-1466,-4522,6612
248,-2094,-4134,7762
249,-2534,-5050,9776
250,-1614,-5378,9866
252,-1210,-2806,7640
253,-708,-1662,7546
255,-1156,-1750,5774
256,-2344,-2926,5120
257,-2572,-4292,7364
259,-3844,-7016,7796
260,-2442,-7900,6878
262,-1510,-7618,9362
263,342,-5660,7960
264,1298,-3666,6282
266,236,-1234,6564
267,-1086,-1168,5958
269,-2534,-2160,6938
270,-4004,-4808,8076
271,-3448,-6564,7968
273,-2628,-7732,9708
274,-1280,-7732,7640
276,894,-5154,5638
