timestamp,accX,accY,accZ
0,-760,-4496,6902
2,-1744,-2630,5592
3,-2244,-5572,5460
4,-2640,-5560,6846
6,-2512,-7774,7620
7,-1502,-7170,8020
9,38,-5972,8358
10,1376,-4076,7028
11,646,-2216,6548
13,244,-86,5762
14,-2350,-1316,5932
15,-3056,-3842,8428
17,-3268,-6374,7636
18,-2418,-6052,7126
20,-1030,-7936,10014
21,130,-6400,7582
23,1238,-3468,5070
24,908,-1842,5978
25,-176,-2538,4956
27,-1496,-3188,5768
28,-2354,-4798,8564
30,-2838,-3324,8492
31,-2998,-4864,9630
32,-2178,-4818,9038
34,-1088,-2728,6962
35,-794,-2820,6388
37,-2476,-3370,5610
38,-2748,-5086,5686
39,-2792,-6558,6984
41,-1832,-7794,7050
42,-1094,-8504,8704
43,-176,-6332,8448
45,1364,-5894,7950
46,1342,-542,5902
47,-124,-752,5682
49,-1694,-1900,6636
50,-3248,-4024,7668
52,-3532,-5028,6686
53,-3234,-5910,9338
54,-1434,-8290,9878
56,-958,-6426,6432
57,570,-4724,6328
58,416,-3744,6542
60,-232,-2490,4896
61,-930,-3382,5336
63,-2032,-3364,8400
64,-2706,-4886,9030
65,-2686,-4478,8776
67,-1352,-4718,9258
68,-882,-2864,8006
70,-1194,-2584,6716
71,-1862,-3562,6212
72,-2310,-3680,5702
74,-2566,-6564,7324
75,-2906,-7660,8096
76,-2444,-8360,8698
78,452,-7808,9552
79,1100,-5458,7668
81,1674,-2200,6110
82,586,-2116,7200
83,-644,-1038,5210
85,-2676,-1690,6584
86,-3548,-4676,8288
88,-3720,-6434,8110
89,-2246,-7496,9284
90,-1072,-7670,6966
92,316,-4432,6638
93,-130,-4784,6360
94,314,-2646,4488
96,-646,-3062,4968
97,-2148,-3366,8032
99,-3022,-5464,8432
100,-2610,-5056,8750
101,-1484,-4822,9450
103,-1202,-3774,8710
104,-946,-3192,6292
106,-1148,-2586,6352
107,-2594,-3350,5734
108,-3582,-5576,6692
110,-3274,-7454,7502
111,-1004,-8606,7660
113,174,-7590,8212
114,396,-4752,7074
115,1612,-2022,5982
117,1104,-2332,5932
118,-924,-736,5432
120,-2008,-1404,6020
121,-3418,-4864,8320
122,-3472,-5912,8490
124,-2738,-6738,9404
125,-1130,-5836,7944
126,-510,-4664,6990
128,126,-4250,6436
129,-344,-2518,4374
131,-514,-3620,5870
132,-2604,-4398,7664
133,-2518,-5570,8440
135,-2146,-4888,8536
136,-852,-4432,9864
137,-1010,-2266,7546
139,-824,-3404,6664
140,-1066,-2812,6614
142,-2222,-3132,6032
143,-3578,-4054,5586
144,-3900,-7262,8670
146,-1996,-9188,7586
147,-398,-7364,9574
149,536,-6922,7826
150,1684,-3202,5610
151,1438,-2752,7092
153,-394,-1372,5300
154,-1330,-598,5262
155,-2468,-4776,9630
157,-3382,-5630,8724
158,-2704,-6384,8486
160,-1816,-6728,9546
161,-1386,-5814,6376
162,-214,-4182,6352
164,180,-3894,5102
165,-1164,-3018,5196
167,-2638,-4250,7080
168,-2642,-6400,7416
169,-1836,-5158,7994
171,-1158,-5750,9532
172,-400,-2740,7860
174,-358,-2046,6252
175,-688,-2470,6550
176,-1926,-2390,6184
178,-2878,-2548,6614
179,-3492,-8840,8442
181,-2670,-10050,8080
182,42,-7210,8440
183,310,-6818,7732
185,1282,-3624,6512
186,1428,-2236,6934
188,394,-772,4288
189,-1934,-1268,5758
190,-3632,-3930,9174
192,-3480,-5334,7318
193,-1792,-5598,7792
194,-2118,-5732,9178
196,-1162,-3882,7050
197,-448,-3736,6066
198,-178,-3438,5266
200,-1606,-3616,4462
201,-2366,-4966,7650
203,-1966,-6324,7296
204,-1696,-6196,7494
205,-1090,-5592,10212
207,-262,-4526,8436
208,356,-2286,6930
210,-866,-1592,6586
211,-2472,-1220,6002
212,-3044,-5118,7418
214,-3368,-6610,7174
215,-2866,-8604,8812
217,-902,-8854,9222
218,130,-7968,6396
219,1096,-4116,6670
221,1104,-2544,6498
222,1414,-688,4510
224,-1050,-1244,5828
225,-2232,-2336,8374
226,-2828,-4422,7972
228,-2710,-4224,9356
229,-2240,-6040,9976
230,-1404,-5164,8398
232,-328,-3178,5928
233,-1172,-3878,6338
235,-1772,-3726,5630
236,-2614,-6006,6812
237,-2508,-7256,8308
239,-2286,-7148,8570
240,-726,-6788,10232
241,-198,-4848,6710
243,116,-3498,7226
244,226,-2070,7342
246,-1278,-400,5274
247,-3340,-3568,7080
248,-3648,-6546,7892
250,-3040,-7290,6522
251,-1262,-8038,8176
252,-1494,-7816,7908
254,1092,-4738,5810
255,1336,-3398,5506
257,222,-2104,5522
258,-990,-1550,5280
260,-1918,-4198,7914
261,-2746,-4412,8514
262,-3316,-3308,9210
264,-2458,-5622,10324
265,-1238,-5208,6508
266,-854,-3020,5810
268,-1326,-3228,6778
269,-2180,-3780,5162
271,-2328,-5626,5970
272,-2652,-6462,7772
273,-1694,-7056,7954
275,-1172,-6334,9396
276,-664,-4088,7464
