timestamp,accX,accY,accZ
0,-1764,-5242,9478
2,-818,-4852,9410
3,-568,-3554,7718
4,-26,-2442,6714
6,-974,-3004,6304
7,-1442,-2568,5122
9,-2560,-5340,7098
10,-2910,-7448,7750
11,-1890,-6974,7794
13,-298,-6940,9202
14,408,-5522,6568
16,962,-1676,6560
17,-166,-1112,7108
18,-1270,-122,4964
20,-3696,-1510,6932
21,-4500,-4084,8990
22,-3524,-6794,7656
24,-3002,-7358,8782
25,-2068,-7378,8360
27,-594,-5376,6358
28,1102,-5630,6218
29,670,-2690,4732
31,-566,-2868,4492
32,-1256,-4822,7216
33,-1786,-5556,7696
35,-1410,-5714,9382
36,-908,-5750,9356
38,-126,-3732,7428
39,-654,-3076,7054
40,-1292,-2412,6608
42,-1446,-1294,5292
43,-2910,-4640,6686
44,-3772,-6966,7106
46,-2620,-8170,7526
47,-1140,-6548,7994
49,-102,-6684,7806
50,600,-2696,6696
51,1064,-1414,6100
53,-626,-312,5858
54,-2808,-1208,6096
55,-3408,-3462,8500
57,-4448,-6138,7802
58,-3238,-6608,8944
59,-2696,-7196,9378
61,-246,-6520,6712
62,230,-4698,6658
64,488,-3714,5438
65,-262,-2960,4102
66,-920,-4108,7176
68,-2022,-5702,7460
69,-1342,-5344,7342
70,-1178,-5524,9678
72,-252,-4036,8850
73,-180,-1856,7194
75,-842,-1960,6460
76,-1194,-1730,6222
77,-2488,-3878,6412
79,-3544,-5460,6668
80,-3650,-7588,8040
81,-1438,-7894,7874
83,-992,-6942,8750
84,192,-3982,7324
86,1050,-2914,6186
87,-126,-1234,5778
88,-2406,-1132,5668
90,-2768,-2730,6962
91,-3886,-5910,8890
92,-3336,-5854,7750
94,-2180,-6692,10284
95,-898,-6862,7938
96,-278,-5026,6542
98,620,-4494,6600
99,302,-3930,4518
101,-1088,-3336,6306
102,-1142,-6030,8108
103,-1306,-6360,7458
105,-1226,-5046,9344
106,-780,-4850,9744
107,-74,-3318,8228
109,-400,-1422,6862
110,-1196,-1304,6574
112,-1688,-2308,6010
113,-3616,-5174,7128
114,-3976,-7578,7822
116,-2390,-7782,8126
117,-1170,-8214,8836
119,-180,-5076,7192
120,1202,-3690,6434
121,488,-1700,5672
123,-760,-1312,5344
124,-2246,-2166,5858
125,-2934,-5046,8322
127,-3608,-5714,8424
128,-2942,-6390,9866
130,-1412,-7638,9484
131,-866,-5212,7358
132,456,-4028,6678
134,-448,-4504,5842
135,-844,-4082,5496
136,-1534,-5824,6864
138,-1826,-6464,7618
139,-1110,-5882,8584
141,-86,-5862,10058
142,242,-4306,6938
143,692,-1256,6278
145,-1100,-1402,7132
146,-1572,-1820,5524
147,-3362,-3524,6596
149,-4226,-5798,8560
150,-3002,-7712,7922
152,-2128,-7948,8416
153,-588,-5958,8080
154,296,-4616,6948
156,968,-3070,5994
157,-160,-1572,5532
158,-1560,-1852,5372
160,-2098,-4126,7880
161,-3230,-5108,9030
163,-3110,-5616,9390
164,-1294,-6380,9296
165,-854,-5772,8336
167,-290,-3990,6470
168,-486,-4028,5794
169,-762,-3562,5216
171,-1670,-5036,6274
172,-2114,-6656,7386
174,-1152,-5802,7454
175,-518,-5726,9390
176,36,-5328,7068
178,830,-1166,5746
179,-208,-1512,6910
180,-1272,-616,5430
182,-3282,-2638,5956
183,-3748,-4892,8648
185,-3256,-7390,7778
186,-2988,-7356,8166
187,-1684,-7670,8520
189,-8,-5492,6718
190,616,-3500,6468
192,268,-2178,5524
193,-1152,-2026,6234
194,-1736,-4418,7692
196,-3228,-4444,8148
197,-2440,-4844,9534
198,-1768,-6586,9756
200,-420,-5896,7846
201,-540,-3478,6598
203,-624,-3014,6340
204,-802,-4434,5582
205,-1244,-5180,5648
207,-1934,-5770,7270
208,-1196,-6500,7494
210,-768,-6100,8370
211,216,-3876,8174
212,1136,-972,6300
214,-18,-122,6832
215,-1680,-788,6522
216,-3126,-2306,5728
218,-3280,-4322,8336
219,-4440,-7462,8782
221,-3608,-8006,9336
222,-1220,-7352,9090
223,-418,-6134,7326
225,312,-4282,6556
226,66,-3988,6206
227,70,-2350,5072
229,-1542,-4208,6562
230,-2850,-4672,8002
232,-2650,-6002,9004
233,-1258,-5824,9024
234,-680,-4978,7948
236,-226,-3908,7060
237,-710,-3668,6204
238,-558,-3424,5022
240,-2132,-4164,5394
241,-2544,-5888,7620
243,-2024,-7198,7828
244,-828,-7152,7254
245,-4,-6364,8882
247,342,-2850,7416
248,1102,-1870,6478
249,-278,-716,6664
251,-2542,-752,6000
252,-3560,-4102,7818
254,-4344,-6602,9040
255,-3988,-6720,8672
256,-1966,-8240,10174
258,-814,-7540,8174
259,-96,-4766,5994
260,42,-3686,7176
262,386,-3006,4280
263,-952,-3312,5610
265,-2686,-4596,8134
266,-1832,-4796,7742
267,-1450,-5588,9136
269,-624,-5550,8542
270,-714,-2946,6828
271,-226,-2982,6926
273,-692,-2344,5490
274,-2356,-4204,5574
