timestamp,accX,accY,accZ
0,614,-2084,6038
2,402,-1870,6700
3,-974,-266,5984
4,-2912,-1278,5244
6,-3156,-3788,8094
7,-3510,-6534,8294
8,-2922,-8410,7942
10,-1966,-8778,8680
11,120,-7508,7674
13,986,-5484,5504
14,1270,-2832,4810
15,942,-2148,6064
17,-892,-2138,5916
18,-2372,-3372,6830
20,-2430,-4350,8998
21,-2120,-4908,8576
22,-1510,-4770,9802
24,-1494,-3204,6902
25,-560,-2586,5678
26,-1162,-2212,6470
28,-2450,-3996,5366
29,-2378,-4504,5168
31,-2880,-8770,8080
32,-2354,-7546,7886
33,-466,-7100,9388
35,358,-4592,7904
36,1008,-2016,6336
37,16,-682,6604
39,-1850,-924,6104
40,-3040,-2528,7642
42,-3914,-6316,8454
43,-3206,-7122,7994
44,-2786,-8698,9808
46,-630,-8356,8612
47,654,-6034,5992
48,1078,-3578,5600
50,750,-2802,4748
51,160,-2784,5518
53,-1610,-4102,6778
54,-2314,-4024,8238
55,-2716,-5266,9246
57,-1840,-5260,10066
58,-1592,-3036,7968
59,-732,-2750,6514
61,-1250,-1954,6622
62,-2848,-3824,5794
64,-2322,-4764,5556
65,-3082,-7678,7388
66,-2600,-7650,7662
68,-1556,-7836,9316
69,-922,-7530,8736
70,1242,-2812,6906
72,978,-724,6678
73,-1372,-1696,6752
74,-2338,-2116,6614
76,-2476,-4414,7178
77,-3118,-5418,8018
79,-3450,-7240,9860
80,-1042,-7544,8656
81,322,-6176,7400
83,1170,-3776,6534
84,320,-3152,5122
85,-6,-2600,5228
87,-1174,-3844,6296
88,-2242,-4722,6932
90,-2160,-4946,8926
91,-1448,-4566,9484
92,-1214,-4878,8604
94,-920,-2196,7076
95,-1740,-2386,6994
96,-1560,-3190,6600
98,-2784,-4436,5282
99,-3512,-5142,8608
100,-3074,-9070,8358
102,-1708,-8462,7096
103,-46,-7170,9276
105,764,-5008,7500
106,1288,-2746,6214
107,220,-1664,6782
109,-1674,-1290,5932
110,-2006,-3596,7488
111,-3764,-5948,9504
113,-3162,-5934,7446
114,-2442,-7702,9714
115,-868,-6666,8390
117,258,-4732,6182
118,340,-4222,6348
120,806,-3254,4672
121,-412,-3660,5218
122,-2272,-5332,7670
124,-2300,-5956,7600
125,-2000,-4850,9104
126,-1438,-5478,10042
128,-1152,-1702,7746
129,-1104,-1528,6994
131,-1100,-1660,6018
132,-3558,-4016,6524
133,-3546,-4784,6980
135,-3738,-7802,7212
136,-2226,-9590,8220
137,-896,-8756,8336
139,730,-6068,7436
140,1624,-4102,6190
142,884,-1876,6312
143,-464,-2002,5588
144,-1786,-1448,6634
146,-2422,-4206,8616
147,-3826,-5660,9062
148,-3122,-5960,8870
150,-990,-6424,9460
151,-860,-5568,7490
152,-166,-4944,6342
154,602,-4050,5966
155,-306,-4030,4646
157,-1820,-4172,6322
158,-2394,-5672,8362
159,-2218,-5332,8462
161,-1036,-5238,9390
162,-930,-4502,8144
163,-974,-1846,7382
165,-1592,-1384,6990
166,-1580,-2408,6434
168,-2928,-1916,5736
169,-4742,-4234,8512
170,-3246,-10694,9284
172,-1270,-8504,7916
173,370,-6876,7910
174,798,-5688,7670
176,1210,-4310,6598
177,556,-1232,5090
178,-692,-1048,5248
180,-1528,-2008,9002
181,-3466,-6086,9762
183,-2852,-4912,7092
184,-1202,-6244,10704
185,-1736,-6924,9624
187,-584,-3830,5792
188,398,-4358,7254
189,-304,-4162,4982
191,-1540,-4124,5588
192,-2944,-7098,9190
194,-1438,-6874,5776
195,-1040,-5246,8924
196,-1604,-6138,11024
198,-566,-1384,5990
199,-736,-1046,6966
200,-1200,-1860,6368
202,-3568,-1962,5750
203,-4232,-5768,8246
205,-3780,-7204,7134
206,-2442,-8026,7916
207,-1342,-7608,8336
209,1002,-6066,6480
210,1938,-5006,6906
212,1238,-2434,5098
213,-314,-1828,4630
214,-858,-2774,7578
216,-2880,-4536,8626
217,-2912,-4922,8736
218,-2000,-4586,9634
220,-1466,-5320,9440
221,-1090,-3856,6380
223,-368,-3256,6204
224,-608,-3222,4600
225,-1530,-5148,5758
227,-2634,-5756,6988
228,-1880,-6570,6852
229,-1386,-5508,8882
231,-992,-5786,9034
232,294,-2282,6006
234,-86,-1328,6482
235,-790,-590,6990
236,-3044,-1654,5434
238,-3350,-3726,7990
239,-4366,-6878,9090
240,-3314,-7842,8036
242,-1782,-8846,8680
243,232,-8092,8242
245,1234,-5772,5900
246,1134,-3418,4670
247,712,-2120,4892
249,-520,-2448,6600
250,-2154,-3764,7172
251,-2528,-4070,8712
253,-2376,-4686,9636
254,-2138,-6114,10032
256,-812,-3916,6582
257,-464,-2842,6044
258,-722,-3022,5998
260,-2164,-3362,4550
261,-2568,-4888,6020
262,-2666,-6510,7468
264,-1572,-6464,7380
265,-1420,-7022,10474
267,-1026,-4416,7646
268,806,-1816,5784
269,464,-774,6902
271,-2934,-1250,6114
272,-2832,-2504,6614
273,-3668,-5588,8408
