timestamp,accX,accY,accZ
0,-44,-454,6562
2,-652,-1250,6256
3,-2822,-1626,6226
4,-3536,-4028,8024
6,-3400,-7606,7534
7,-2338,-8260,9244
9,-1298,-7610,8188
10,582,-6290,6674
11,1352,-5050,6434
13,710,-1994,4920
14,102,-1570,6082
16,-2052,-3290,7358
17,-2702,-4386,7800
18,-2624,-4162,9066
20,-1710,-5710,10154
21,-1498,-4344,7532
22,-876,-3194,7186
24,-1088,-3318,6578
25,-1628,-3946,5382
27,-2520,-5018,5442
28,-2978,-5910,7288
29,-2406,-8030,7968
31,-1274,-7464,7754
32,-572,-6112,8728
33,366,-2836,7282
35,346,-1536,7186
36,-1188,-1528,6630
38,-2266,-1144,5956
39,-3152,-4708,7794
40,-3610,-6540,8254
42,-2816,-7682,8442
43,-800,-7894,8754
44,240,-7582,7156
46,740,-4540,6010
47,868,-3064,5352
49,622,-2674,5180
50,-1434,-2706,6490
51,-2474,-4062,7518
53,-2718,-4522,8552
54,-1866,-4690,9328
55,-1476,-4028,9632
57,-1442,-2570,7580
58,-878,-3082,6750
59,-1296,-2778,5788
61,-2648,-4556,5500
62,-3270,-4930,6722
64,-3468,-9044,7656
65,-1404,-8520,7702
66,-278,-7382,9012
68,442,-4386,7228
69,1014,-2340,6354
70,548,-1954,6794
72,-1516,-802,5828
73,-2362,-1500,7866
75,-3902,-6610,9100
76,-3192,-7196,8214
77,-2290,-7518,8380
79,-1088,-7842,9134
80,-62,-6554,7064
81,570,-3828,5474
83,662,-2302,4664
84,-276,-2776,5910
85,-2256,-4810,7310
87,-2400,-5084,7896
88,-1996,-3730,8876
90,-1666,-5262,10028
91,-1152,-3620,7722
92,-958,-2148,7152
94,-1506,-1852,6732
95,-2652,-3756,5688
97,-3374,-5370,6608
98,-3476,-7242,7440
99,-1930,-9118,7472
101,-1184,-7848,9446
102,700,-5704,7640
103,1364,-3204,6500
105,848,-2140,6588
106,-516,-1026,5892
107,-1694,-1164,5736
109,-2480,-4164,8784
110,-3682,-6126,8904
112,-2900,-6368,7906
113,-1414,-7120,9590
114,-554,-6898,8326
116,318,-4160,5658
117,910,-3652,5242
118,-114,-3518,4952
120,-1898,-3734,6508
121,-2420,-5444,8060
123,-2246,-4402,8510
124,-1428,-5486,10062
125,-1534,-3010,7668
127,-658,-2030,7166
128,-1468,-2550,6606
130,-2508,-2828,5622
131,-3092,-3444,6822
133,-3740,-7946,7810
134,-2858,-9446,8124
135,-1668,-7884,8462
137,-28,-7266,8092
138,1136,-5256,6344
140,842,-2420,6740
141,446,-994,5588
142,-874,-1824,5828
144,-3016,-3504,8132
145,-3562,-4784,8208
146,-2192,-5688,7800
148,-1572,-6866,9802
149,-1290,-4632,7238
150,564,-4396,5610
152,246,-3880,4946
153,-964,-3210,4804
155,-1830,-4190,6000
156,-1922,-5338,7110
157,-1766,-4736,7514
159,-1562,-5318,10062
160,-832,-3580,8636
161,-382,-1740,7256
163,-638,-1190,6932
164,-2238,-1930,6132
166,-3378,-2950,6798
167,-4140,-6772,7736
168,-3024,-7814,8024
170,-1010,-9304,8798
171,-100,-7800,7898
173,642,-4418,6554
174,1262,-3050,6600
175,1072,-1920,4962
177,-210,-2228,6032
178,-2412,-2612,7290
180,-2890,-5022,8078
181,-2980,-5428,8514
182,-2116,-6080,9462
184,-674,-5634,7888
185,-56,-4222,5898
187,86,-3696,5746
188,-1072,-4190,5234
189,-1540,-4652,6226
191,-2550,-6246,7474
192,-2094,-6896,8222
193,-2184,-4820,9502
195,-558,-4724,9258
196,-336,-2380,6868
197,-860,-1108,7538
199,-2076,-626,6538
200,-2636,-4506,6686
202,-3982,-5760,7910
203,-3858,-7164,7390
204,-2042,-8690,8202
206,-410,-8768,9002
207,540,-4964,6358
208,1598,-3866,5632
210,1416,-3214,5400
211,-498,-1498,5626
213,-1450,-2304,6152
214,-2536,-3846,8762
215,-2812,-4680,8838
217,-2682,-4924,9174
218,-984,-5656,9100
219,-720,-4414,7340
221,-440,-3460,5690
222,-1166,-3598,5684
224,-1582,-4390,5474
225,-2434,-6028,6898
226,-2472,-6936,8278
228,-1562,-6156,8730
229,-984,-5686,9894
231,-296,-4116,6680
232,-398,-1308,6688
233,-838,-1224,7132
235,-2720,-2328,6296
236,-3858,-4380,7446
237,-4042,-6360,7768
239,-2326,-8318,7530
240,-1350,-9248,8916
241,-364,-6902,6640
243,1592,-4758,5548
244,1238,-3792,6010
246,106,-1654,4668
247,-998,-1828,5264
248,-1394,-3686,8008
250,-3156,-4298,8826
251,-2658,-4420,9926
252,-1168,-5200,9228
254,-400,-3440,7530
255,-910,-3062,6850
257,-1562,-3518,5736
258,-1286,-3992,5330
259,-2430,-5736,6600
261,-2818,-7020,7552
262,-2310,-6602,7970
263,-680,-6658,9542
265,92,-5904,6952
266,-124,-908,5906
268,-338,-1228,7104
269,-1746,-1370,6294
270,-3194,-2318,5700
272,-3598,-4546,8622
273,-3414,-7728,8378
275,-1682,-8884,8014
