timestamp,accX,accY,accZ
0,-636,-3076,4456
2,-1734,-3510,5190
3,-2280,-5860,7788
4,-1636,-6778,6890
6,-824,-5884,7816
7,-1010,-4422,9390
9,322,-2326,7068
10,366,-570,6936
11,-422,-232,6706
13,-2788,-892,6332
14,-3798,-2748,7982
15,-3942,-6810,7732
17,-3620,-8360,7968
18,-1960,-8470,9120
20,24,-7808,8340
21,544,-6026,5450
22,772,-2998,6054
24,102,-2876,6280
25,-746,-2420,4620
26,-2028,-3938,7700
28,-2752,-5808,8550
29,-1692,-4882,8348
31,-1360,-6026,10228
32,-514,-3288,6432
33,-410,-3230,6286
35,-804,-4014,5590
36,-1348,-3142,3972
37,-2584,-5206,5606
39,-2536,-7660,7484
40,-1366,-6486,7006
42,-946,-6202,9736
43,12,-3556,7672
44,332,-1774,6796
46,38,-548,6690
47,-1810,-602,5516
48,-3582,-1506,8482
50,-3936,-5490,8116
51,-3998,-6866,7198
53,-2666,-8882,10018
54,-576,-8186,8450
55,294,-5838,6154
57,922,-3870,6302
58,870,-3098,5334
60,-238,-2886,5238
61,-1920,-3494,6674
62,-1808,-5156,8164
64,-1816,-4600,8422
65,-1606,-4854,9582
66,-664,-3164,7690
68,-8,-2738,6194
69,-852,-2738,6762
70,-1988,-3114,4798
72,-2286,-4736,5188
73,-3002,-7916,7900
75,-2084,-7960,7044
76,-782,-6130,9382
77,776,-5182,8616
79,128,-2708,6290
80,608,-1610,6970
82,-1352,-432,6076
83,-2592,-546,8072
84,-4446,-4922,8352
86,-4070,-6494,7790
87,-3156,-7722,9554
88,-1528,-8280,9000
90,-74,-7082,6518
91,918,-4526,6046
92,822,-3548,5256
94,30,-3668,5322
95,-1442,-4420,5974
97,-1488,-5046,8466
98,-1636,-5316,8718
99,-1334,-4472,8412
101,-946,-3260,8892
102,-688,-2148,7068
104,-346,-1612,6592
105,-1950,-2722,6048
106,-2652,-3780,4930
108,-3212,-7520,8112
109,-2700,-7962,7140
110,-1424,-6836,9232
112,-254,-7112,10168
113,622,-3834,6238
114,846,-1346,7432
116,-970,-1306,7094
117,-1612,-728,6184
119,-3758,-3674,8206
120,-4000,-5116,8488
121,-3758,-7476,9828
123,-1930,-8416,9376
124,-556,-6952,6452
125,378,-5266,7160
127,560,-5192,5836
128,622,-3104,4420
130,-1202,-4540,5946
131,-1810,-4844,7350
132,-1670,-5426,8230
134,-1028,-5280,8704
135,-1252,-3296,9064
137,-878,-2724,7920
138,-316,-1806,6304
139,-1546,-2272,6590
141,-2972,-2690,5494
142,-3204,-6340,7422
143,-3474,-8138,7912
145,-2034,-8182,8030
146,-710,-7500,9532
147,322,-6054,7882
149,848,-2002,6578
150,-248,-1430,7324
152,-922,-812,5240
153,-2082,-3258,7654
154,-3896,-4548,9124
156,-3730,-5342,8190
157,-2126,-7424,9434
158,-1590,-7704,9762
160,-294,-5090,6484
161,548,-4996,6410
163,168,-4056,4206
164,-830,-4492,5276
165,-1460,-5082,6876
167,-1464,-5236,7494
168,-1278,-5064,8318
169,-786,-5408,9422
171,-514,-2206,8116
172,-110,-1546,6890
174,-808,-1782,6706
175,-2530,-2488,6496
176,-3764,-3632,6908
178,-3702,-7578,8038
179,-3220,-8092,7952
181,-1072,-8282,8812
182,80,-7344,9026
183,122,-4896,5324
185,240,-2464,7028
186,-662,-2464,6810
187,-956,-1804,5616
189,-3216,-3790,8658
190,-3532,-5224,7712
191,-2520,-6092,8812
193,-1786,-7284,10232
194,-642,-4554,6192
196,210,-5036,6534
197,8,-5422,4548
198,-442,-3828,4102
200,-1508,-5090,6114
201,-1832,-6100,7412
203,-1050,-5890,7880
204,-1164,-5104,9456
205,-248,-2846,8134
207,-136,-1508,7882
208,-126,-472,6374
209,-2058,-654,6216
211,-3326,-3086,7388
212,-3838,-6004,7086
213,-3886,-7402,8000
215,-2448,-8106,8528
216,-244,-7638,8628
218,244,-6180,5950
219,820,-3068,5966
220,214,-2830,6466
222,-730,-1760,4906
223,-2490,-3122,7372
224,-3140,-4976,8544
226,-2620,-5194,8280
227,-2296,-6224,9840
229,-1142,-5572,7222
230,160,-4016,6040
231,-194,-4432,5624
233,-618,-3332,4274
234,-1176,-4832,4784
236,-1906,-6688,7200
237,-1238,-6666,6922
238,-1046,-5906,9492
240,-100,-4098,8746
241,-154,-2370,7268
242,172,-1092,6952
244,-1840,24,6040
245,-2846,-988,7534
246,-4186,-4756,7930
248,-4264,-6686,7610
249,-3046,-8496,8442
251,-1226,-8684,9214
252,94,-7290,6524
253,718,-3842,5298
255,866,-3010,5932
256,-234,-2102,5492
258,-1490,-2044,5374
259,-2072,-4280,9292
260,-2604,-5106,8954
262,-2234,-5334,8798
263,-1282,-5434,8140
264,-162,-3580,7108
266,-516,-3692,6880
267,-718,-3638,4954
268,-1462,-3022,4352
270,-1884,-6944,7944
271,-2358,-7240,7346
273,-780,-6078,8754
274,86,-5158,9714
