timestamp,accX,accY,accZ
0,-3194,-7928,9706
2,-834,-5896,7608
3,-672,-4902,6320
4,-238,-4622,6900
6,-458,-3522,4922
7,-488,-2978,6290
9,-2396,-5596,8456
10,-2708,-5758,8726
11,-1658,-5532,9024
13,-354,-5592,10202
14,-440,-3848,6638
15,-164,-3498,6164
17,-1172,-3378,7112
18,-1442,-3666,5158
20,-2646,-5390,6716
21,-3218,-6546,7600
22,-996,-8272,7906
24,22,-7292,8212
25,854,-3856,6442
27,792,-2092,6734
28,790,-604,6310
29,-1156,84,5022
31,-2818,-292,6150
32,-3880,-5260,8872
33,-4038,-5712,8410
35,-3176,-7958,9492
36,-1340,-6342,8426
38,-886,-5614,7196
39,-586,-4498,6144
40,162,-3134,4786
42,-766,-3490,5814
43,-2196,-4996,7642
44,-2218,-6342,7538
46,-1464,-5218,8262
47,-614,-5788,9896
49,-500,-4516,7106
50,42,-2572,6484
51,-370,-2464,6560
53,-1422,-2480,5860
54,-3148,-4448,5746
55,-3028,-6374,7840
57,-1612,-8054,7550
58,-1024,-7176,9492
60,-396,-5798,7746
61,1242,-2810,6052
62,1054,-1314,6858
64,-668,-814,5220
65,-2352,-830,7598
67,-4190,-3676,8802
68,-4188,-5368,8298
69,-3410,-7094,9774
71,-2320,-6838,9846
72,-1292,-5484,7032
73,28,-5246,6482
75,-486,-3540,5092
76,-324,-4360,5634
78,-1376,-5526,6738
79,-1520,-6144,7758
80,-1312,-5552,8408
82,-448,-5698,9872
83,-32,-4418,7186
84,248,-2716,6890
86,-450,-2106,6462
87,-1626,-1494,5870
89,-3086,-3096,5260
90,-3368,-8186,8298
91,-2764,-7684,8102
93,-1424,-7136,8664
94,-224,-6884,8698
95,836,-4510,6800
97,1046,-1726,5808
98,-322,-1466,5778
99,-1216,-1044,6706
101,-3350,-3574,8344
102,-3860,-4532,8340
104,-3482,-6040,9468
105,-2450,-6666,9738
106,-1698,-6854,7184
108,-1022,-5298,6822
109,-398,-3914,6290
111,-480,-3644,4722
112,-1884,-5884,6600
113,-2242,-6976,7430
115,-1168,-6094,7166
116,-664,-5928,9024
117,-334,-3968,8162
119,374,-1980,6652
120,390,-2196,6350
122,-114,-814,5908
123,-2890,-1240,5108
124,-3574,-4014,8290
126,-2924,-7530,8336
127,-2038,-7796,7138
128,-1402,-7322,9020
130,-26,-5760,8470
131,1110,-4040,5710
133,156,-1014,5182
134,-1054,-386,6250
135,-2344,-2610,7564
137,-3464,-4272,7666
138,-3312,-5566,9532
139,-2250,-5928,9136
141,-2124,-6472,7834
142,-346,-3926,6720
144,-172,-4396,6234
145,-860,-3816,5414
146,-1868,-5862,5850
148,-1692,-5842,6718
149,-1954,-6832,7180
150,-1052,-6316,8760
152,-140,-6096,8788
153,932,-3556,6996
155,724,-946,6102
156,-180,-1418,7000
157,-2536,-1644,6192
159,-3022,-3070,7510
160,-4368,-6246,8586
161,-2796,-7500,8308
163,-2258,-7862,8882
164,-274,-7384,8216
166,472,-5004,5886
167,352,-2518,6294
168,-218,-1902,5172
170,-1056,-1918,6902
171,-2808,-4094,8382
172,-3568,-4698,7828
174,-2720,-5880,9590
175,-2086,-6536,10340
176,-1192,-4182,7134
178,-578,-4304,6548
179,-782,-3756,5236
181,-1834,-4460,5260
182,-1976,-5254,6416
183,-2322,-7434,7394
185,-810,-6854,7270
186,-496,-7094,9416
188,1046,-3514,7498
189,1170,-1192,6416
190,698,-460,6812
192,-1550,-776,6290
193,-2964,-1956,6638
194,-4176,-5282,7792
196,-3480,-7226,8412
197,-3214,-8140,8742
199,-776,-7044,8014
200,-232,-6190,6486
201,332,-3060,6136
203,-400,-2336,5664
204,-1600,-2832,6108
206,-2564,-3140,7140
207,-3168,-5418,8702
208,-2860,-6008,9070
210,-1746,-6150,8830
211,-892,-3800,7946
213,-482,-3644,6600
214,-648,-3752,5686
215,-1402,-4538,5670
217,-1796,-5850,6420
218,-2176,-7674,7878
219,-1448,-7512,7630
221,-742,-6558,9342
222,1040,-5672,8288
224,1170,-1610,5910
225,-128,64,6610
226,-1078,-734,6410
228,-2358,-2456,7024
229,-3982,-4470,7464
230,-4166,-5644,8404
232,-2612,-8256,9404
233,-1302,-6910,8862
235,-364,-5222,6788
236,238,-3796,6194
237,66,-3204,5480
239,-1206,-2802,4872
240,-1620,-2934,6334
241,-2884,-5590,8660
243,-2464,-5092,8374
244,-1538,-6180,9904
246,-878,-3880,8132
247,-776,-3130,6646
248,-986,-4166,6682
250,-1396,-3018,5348
251,-2270,-5480,7276
253,-3240,-7954,7900
254,-1882,-8502,7246
255,464,-7654,9138
257,644,-5562,8184
258,872,-2244,6550
259,720,-822,6418
261,-124,-434,5234
262,-2936,-802,6280
264,-3870,-3546,7948
265,-4382,-6634,7990
266,-2864,-6966,8966
268,-2366,-7634,8184
269,-1062,-5350,6854
270,-308,-5644,7054
272,-96,-4042,5442
273,-1096,-3194,4052
275,-1936,-4056,6366
