timestamp,accX,accY,accZ
0,-1186,-4282,8484
2,-394,-1912,7192
3,-862,-3232,7028
4,-1078,-3604,5284
6,-1872,-3562,5178
7,-1898,-6580,7016
9,-2144,-7458,7540
10,-1668,-7960,8336
11,212,-5782,8688
13,640,-4434,8012
14,970,-1056,5924
15,-110,-1470,6828
17,-1676,-1094,5540
18,-3766,-2184,7068
20,-4776,-5552,8912
21,-4580,-7236,8280
22,-2160,-7452,9270
24,-1416,-7182,7556
25,148,-5744,6070
26,32,-4554,6810
28,928,-2742,4402
29,-278,-3140,4216
31,-1952,-3762,8582
32,-2210,-4968,7792
33,-2086,-5282,8692
35,-1164,-4664,9392
36,-814,-3176,7706
37,42,-2670,6994
39,-542,-2202,5830
40,-1796,-2270,5296
42,-2142,-4842,6594
43,-2598,-7254,7628
44,-2338,-8050,8090
46,248,-7358,8402
47,246,-5074,8080
48,940,-1836,6150
50,182,-998,6106
51,-514,-662,6294
53,-3250,-1150,6312
54,-4382,-3330,7906
55,-4506,-6628,8408
57,-2888,-6860,8560
58,-1820,-7642,9022
59,-296,-6100,6764
61,284,-4574,5490
62,154,-4588,5480
64,-566,-3770,3792
65,-1274,-3696,7876
66,-2270,-6180,8602
68,-1800,-5906,6936
69,-1132,-6082,10590
70,-570,-3348,8390
72,210,-1886,7074
73,-746,-2686,7082
75,-1914,-1852,5486
76,-1930,-4592,6544
77,-2888,-6620,7486
79,-2656,-7838,8224
80,-460,-7558,8304
82,-16,-6110,8672
83,540,-2774,6508
84,240,-2426,6194
86,480,-866,5874
87,-2408,-1148,6522
88,-4014,-2146,6922
90,-4472,-5160,9360
91,-3364,-5630,9096
92,-2020,-6490,9752
94,-1196,-7004,8332
95,-246,-5062,6490
97,134,-4122,5606
98,-456,-4756,4552
99,-764,-3522,6924
101,-1828,-6946,8646
102,-1118,-5982,6846
103,-748,-4200,10160
105,-490,-4868,9572
106,138,-2634,6518
108,-306,-2186,7394
109,-1474,-1410,6542
110,-2518,-2916,6156
112,-4018,-6180,8166
113,-3082,-8006,6854
115,-1812,-7340,8172
116,-868,-8138,9760
117,-80,-3724,6130
119,830,-3452,6044
120,496,-1690,5632
121,-1830,-1328,5650
123,-2874,-2406,6786
124,-3864,-5474,9110
126,-3552,-6024,8634
127,-2526,-6224,10160
128,-1404,-7002,9066
130,-418,-4782,6814
131,84,-3672,5330
133,-616,-3456,5310
134,-1068,-4452,6274
135,-1868,-6390,7342
137,-1154,-6530,7000
138,-1186,-5536,9508
139,-400,-5016,9756
141,600,-3588,6128
142,122,-1542,7672
143,-1016,-610,6686
145,-2562,-2594,5568
146,-3422,-5350,7732
148,-3684,-6710,6668
149,-2776,-7662,8420
150,-1424,-8104,9896
152,-594,-5324,6250
153,824,-3476,5950
155,268,-2958,5504
156,-1038,-858,4642
157,-1978,-2376,6164
159,-3242,-4218,8138
160,-3684,-5090,8574
161,-3082,-6196,9862
163,-1358,-6900,8760
164,-562,-5034,7976
165,-334,-4098,6228
167,-440,-4336,5426
168,-1092,-3902,5440
170,-1726,-5938,6308
171,-1404,-6164,7636
172,-1206,-6188,8114
174,-468,-5400,9084
175,352,-5168,6422
177,198,-1146,6286
178,-190,-1178,7240
179,-2174,-1578,5312
181,-3616,-3192,7082
182,-4574,-5602,8020
183,-3208,-8018,7726
185,-1890,-7730,8664
186,-192,-6862,7998
188,590,-4156,6174
189,610,-3432,5598
190,-574,-840,5244
192,-1056,-2496,7144
193,-2382,-4210,7796
194,-2940,-4668,8138
196,-3706,-6118,9252
197,-1812,-6012,9462
199,-586,-5810,6792
200,-684,-4002,6302
201,-418,-3460,5766
203,-1628,-5014,5536
204,-1810,-5054,5380
206,-1596,-6488,7982
207,-1146,-7266,7916
208,-278,-6164,8258
210,328,-3780,7922
211,1032,-1508,5912
212,380,-408,7058
214,-2376,-1490,6066
215,-3292,-1688,6088
217,-4080,-6106,9312
218,-3708,-7084,7370
219,-2918,-6970,9564
221,-1002,-7938,9508
222,254,-5326,6354
224,648,-3338,6456
225,-634,-2254,6200
226,-530,-2624,5874
228,-2548,-4708,7490
229,-2700,-5012,8232
230,-3018,-5692,9446
232,-1580,-6340,10406
233,-852,-3244,6850
235,-946,-4314,7610
236,-276,-4090,5108
237,-1256,-4276,5074
239,-1912,-5450,5926
240,-2244,-6566,6902
242,-1326,-7188,7618
243,-418,-7614,8996
244,912,-4362,7922
246,940,-1654,6488
247,160,-1002,6212
248,-1732,-742,6730
250,-2526,-532,6676
251,-3838,-4864,8578
252,-4206,-7002,8478
254,-3388,-7702,8670
255,-1684,-7202,9764
257,-344,-7372,5520
258,484,-3842,6128
259,298,-3454,6762
261,-590,-2510,4808
262,-1740,-4502,6716
263,-2698,-5056,7882
265,-2324,-5584,8210
266,-1752,-6618,10170
268,-1132,-5904,7592
269,-558,-3572,7044
270,-532,-3810,5860
272,-1334,-2850,4992
273,-2208,-4552,5854
275,-2688,-6796,7018
