timestamp,accX,accY,accZ
0,456,-4998,8830
2,1088,-1314,6216
3,-348,-982,6924
5,-1252,-1096,6368
6,-2642,-2760,6878
7,-4358,-4872,7340
9,-4124,-6058,8390
10,-2600,-8276,8882
11,-956,-7442,8154
13,-264,-5656,6810
14,238,-4300,5842
16,32,-2812,4988
17,-1284,-3114,6042
18,-1906,-3662,6568
20,-2870,-4826,8898
21,-3078,-5892,9154
22,-1942,-5510,9720
24,-652,-5230,8210
25,-362,-3474,6892
26,-122,-3258,6256
28,-1102,-4350,5494
29,-1806,-4576,5868
31,-2148,-6856,7478
32,-1596,-8278,7516
33,-1190,-6192,9050
35,134,-5612,9260
36,1238,-4126,6066
38,288,12,6586
39,-1230,170,6696
40,-2240,-1442,6342
42,-3944,-4162,7812
43,-4414,-5376,8028
44,-3684,-8490,9426
46,-1756,-8422,9474
47,-922,-6354,6780
49,132,-4694,7078
50,292,-3628,4790
51,-474,-3090,5384
53,-1374,-3722,6034
54,-2140,-4306,7940
55,-2366,-4824,8954
57,-2112,-6048,9544
58,-740,-5120,9172
60,-318,-4466,7832
61,-552,-2512,6356
62,-1544,-3966,6628
64,-1894,-4030,4782
65,-2330,-6486,6900
66,-2542,-7576,7870
68,-2424,-8478,8424
69,726,-7548,9146
70,1496,-4614,5776
72,780,-1322,6644
73,-554,-1256,7634
75,-1022,-508,5312
76,-3256,-1462,7068
77,-4684,-4352,8550
79,-3800,-7690,8244
80,-2792,-8016,9720
82,-1618,-6682,7486
83,-386,-4952,6366
84,128,-4864,6120
86,-404,-3006,5120
87,-1122,-3310,5234
88,-1892,-5028,7422
90,-1780,-5226,8700
91,-1892,-6128,9234
92,-646,-4086,8658
94,-192,-3814,8536
95,-508,-2400,6522
97,-750,-2264,5794
98,-1678,-2936,5424
99,-3158,-5386,6898
101,-2854,-7902,7948
102,-1740,-7620,6620
103,-190,-6796,8604
105,-266,-6308,7024
106,856,-1764,5332
108,574,-760,6308
109,-700,-908,6114
110,-3060,-1378,6098
112,-3828,-3562,8284
113,-4432,-5766,8048
115,-3156,-6622,9106
116,-2358,-8234,8076
117,-432,-5482,5914
119,2,-5456,6708
120,-88,-3950,4850
121,-784,-3676,3904
123,-1490,-4026,7940
124,-1916,-5882,7830
125,-1604,-5444,7254
127,-1086,-5592,9724
128,-240,-3384,8374
130,-212,-2106,6894
131,-416,-1794,6086
132,-1416,-1910,5846
134,-2694,-3816,6330
135,-3228,-6882,6750
137,-2662,-9094,7248
138,-390,-6774,7542
139,-362,-6728,7950
141,1112,-2996,6012
142,870,-1512,5428
144,388,-720,6214
145,-2438,-336,4896
146,-3272,-1982,10066
148,-4030,-5730,8856
149,-3044,-5236,7842
150,-2356,-7210,10084
152,-1112,-5996,7578
153,-478,-4732,7088
155,114,-4968,5302
156,-606,-3234,3958
157,-1122,-5940,8172
159,-1784,-7240,7202
160,-1132,-6230,8728
161,-408,-6098,10242
163,-300,-4230,8904
164,348,-1658,7384
165,-430,-2054,7732
167,-780,-906,5152
168,-3244,-2696,5654
170,-4106,-6442,7466
171,-3560,-8906,7408
172,-1304,-7858,7210
174,-408,-7110,8316
175,436,-4972,7210
177,812,-4078,6594
178,570,292,5046
179,-1880,-1010,5518
181,-3154,-2676,9012
182,-3632,-5160,8526
183,-3422,-5062,7712
185,-2502,-7024,11372
186,-1610,-6708,8954
188,-558,-3938,5754
189,-50,-4078,6292
190,-572,-4442,5146
192,-1510,-6018,5842
193,-1740,-6648,7160
194,-1160,-6942,7460
196,-1150,-5800,9392
197,-438,-5458,9664
198,604,-1144,6700
200,70,-898,7184
201,-738,-510,6134
203,-2852,-2610,6400
204,-3390,-4556,6918
205,-3910,-6818,7766
207,-2848,-8250,8584
208,-976,-8150,7658
209,8,-5856,7790
211,770,-4420,6796
212,402,-1966,5296
214,-992,-1534,5912
215,-2288,-2214,7180
216,-3496,-4232,8534
218,-3466,-5646,8758
219,-3356,-5586,9834
221,-1800,-6876,10178
222,-892,-5290,5238
223,62,-3960,6750
225,-678,-5092,6158
226,-1354,-5496,4552
227,-1988,-6864,7056
229,-1590,-7828,6332
230,-456,-6062,7926
232,-222,-6050,10094
233,480,-1648,6512
234,866,-1578,6822
236,-108,-714,6228
237,-1678,-768,5352
238,-3438,-3210,7368
240,-4232,-6212,7702
241,-3158,-6978,7046
243,-2246,-7580,9208
244,-296,-7106,8060
245,558,-4410,5930
247,908,-2234,5862
248,-512,-1242,5600
249,-1446,-3146,6568
251,-2088,-3706,7552
252,-3062,-5000,8980
254,-3400,-5150,9404
255,-1660,-5884,9896
256,-1052,-5154,6542
258,-206,-3454,6346
259,-620,-3910,6106
260,-1632,-4046,4818
262,-1742,-6032,5980
263,-1906,-7244,7520
264,-1340,-6812,7514
266,-602,-7038,8800
267,308,-7016,7356
269,1092,440,5366
270,138,-228,6866
271,-1278,-1022,6016
273,-2736,-1600,6238
274,-3992,-4018,8050
