timestamp,accX,accY,accZ
0,196,-6544,7998
2,732,-4128,6066
3,754,-2050,6652
5,-970,-1358,5590
6,-1240,-2326,7160
7,-3876,-4912,10088
9,-4462,-5084,7948
10,-2844,-6722,9604
11,-2128,-6928,10688
13,-1474,-4372,6056
14,194,-4670,6536
16,-84,-3560,4458
17,-1234,-3650,4844
18,-1914,-6688,7118
20,-1260,-6212,6410
21,-1188,-5604,8230
23,-694,-5234,8888
24,816,-2250,6444
25,262,-1596,7428
27,-1326,-230,6248
28,-1644,-1428,5648
29,-3066,-4384,7550
31,-3472,-6476,7818
32,-3234,-7924,7984
34,-1076,-7642,8928
35,-284,-7174,8388
36,660,-4950,6234
38,1036,-1910,6120
39,-446,-1802,6062
40,-886,-1244,5858
42,-3282,-3304,8490
43,-3744,-4992,8590
45,-3100,-5746,8714
46,-2156,-6472,10352
47,-1500,-4828,7130
49,-228,-5046,6832
50,16,-4204,4822
51,-820,-3694,4622
53,-1930,-5396,6944
54,-1602,-7146,6754
56,-954,-7314,7580
57,-640,-6858,9308
58,478,-4716,8048
60,790,-2372,7002
61,390,-748,6470
62,-1834,-350,6662
64,-3026,-816,6638
65,-3476,-6662,8086
67,-3908,-7366,8542
68,-2762,-7886,8108
69,-886,-7596,9024
71,-126,-6208,5834
72,1060,-2038,5386
73,570,-2042,6046
75,-620,-1926,4846
76,-2278,-2448,6948
78,-2846,-4794,8056
79,-3026,-4226,8290
80,-2690,-6648,10536
82,-2038,-4840,7030
83,-486,-3874,6568
84,-296,-3590,6354
86,-1128,-3676,4424
87,-1748,-4358,4694
89,-1714,-7536,7518
90,-1356,-6546,6186
91,-574,-6150,10070
93,488,-5162,8838
94,894,-2510,6362
95,1432,-1292,6782
97,-1502,804,6268
98,-2496,-388,6782
99,-3784,-5140,8052
101,-3622,-6024,7940
102,-3200,-6870,8380
104,-2274,-8232,9338
105,-660,-7336,6642
106,590,-3434,5790
108,1030,-2832,5186
109,-620,-2900,5502
111,-2650,-3382,6450
112,-2164,-4838,7424
113,-2612,-5618,8758
115,-2540,-5702,9348
116,-2056,-5266,8934
117,-632,-4126,6756
119,-356,-3550,6658
120,-1666,-3622,5798
122,-1540,-4632,5050
123,-2144,-6538,7276
124,-2152,-7786,7134
126,-692,-7496,8500
127,608,-6194,9178
128,1252,-3832,6966
130,908,-1138,6736
131,-568,-578,6740
132,-1238,346,6108
134,-2814,-3770,7508
135,-4204,-4642,8376
137,-4232,-6204,8938
138,-2310,-7744,8940
139,-1244,-6666,8608
141,-418,-4660,6766
142,602,-3698,5246
143,-112,-2544,5084
145,-1738,-3450,6150
146,-1622,-4532,6638
147,-2468,-5404,8660
149,-2456,-5268,9172
150,-2076,-6332,9466
152,-586,-4584,7780
153,-84,-3806,6850
154,-532,-2810,6620
156,-1840,-4156,5308
157,-2186,-4690,7322
159,-2748,-8586,7822
160,-1402,-8280,7134
161,-768,-7634,9350
163,688,-6318,8546
164,1146,-2472,5972
165,624,-1376,6908
167,-1224,-108,6014
168,-2180,-2676,6984
170,-4084,-4378,9238
171,-4122,-5154,7666
172,-3070,-7400,9502
174,-2276,-7288,10442
175,-810,-4404,6150
176,252,-4700,6370
178,-362,-4320,4916
179,-484,-3194,4720
181,-1310,-4122,6090
182,-2202,-6276,8578
183,-2192,-5318,9040
185,-1878,-5742,9318
186,-686,-4338,8970
187,-392,-3028,7702
189,-414,-2740,6010
190,-1082,-2808,6000
192,-2342,-4240,6176
193,-3076,-5380,6570
194,-2560,-7458,7426
196,-1516,-8088,8980
197,1084,-6430,8130
198,1120,-4128,5930
200,844,-1016,6294
201,-896,-2078,6718
202,-628,-772,5564
204,-3346,-3024,7270
205,-4678,-4772,8438
207,-4436,-6874,9160
208,-2696,-7336,10014
209,-920,-6944,6752
211,-472,-5358,6924
212,-174,-4718,7120
213,-468,-3308,3736
215,-1326,-4450,5126
216,-2016,-5704,8576
218,-1728,-5144,7466
219,-1290,-5260,8114
220,-810,-4800,9164
222,-562,-2348,7634
223,-166,-2220,6140
224,-1128,-1846,5908
226,-2238,-3298,5630
227,-3450,-6124,7110
229,-2864,-7686,7904
230,-1578,-8598,7888
231,-370,-7018,9232
233,772,-5076,8214
234,1300,-1616,5236
235,136,-1312,6200
237,-674,-1132,5524
238,-2562,-2226,6500
240,-4000,-3432,8158
241,-4562,-5786,8690
242,-2866,-6716,10152
244,-2114,-6754,7102
245,-818,-4282,6640
246,-374,-5254,7494
248,-748,-3402,3876
249,-1314,-4050,4350
251,-1672,-5838,8292
252,-2028,-6408,7180
253,-1168,-5634,7576
255,-452,-5246,9488
256,-56,-2812,7184
257,294,-2592,6638
259,-1156,-1562,6316
260,-1378,-1852,5618
262,-3522,-4660,6930
263,-3562,-6906,7758
264,-2196,-9022,7858
266,-824,-7468,8582
267,54,-6852,8472
269,690,-3018,6078
270,1084,-2070,5452
271,-232,-956,5778
273,-2628,-1354,5908
274,-3182,-3112,9150
