timestamp,accX,accY,accZ
0,-4258,-3172,7802
2,-4400,-5942,8190
3,-3282,-7022,8368
4,-2010,-8420,9280
6,-1166,-7906,6230
7,-196,-5140,6392
9,794,-5074,5016
10,-14,-3274,4428
11,-874,-3850,5378
13,-2096,-5000,7624
14,-2230,-5476,8190
15,-1530,-5386,8932
17,-1122,-4478,8458
18,-186,-2204,7470
20,-826,-2902,6590
21,-1520,-2398,5400
22,-2024,-3148,5988
24,-2740,-5622,6886
25,-2844,-8168,7174
26,-1642,-8102,7840
28,-438,-5540,8288
29,616,-4788,6836
31,188,-1418,5970
32,548,-768,6332
33,-1268,-154,5866
35,-3464,-2044,6782
36,-4728,-4666,9008
38,-3128,-6426,7842
39,-2284,-7208,9208
40,-2324,-6994,8314
42,-190,-5434,6034
43,578,-4684,6012
44,216,-3444,4256
46,-1234,-2418,4538
47,-1554,-6380,7884
49,-1542,-5914,7148
50,-1172,-4780,10206
51,-980,-4614,9576
53,212,-2610,7318
54,-162,-1890,7426
55,-1200,-1250,5980
57,-1538,-1592,5404
58,-3282,-5768,7170
60,-3068,-8300,7232
61,-2758,-8230,7294
62,-566,-7170,8612
64,-562,-7004,7030
65,610,-3574,6424
66,358,-1220,6580
68,-884,-886,6130
69,-3370,-2324,6666
71,-3872,-3800,8786
72,-3830,-5994,8302
73,-2788,-6510,8614
75,-2382,-7444,9214
76,-296,-5454,6772
77,522,-5242,5972
79,518,-4012,4832
80,-542,-3896,4948
82,-1186,-5820,6864
83,-1488,-5892,7060
84,-1410,-5814,9460
86,-354,-5256,9332
87,0,-3382,8366
88,198,-1016,7424
90,-872,-950,6568
91,-1964,-1734,6010
93,-2336,-4082,6400
94,-3440,-6448,7404
95,-3078,-8256,8314
97,-1020,-8074,8266
98,-500,-7428,7940
99,172,-4164,6844
101,708,-3100,6596
102,210,-978,5718
103,-2088,-2328,6648
105,-3494,-2120,8168
106,-3720,-5846,8888
108,-3434,-6036,8628
109,-2294,-7186,10240
110,-676,-6462,7996
112,-240,-4344,5552
113,-364,-4322,6312
115,-688,-4912,4678
116,-996,-6102,6134
117,-1570,-6856,7548
119,-1192,-6386,7922
120,-342,-5416,9300
122,0,-4924,9332
123,226,-1090,6932
124,-168,-1568,7248
126,-1758,-536,5558
127,-3314,-3330,6476
128,-4212,-5738,8040
130,-3708,-7644,7436
131,-2402,-7844,8546
133,-1156,-8368,7860
134,650,-4756,6434
135,516,-3732,6518
137,816,-754,5366
138,-1104,-1980,5894
139,-2226,-2910,7932
141,-3688,-4564,8524
142,-3056,-5434,9360
144,-1654,-6300,9608
145,-950,-5618,8796
146,-486,-3850,5906
148,104,-3860,5956
149,-822,-4358,5016
151,-1396,-6134,5200
152,-1696,-6000,7554
153,-1568,-6286,7314
155,-724,-6306,8640
156,-378,-5542,8094
158,370,-84,6288
159,0,-318,6616
160,-1140,-1432,6642
162,-3030,-1360,5618
163,-3482,-4316,8162
164,-3948,-7542,7950
166,-2862,-8378,8384
167,-1830,-7464,8264
169,502,-6138,6660
170,176,-4362,6460
171,-30,-2650,5334
173,-436,-1970,4758
174,-1710,-3604,7920
175,-3196,-4088,7754
177,-3506,-4754,9380
178,-2090,-5918,9966
180,-920,-5502,8472
181,-792,-4890,7338
182,-238,-3464,6124
184,-402,-3696,5104
185,-1724,-5018,5296
186,-1796,-5768,6172
188,-1918,-7756,7804
189,-332,-6354,7348
191,-232,-5764,9466
192,644,-2532,7378
193,632,-510,5602
195,-200,-548,7266
196,-2708,-94,5894
197,-3384,-2600,7984
199,-4404,-6156,8832
200,-3598,-7380,8828
202,-1636,-8406,9132
203,-340,-7254,7920
204,226,-4410,6742
206,236,-3682,5732
207,-52,-2342,5218
209,-2126,-3930,7172
210,-2194,-4194,7338
211,-2756,-5350,8794
213,-2208,-5974,10166
214,-1514,-5928,8104
215,-392,-4194,7362
217,-352,-3692,6858
218,-1196,-3812,6006
220,-1886,-5542,5248
221,-1948,-6618,6852
222,-2148,-7478,7926
224,-1412,-7896,8026
225,278,-5912,9438
227,924,-3576,8336
228,620,-32,5636
229,-1058,-1052,7260
231,-1746,-1346,5776
232,-4086,-2478,6834
233,-4024,-5458,8504
235,-4294,-7236,8408
236,-2102,-7754,8796
238,-868,-7332,6788
239,364,-5122,6188
240,98,-4148,6018
242,32,-3384,4112
243,-1112,-2700,5628
245,-2480,-4098,8944
246,-2288,-5856,8546
247,-1758,-3990,8876
249,-1174,-3910,9230
250,-1054,-3156,7620
251,-164,-3590,6284
253,-930,-2304,5726
254,-1624,-3822,5008
256,-2372,-6422,6982
257,-2390,-7576,7608
258,-1268,-8398,7612
260,-294,-6776,9140
261,1014,-4690,8318
262,322,-1764,5694
264,16,-860,6358
265,-1396,-450,5418
267,-3718,-1910,6614
268,-4408,-4720,9010
269,-4252,-6158,7900
271,-2672,-6626,8580
272,-2568,-8490,8326
273,-522,-4928,5586
275,808,-4996,5870
