timestamp,accX,accY,accZ
0,214,-9680,7940
2,1668,-2562,5324
3,1170,2010,6686
4,-3026,-1656,8014
6,-4434,-3556,9240
7,-4848,-11232,6254
9,-236,-10460,4920
10,2958,-9256,7074
11,1898,2632,4376
13,1670,4648,5152
14,-850,2318,9938
15,-6812,-2552,9428
17,-6524,-8034,7992
18,-3300,-13394,8134
20,1578,-11270,7102
21,2118,-4686,4818
22,2344,-2578,8210
24,-1380,692,7818
25,-4810,-2750,9368
26,-5162,-8182,11780
28,-3904,-7528,5444
29,-1488,-9772,9240
30,1150,-6000,8164
32,3062,62,5386
33,-1820,4250,6276
35,-4932,70,10284
36,-6592,-5608,8048
37,-3166,-10410,7056
39,66,-11346,2686
40,5336,-4650,3892
41,3978,-6122,6692
43,114,7304,3734
44,-1694,2154,7016
46,-3730,-1608,9724
47,-4382,-7026,6552
48,-2630,-11640,7202
50,-1180,-6858,7232
51,376,-4058,5086
52,-126,1382,8152
54,-3540,1300,7240
55,-7154,-380,11338
57,-6778,-14920,10480
58,-2814,-10810,3424
59,1068,-10270,8996
61,3924,-3860,6226
62,3928,3610,2856
63,400,2242,8546
65,-4214,-930,10620
66,-5766,-4478,6876
68,-1810,-9750,6542
69,102,-11280,6268
70,1512,-4810,6546
72,1718,-1970,5464
73,1936,1158,6254
74,-3256,-262,7928
76,-5992,-4170,9832
77,-5406,-11974,7120
78,352,-12636,7338
80,1324,-6094,5976
81,2522,-1562,7674
83,416,3998,7938
84,-3840,1514,8254
85,-7880,-3370,11120
87,-7252,-8050,7160
88,16,-11836,3420
90,1380,-8634,8374
91,2112,-7202,7588
92,2080,1396,3538
94,-208,3512,7460
95,-3920,-3790,10344
96,-4574,-5982,9396
98,-2896,-10558,5534
99,1660,-9534,7368
101,3432,-6592,5684
102,520,5312,5306
103,-1406,2990,7794
105,-3682,-650,10242
106,-7366,-7290,9364
107,-4322,-12114,6414
109,1488,-13478,8636
110,1904,-8362,3316
112,2512,1152,5292
113,-418,-722,8756
114,-4466,1522,8268
116,-4972,-6866,10188
117,-3790,-9278,6168
119,-734,-9624,6726
120,878,-6844,8284
121,2124,-488,4714
123,126,2010,6132
124,-3654,-4204,10276
126,-6118,-9136,10808
127,-4290,-7736,6462
128,3166,-14678,5824
130,4012,-4550,3232
131,4854,-2632,8910
133,-878,4536,6338
134,-1882,6086,9308
135,-6708,-3946,11602
137,-5062,-5926,8624
138,-3344,-9958,7750
139,-446,-7410,9276
141,624,-5352,4872
142,-766,1372,7524
143,-1126,-676,8298
145,-5600,-4458,8174
146,-4474,-14624,11186
148,-2442,-14558,2800
149,3426,-9716,6684
150,3326,-8212,8676
152,3856,5816,4692
153,-1984,3176,6932
155,-4194,780,10914
156,-5122,-7788,7066
157,-2902,-9228,5626
159,-282,-10380,7558
160,1878,-5244,5336
161,1724,-1730,6388
163,-702,648,6476
164,-3480,754,7370
166,-5806,-9220,9818
167,-4402,-8552,6110
168,-360,-11702,9382
170,1156,-2488,6364
171,2808,1190,8134
173,-2528,3152,8386
174,-5778,3212,8736
175,-7112,-7914,10114
177,-4382,-11394,9170
178,528,-13672,2770
179,3170,-5436,5170
181,3278,-7794,8078
182,3132,4782,3318
184,-1722,2138,6134
185,-3674,-5244,10036
186,-3832,-5656,5690
188,-944,-10506,4938
189,312,-6360,8374
190,3288,-2078,4692
192,-202,4072,7158
193,-2090,992,10422
194,-6650,-1896,9322
196,-6886,-4906,7678
197,-2516,-13378,5630
199,1008,-12588,6910
200,2378,-4016,4530
201,1910,2770,3780
203,1102,1938,9750
204,-5278,-900,9298
206,-4714,-5516,8102
207,-4104,-10038,7298
208,-838,-8872,6604
210,692,-3174,6890
211,1998,128,6172
212,1832,540,5096
214,-2744,-874,8596
215,-5820,-10728,12154
217,-4520,-9610,4024
218,2550,-13256,7564
219,3222,-8618,3090
221,3052,-78,6816
222,-1086,1230,8858
224,-3200,1370,8170
225,-6416,-3766,9580
226,-6582,-6298,7188
228,-1226,-9676,6088
229,-818,-7592,8354
231,768,-2402,5446
232,-26,2096,4744
233,-778,-2852,8672
235,-6216,-2868,6850
236,-4854,-9954,8752
238,544,-10398,3976
239,3208,-5950,7920
240,4506,-1680,7898
242,2434,6294,4302
243,-1814,738,8892
245,-5990,-2482,11618
246,-4998,-8828,5974
247,-1140,-10712,6562
249,282,-10436,8750
250,892,-1478,4974
252,1000,-248,6826
253,-944,612,8290
254,-5358,-2882,8532
256,-5644,-8770,6722
257,-1752,-8892,5054
259,762,-11960,9720
260,1622,2844,3294
261,2784,2610,4624
263,-1172,352,9546
264,-6430,-3058,8976
265,-6604,-8450,9270
267,-4426,-13860,8130
268,1942,-11940,4204
270,3570,-4266,6602
271,3176,-5192,8316
272,628,3134,4480
274,-2394,-4130,9104
275,-5010,-6632,12694
