timestamp,accX,accY,accZ
0,-6250,-5022,10768
2,-452,-13692,6152
3,1340,-6668,1616
5,4702,-5962,9638
6,1834,5012,4580
7,-174,7666,7896
9,-5388,-1734,11792
10,-5192,-4734,10158
11,-4612,-10366,5612
13,-564,-11184,9680
14,1742,-10482,4746
16,2058,-8,4788
17,284,-446,7010
18,-2566,814,8074
20,-6214,-6228,11050
21,-5220,-10778,4872
22,-78,-11116,8540
24,1608,-12002,10392
25,1586,3168,2142
27,1452,-432,8802
28,-2686,2086,7740
29,-6722,-6954,9492
31,-6042,-10408,9584
32,-1860,-13620,5218
34,2530,-8348,3196
35,3116,-5100,8206
36,2020,-1214,6348
38,-1230,6180,6964
39,-5610,-5934,12416
40,-4484,-5500,9632
42,-2682,-10462,6560
43,36,-8342,10090
45,1376,-4314,5342
46,-466,3828,6374
47,-4004,3462,8100
49,-5850,-3874,9658
50,-6634,-7152,9134
51,-4138,-15092,4768
53,2790,-9958,5390
54,3414,-8604,7744
56,3526,4316,3248
57,6,3610,6212
58,-2100,-1324,9784
60,-5142,-4838,8036
61,-2652,-10474,6898
62,-1606,-8626,6626
64,902,-6340,6130
65,1642,-2832,7080
67,1198,1080,6684
68,-3570,1494,5580
69,-6456,222,12364
71,-4132,-13966,8998
72,-2808,-9500,7022
73,2358,-10530,9960
75,3704,966,4108
76,2302,5264,8180
78,-5062,2240,9682
79,-5578,-174,10460
80,-5746,-7626,7740
82,-3006,-10474,8088
83,322,-12296,5380
84,1718,-4850,6462
86,2000,-3748,6474
87,746,1804,6182
89,-4282,-2614,8868
90,-6108,-8936,8406
91,232,-12900,7200
93,1600,-9752,4534
94,4480,-4612,7012
96,1638,-540,8598
97,-428,5316,6166
98,-6342,-636,9328
100,-6428,-4856,9706
101,-3236,-11294,4588
103,-848,-9632,9854
104,1536,-8854,7784
105,1376,-762,3706
107,724,-848,7852
108,-4052,-1492,9896
109,-5636,-3138,8990
111,-3196,-11146,7070
112,-1816,-8898,5346
114,2412,-7146,7596
115,1990,3462,3826
116,2422,4064,8240
118,-5242,1222,8822
119,-6280,-3348,9530
121,-5422,-10762,6238
122,1068,-13394,7584
123,2382,-12166,2196
125,4378,150,5558
126,1766,-3804,6328
128,-3936,5854,5754
129,-5240,-3646,10144
130,-5350,-6208,7154
132,-2296,-8138,5126
133,-1022,-10058,9382
134,2048,-1166,4788
136,830,-326,6172
137,-2170,1262,9268
139,-5910,-7318,10844
140,-6914,-7464,7162
141,-362,-16814,6850
143,2316,-11578,4886
144,5110,-4664,6656
145,1780,-1130,6392
147,-394,6582,7390
148,-3964,-4200,10572
150,-5200,-2348,9562
151,-3656,-12204,6362
152,30,-10534,8434
154,1184,-6114,6302
155,942,-570,6514
156,-290,2572,6752
158,-2326,-728,7208
159,-7034,-5674,11418
161,-4564,-14270,4314
162,-290,-8698,4090
163,2592,-11000,9760
165,2640,4914,3612
166,370,5598,4966
167,-3516,2114,11462
169,-5748,-5750,11208
170,-5260,-8680,6572
172,-3172,-11814,7612
173,1932,-10494,6332
174,1944,-4282,5864
176,1678,-2214,6552
177,-612,1864,5906
179,-5698,-6406,10158
180,-5494,-8720,9456
181,-564,-11450,7382
183,2128,-6794,6728
184,2652,-540,7002
186,168,2126,8532
187,-3666,5720,8898
188,-6720,-3734,10146
190,-6384,-8578,11596
191,-3002,-12344,3310
193,-2,-7936,5464
194,1542,-8840,7096
195,1312,1506,2612
197,-978,3710,4636
198,-3050,-4684,11698
199,-5140,-5962,8684
201,-2784,-9578,6366
202,1328,-9370,7784
204,3524,-6916,7508
205,1756,-646,4470
206,-362,1814,6928
208,-3508,-1212,8580
209,-5866,-7452,8678
210,-3186,-12888,6724
212,-290,-12426,7562
213,2900,-8236,5334
215,2718,542,6038
216,-546,748,8368
217,-3482,2544,8390
219,-6116,-6670,10102
220,-4172,-9900,8900
221,-3288,-7842,6904
223,192,-6558,7908
224,670,-1982,8038
226,2304,1314,6378
227,-4142,2972,5484
228,-5996,-3850,10370
230,-5966,-10360,5830
231,-814,-10854,4738
232,2666,-15190,4684
234,5554,554,2212
235,3100,-720,6718
237,-1626,5508,7382
238,-3352,-70,8236
239,-5204,-5528,8926
241,-3004,-10608,7182
242,-288,-11198,6970
243,208,-4652,7122
245,1222,-2740,5960
246,-804,688,7852
247,-5242,-2508,8450
249,-7198,-3432,10046
250,-2242,-15146,8580
252,-376,-10888,4162
253,2066,-7490,8580
255,2530,-970,7294
256,1276,6562,6234
257,-4696,-502,8582
259,-6102,-4510,12774
260,-4984,-9958,3484
261,-76,-10740,4982
263,1902,-11410,6458
264,2436,-1674,3074
266,1698,510,5268
267,-150,288,7814
268,-5874,-3270,9358
270,-4528,-9376,6760
271,304,-9320,6238
272,1982,-9904,9732
274,868,3452,3610
275,2170,2038,7552
