timestamp,accX,accY,accZ
0,718,-2766,8824
2,-4004,1934,6092
3,-5500,-1910,11230
4,-3450,-11586,8328
6,-78,-8384,4610
7,2558,-3966,7078
9,3210,1528,4724
10,2488,2850,7436
11,-4282,3568,7308
13,-5926,-3408,9222
14,-6168,-10132,9762
16,434,-12958,5862
17,1918,-9730,4876
18,2564,-5452,9878
20,1856,-2932,7494
21,-1614,3730,5046
22,-5198,-5910,12358
24,-5900,-7044,6082
25,-2264,-9374,4648
26,-310,-10566,8748
28,890,-3238,6406
29,-572,3454,6052
31,-2102,4556,8572
32,-6662,-3386,8966
33,-7342,-5210,9534
35,-4562,-15300,3300
36,2954,-9544,2338
38,3598,-11120,7726
39,2410,5144,2180
40,1342,5250,4148
42,126,-26,10814
43,-4594,-2036,7910
44,-4188,-8450,7906
46,362,-8596,6712
47,672,-7000,6848
48,158,1464,8516
50,1298,184,6056
51,-3166,2654,7806
53,-7588,-9456,13236
54,-6770,-12936,3850
55,1558,-14094,7564
57,2018,-11624,7206
58,3478,432,6218
60,-524,-1148,9836
61,-3074,4662,6720
62,-5550,-5368,9502
64,-5876,-7488,11852
65,-2982,-10648,3298
67,1566,-8698,6102
68,2172,-3458,5406
69,982,1586,4382
71,-462,1534,6124
72,-3036,-3614,8732
73,-5712,-6208,8462
75,-1590,-14724,5990
76,2424,-5430,3738
78,3536,-6084,9218
79,-412,6738,6752
80,-1980,5822,5572
82,-5592,-1106,12096
83,-6696,-7464,10590
85,-3504,-13716,4348
86,-948,-10728,9470
87,1604,-11798,8200
89,1884,2898,3826
90,334,-1970,7958
91,-3092,-2240,6438
93,-4352,-8026,9130
94,-3542,-14074,9978
96,-694,-7528,5166
97,3008,-8220,8702
98,2146,844,4498
100,-244,1722,7194
101,-3852,2496,8126
103,-6026,-8738,9214
104,-5276,-10596,7870
105,-1418,-12512,7214
107,2510,-6160,2774
108,2524,-98,9742
110,-686,-898,7720
111,-3236,5592,4392
112,-4680,-9808,13766
114,-5234,-6806,9370
115,-2778,-6786,6816
117,666,-7288,9658
118,2800,-2288,5632
119,1342,3256,6258
121,-3916,2292,7436
122,-4866,-5208,9578
123,-5188,-9376,9014
125,-530,-16606,6256
126,1998,-6456,3290
128,3746,-7398,9076
129,1856,-2416,2570
130,-724,4890,5556
132,-3018,-3992,10426
133,-5750,-5150,7790
134,-2706,-11906,6548
136,-1234,-9660,8096
137,78,-6186,6498
138,-176,-668,7480
140,236,988,6772
141,-6050,744,5882
143,-7052,-4830,12572
144,-3332,-12166,4150
145,-140,-9910,3762
147,3070,-5152,6168
148,3758,3626,2312
150,3152,1100,8958
151,-4618,1610,9062
152,-4900,-2830,8160
154,-2984,-9258,8774
155,-904,-11370,6292
157,1432,-4718,5466
158,2014,-3778,7038
159,2048,-2144,5306
161,-3228,1030,6792
162,-5286,-5444,10864
163,-6316,-9172,6454
165,-222,-13022,7140
166,1472,-8302,4522
168,3122,-2518,7896
169,520,1064,8038
170,-3002,3226,7170
172,-7198,-2350,10542
173,-8302,-5934,7896
174,-1420,-12736,3582
176,468,-9354,4516
177,2082,-8676,8068
179,1848,1940,2056
180,710,4806,8146
181,-3774,-3460,10114
183,-4400,-3554,8206
184,-2978,-11832,5998
186,1500,-7726,5966
187,3182,-2506,7432
188,1426,4982,5350
190,-92,3888,8948
191,-3050,-48,9508
192,-7186,-6168,10144
194,-4804,-11632,6218
195,730,-13568,8918
197,1912,-9736,2914
198,2908,816,5368
199,638,-2574,9788
201,-3288,2930,5998
202,-5732,-6716,10830
203,-5046,-10886,5860
205,-880,-9184,5248
206,702,-8706,8400
208,1654,-888,4016
209,372,1650,6538
210,-2274,3676,8756
212,-5756,-8464,10000
213,-5850,-8106,7776
214,-1102,-15882,5582
216,4700,-6230,2014
217,4504,-2796,9900
219,-126,3398,6462
220,-1308,8264,4556
221,-3004,-4190,11858
223,-5758,-4220,9360
224,-3822,-9850,7222
226,-678,-7832,9310
227,386,-6468,6646
228,372,1556,7116
230,-752,420,8320
231,-4344,-814,7714
232,-5156,-11882,11500
234,-3462,-14946,8110
235,-726,-10810,6140
237,2842,-8994,8898
238,3840,5222,4428
239,-482,1656,7824
241,-3798,2464,9178
242,-5056,-8076,7924
244,-3470,-8576,6452
245,-1986,-9906,6572
246,1708,-6014,5126
248,2306,-1880,5792
249,1442,-468,6272
250,-2692,2926,5852
252,-5444,-2668,11524
253,-5268,-8210,7368
254,-1542,-9738,5622
256,1164,-4046,8274
257,3144,598,3388
259,2132,2182,7852
260,-5056,5660,8076
261,-6740,-2738,9830
263,-7124,-9126,9770
264,-674,-14236,6784
266,1350,-11640,4348
267,3236,-8086,9160
268,2594,-4634,6632
270,474,3158,4406
271,-2994,-5466,10420
272,-4560,-5320,6656
274,-1422,-10260,4484
275,344,-10190,9024
