timestamp,accX,accY,accZ
0,-5488,-10906,10314
2,-2718,-12814,5562
3,3058,-10666,6836
4,5056,-4186,4738
6,2192,1568,6074
7,-1858,3544,7902
9,-3490,-2422,9110
10,-5678,-4596,8530
11,-4182,-8598,7644
13,92,-8828,7828
14,1368,-5622,6390
15,862,-1208,6070
17,-1236,1586,7646
18,-4500,22,9476
20,-6296,-6726,8926
21,-3548,-12120,8982
22,-678,-6614,4966
24,3000,-5936,6082
25,2776,-4520,6456
26,-1184,6018,5116
28,-3828,3074,7130
29,-5888,-7182,11686
31,-3116,-11898,6720
32,-332,-11516,6042
33,710,-11004,9014
35,2858,-4994,6348
36,1886,3052,4962
37,-1522,-1706,9086
39,-4008,-1594,8834
40,-3912,-10422,7664
42,-2104,-10812,6636
43,356,-8028,8046
44,672,-1894,7790
46,522,3910,6728
47,-3982,1934,8228
48,-7206,382,9584
50,-7972,-8554,8184
51,-2848,-11092,5544
52,540,-14272,8512
54,2278,-1228,2254
55,3794,-2354,6422
57,1586,-3302,5950
58,-3124,2472,5422
60,-4032,-7062,10998
61,-2382,-7056,4954
62,-394,-9186,5306
64,1076,-3220,7518
65,3902,-1728,4046
66,498,1366,7050
68,-5350,-126,8898
69,-6054,-8222,11240
71,-6386,-10732,7070
72,-342,-15720,7188
73,2816,-3728,5692
75,2702,-3366,7496
76,170,3186,6270
78,-3934,-592,9342
79,-6194,-3640,8696
80,-3250,-10058,6000
82,-1706,-12160,7270
83,230,-6138,6712
85,1574,-4462,5030
86,2006,1412,6594
88,-4304,-704,7184
89,-5410,-5638,8898
90,-4268,-11488,5988
92,-106,-11790,5158
93,2866,-4906,6234
95,4276,-260,4130
96,2764,2200,7570
97,-4496,1990,9444
99,-5534,-2634,9828
100,-5820,-8450,7668
101,-2766,-11382,8534
103,-698,-10880,6464
104,1006,-3236,5504
105,1196,-2952,6238
107,-1022,746,7390
108,-5744,-3512,9460
110,-5980,-7932,7046
111,-4368,-12194,7366
112,1066,-11198,7596
114,2852,-2930,4736
115,3578,-1182,7224
116,-1524,5342,6780
118,-3190,-2490,8428
119,-6532,-6076,10522
120,-4054,-10108,5656
122,1114,-10018,2728
123,2390,-7410,7530
125,2922,-268,4662
126,-326,6828,3386
127,-1078,1010,11242
129,-5418,-2684,10276
130,-4922,-6342,7296
131,-2472,-9682,6996
133,1594,-6732,8316
134,874,-5166,6648
136,-784,4608,6148
137,-1944,1126,7226
138,-6340,-4698,11176
140,-5742,-13458,8948
141,-2822,-12748,5834
143,2646,-13280,8760
144,2562,-4664,4396
145,3494,-470,6834
147,-136,-1882,9106
148,-3448,-1898,8108
149,-3504,-9592,8760
151,-2556,-8434,5226
152,-204,-9234,7538
154,1326,-4976,9008
155,2078,-194,5234
156,-1950,1840,6524
158,-5972,4686,12032
159,-6470,-12232,10790
161,-4390,-7938,4586
162,1038,-13880,8256
164,3246,-3266,4646
165,4170,-476,7410
166,-2806,4508,6654
168,-4114,4044,10804
169,-5798,-6316,10490
170,-3966,-7332,5386
172,164,-10306,7730
173,1694,-6430,7800
175,2586,-612,4998
176,1068,2454,6146
178,-3178,700,7750
179,-4156,-8192,9812
180,-3074,-11352,8118
182,-548,-9126,5902
183,2862,-7690,8320
184,3126,4026,5144
186,-398,4970,6454
187,-4052,3144,11020
189,-6798,-6362,9294
190,-4912,-9796,7732
191,-2666,-10940,7726
193,538,-9136,7964
194,1440,-3480,5586
195,1380,-1102,6264
197,-2178,-282,8004
198,-5118,-1338,8658
200,-5022,-11110,9458
201,-1972,-10794,6342
202,1214,-8152,8746
204,3098,-622,4536
205,3704,1074,6442
206,-2736,4442,7886
208,-6006,-576,8654
209,-6090,-8380,6822
211,-1496,-12310,8722
212,996,-13470,3144
213,3298,-4184,5942
215,2078,-5464,5544
216,854,6700,4770
217,-3718,-512,8240
219,-5864,-7518,9444
220,-3088,-7242,5218
222,-1350,-11026,7076
223,-402,-4650,6430
224,1370,-1056,6294
226,-600,3954,7134
227,-4980,-1972,9182
229,-6982,-2518,10082
230,-2360,-16668,7384
231,686,-12298,2858
233,3482,-10658,8534
234,3262,-2102,6286
235,1590,5904,5664
237,86,-2254,10770
238,-4938,326,9768
239,-4644,-3432,6654
241,-1716,-10024,8876
242,-748,-8226,7644
244,1178,-2136,7458
245,912,1680,7462
246,464,856,5780
248,-6530,-1196,9700
249,-6722,-13002,6414
250,-2284,-7800,2828
252,1232,-14002,9210
253,2460,1436,2574
255,3286,3678,4302
256,-408,1216,7758
257,-4704,-1270,9124
259,-6418,-7320,9680
260,-4590,-8112,6288
261,860,-11838,5882
263,2298,-7706,6538
264,1880,-3314,6062
266,1394,792,5138
267,-2058,-1708,7780
268,-5500,-7336,10236
270,-3476,-10700,5172
271,854,-8922,4908
273,2680,-6962,7086
274,2234,1368,7030
275,-580,4574,6380
