timestamp,accX,accY,accZ
0,342,-7994,4684
2,1986,-6878,7886
3,1092,1022,3940
4,-498,3594,8202
6,-3840,-4058,10750
7,-4194,-6026,8742
9,-3908,-10944,6206
10,1148,-9366,7392
11,3972,-7142,5298
13,2474,5526,6258
14,-442,3494,7484
15,-2784,414,7982
17,-6024,-6426,8868
18,-4476,-13582,7874
19,-1086,-12734,6926
21,2266,-10444,7442
22,2242,36,4816
24,522,-1892,8828
25,-3698,1752,9162
26,-5902,-6272,10166
28,-5202,-10208,10616
29,-3036,-9796,6376
31,516,-8606,8008
32,1202,-1904,5408
33,-162,300,5260
35,-2642,2324,6246
36,-5666,-10284,10694
37,-4960,-8050,6186
39,-1012,-11952,7544
40,4384,-7422,3894
42,5522,-612,2680
43,3112,-2260,7424
44,-1832,6196,6784
46,-3596,-390,8566
47,-5914,-4392,8812
48,-3088,-10274,7216
50,-934,-6622,7818
51,296,-5858,7158
53,572,-3282,6512
54,-80,1410,7904
55,-4960,-2288,8426
57,-7226,-3086,10784
58,-1852,-16878,8610
59,-252,-10468,3816
61,1858,-8824,9022
62,2620,-1236,7494
64,1700,6804,6090
65,-4040,526,9104
66,-6310,-1700,11858
68,-4584,-11934,4346
69,-736,-8932,4722
70,712,-9440,6882
72,1974,346,3424
73,2144,2494,4680
75,-132,256,8734
76,-5036,-724,7916
77,-6548,-8750,7512
79,120,-8748,6568
80,450,-8208,8020
81,1008,698,6434
83,1736,1438,7326
84,-2400,3134,8332
86,-7742,-1482,8486
87,-7378,-9044,11546
88,-4388,-12862,5266
90,928,-9958,3138
91,2736,-7102,8812
92,3024,-3176,5626
94,146,4000,3702
95,-2460,-3906,11158
97,-4458,-6280,11472
98,-3730,-7032,4856
99,372,-10362,8898
101,2930,-7754,7552
102,3084,3592,5492
103,-2006,4082,7656
105,-3434,662,8244
106,-7240,-3594,8746
108,-5582,-12042,6628
109,-2052,-11404,5008
110,3144,-11346,6710
112,2442,-5302,4450
113,382,3778,6784
114,-2430,-428,9696
116,-4966,-2134,8752
117,-4720,-9978,9776
119,-3026,-10554,6032
120,704,-8940,5792
121,1382,-4726,8008
123,1400,854,5516
124,-2128,1704,5446
125,-4278,-696,12130
127,-4322,-12324,9000
128,-2776,-9234,3606
130,1792,-11520,7692
131,4304,-1166,3212
132,3884,960,8100
134,-3154,3354,8982
135,-3740,1930,8370
137,-6660,-4962,8988
138,-4216,-9338,9840
139,-1748,-7634,5874
141,86,-4924,6868
142,608,-5862,6162
143,-1560,2564,6100
145,-3996,-1738,7688
146,-6458,-6680,8818
148,-3388,-12652,7900
149,338,-15386,4206
150,3354,-4104,4552
152,3938,-5368,7078
153,1588,7452,5554
155,-3744,2372,6704
156,-5822,-2350,11586
157,-2102,-12224,6896
159,-896,-10426,5614
160,1276,-9356,9304
161,2272,-5250,6328
163,1100,3416,5962
164,-2518,-2376,8628
166,-4968,-1552,9112
167,-6132,-10888,7156
168,-2370,-10360,6850
170,1660,-8532,8684
171,896,-1194,5674
172,1284,3444,5748
174,-486,1500,8954
175,-7878,-1502,10060
177,-6958,-7800,7926
178,-1798,-14060,7954
179,2032,-12652,5744
181,2578,-3286,4350
182,4022,-4954,8462
183,992,74,3796
185,-3072,-494,7040
186,-4508,-7210,12768
188,-3870,-7122,4108
189,214,-10758,6434
190,628,-7288,5754
192,1480,84,4710
193,-1242,4594,6494
194,-4664,-3152,11602
196,-7198,-5142,8696
197,-6158,-7228,7502
199,608,-13814,5824
200,3090,-8162,5814
201,3698,-2412,6012
203,28,6360,4732
204,-1618,2980,10584
205,-6262,-1660,9458
207,-4664,-5992,7734
208,-2502,-10472,7972
210,1014,-7394,6316
211,1360,-6490,6526
212,1028,1844,7480
214,-130,-122,6270
215,-4634,-3792,9248
216,-4364,-12472,11650
218,-2714,-11866,3432
219,2798,-10778,8924
221,3150,-5988,7346
222,3582,4084,5424
223,-1954,1536,9620
225,-5496,-2448,9504
226,-6424,-6680,7440
228,-5400,-8250,8606
229,-226,-9574,6030
230,772,-5128,5522
232,1262,-3640,6824
233,56,1544,4694
234,-3244,996,9614
236,-4710,-8686,9446
237,-4506,-7548,6420
239,-184,-12406,8286
240,3146,-3222,4738
241,4394,-784,8270
243,-1124,5242,7318
244,-3810,4856,7978
245,-5870,-5224,8922
247,-3870,-9334,9704
248,-658,-13720,3768
250,2106,-6324,6820
251,2188,-7236,8428
252,1708,4692,4374
254,-2772,1354,7196
255,-4546,-4306,10590
256,-4966,-7592,7168
258,-2842,-11674,5208
259,236,-6520,9368
261,1236,-2998,5706
262,442,2754,6492
263,-3160,1260,9418
265,-6476,-832,9442
266,-6630,-5344,7502
267,-1648,-14040,6210
269,1566,-13800,5154
270,3250,-2500,3516
272,3826,-424,4974
273,2042,2672,7236
274,-3678,1136,7608
