timestamp,accX,accY,accZ
0,-4128,-1988,8394
2,-4458,-8934,6932
3,-1482,-8484,6312
4,116,-9028,8242
6,2674,-2418,6442
7,3070,-124,5018
9,-1116,2964,7712
10,-7484,-5434,12902
11,-7172,-7964,5144
13,-720,-14900,8622
14,1506,-12322,5326
15,3206,-4608,7560
17,794,-1962,8410
18,-1626,5680,6056
20,-3256,-3336,10474
21,-6618,-5402,13156
22,-4130,-7630,3634
24,-640,-9668,7854
25,1120,-9354,4920
26,2086,1030,3028
28,848,1876,5634
29,-1768,-1808,7588
31,-6334,-2484,6604
32,-3300,-14514,7164
33,-1484,-7102,2774
35,3362,-8046,6734
36,2990,-6650,4850
37,-544,7912,5032
39,-2938,2228,8008
40,-6100,-3804,10746
42,-5260,-9028,7322
43,-3390,-10656,8650
44,606,-9726,6924
46,708,-5066,6406
47,1126,-1124,6670
48,-1174,-142,6440
50,-3966,-5018,10518
51,-4592,-12158,9866
53,-4446,-8532,5758
54,2050,-12552,9996
55,2622,-2990,6020
57,3686,956,8130
58,-2136,1976,8892
60,-4598,4130,8634
61,-6048,-9374,8482
62,-2730,-10320,6688
64,2262,-8912,1834
65,2752,-3022,3988
67,2744,-2924,8222
68,-1484,4948,3742
69,-2888,2666,6138
71,-5144,-6550,11850
72,-4128,-5578,5886
73,-2386,-10182,9184
75,930,-4882,7732
76,2258,-3064,6484
78,-2664,5746,6332
79,-4074,-1258,8814
80,-6662,-5958,9270
82,-5238,-13362,8232
83,-420,-16272,3970
85,4398,-8092,6700
86,3670,-4982,4026
87,414,4966,4586
89,-1056,-394,8508
90,-4144,-3482,7952
92,-3622,-7288,7236
93,-2108,-10162,8130
94,318,-6824,7230
96,1190,-3090,6162
97,2000,582,6486
99,-4604,3152,6268
100,-7284,-10458,13048
101,-5972,-10104,7518
103,-1930,-10654,8380
104,1934,-6612,4290
106,4578,-784,4130
107,3040,1562,8742
108,-3286,5852,5476
110,-3742,690,11944
111,-5100,-8076,12008
112,-2266,-9548,3970
114,358,-8058,8030
115,2068,-8100,9848
116,1832,-2268,3514
118,618,-782,6124
119,-3002,-4818,10044
121,-5538,-6624,7982
122,-1784,-15850,7928
123,1758,-10584,4684
125,3416,-6202,7396
126,1840,280,8492
127,-52,7372,6386
129,-6226,-536,9428
130,-8302,-3464,10120
132,-3074,-12508,4544
133,-832,-10594,5452
134,-422,-10130,7574
136,1370,-1686,4324
137,1804,1036,5168
138,358,-206,7512
140,-4704,-2130,8432
141,-4522,-9650,7000
143,-1064,-8020,2586
144,1772,-9294,8886
145,2888,3196,3816
147,3072,6074,2602
148,-124,1000,9786
149,-6672,-2010,10650
151,-6090,-9538,7992
152,-3872,-12194,8094
154,1908,-12426,6764
155,1348,-792,5058
156,1760,-3394,9538
158,-626,-130,6018
159,-4306,-3046,9716
160,-6338,-8710,12982
162,-4286,-7906,3832
163,-1466,-10552,8996
165,-46,-6800,4636
166,2888,-418,5606
167,-8,4144,5166
169,-4986,-5844,10198
170,-6934,-6236,9238
172,-4726,-9532,6148
173,2682,-12744,4370
174,5278,-5914,3550
176,4698,-1818,6554
177,-178,6264,4354
179,-1188,-3092,10360
180,-5392,-2554,9366
181,-4106,-5182,7514
183,-2080,-10278,10286
184,298,-6630,7132
186,486,-1044,6924
187,1350,986,8360
188,-4112,1994,7216
190,-6314,-8654,12220
191,-5454,-11996,9140
192,-3060,-13058,7912
194,1820,-10052,8890
195,3766,-982,3934
197,2356,-100,7718
198,-4078,3916,8930
199,-4348,-5586,8980
201,-5142,-8590,10670
202,-2734,-9388,3882
203,1796,-7248,5172
205,2158,-5402,8070
206,2042,300,4100
208,-1150,3918,5050
209,-3136,-2584,11518
210,-6092,-6174,8934
212,-2750,-9032,5050
213,156,-8220,8034
214,2592,-1950,4618
216,2900,-1386,7956
217,-3774,7364,8030
219,-5898,1224,7982
220,-7746,-7460,11882
221,-2936,-12370,7710
223,-1512,-12148,4786
224,1800,-9204,9396
226,2318,-7538,3076
227,324,3640,4270
228,-2052,-1868,7068
230,-3916,-5646,9742
231,-2828,-9900,6596
233,-1234,-8510,6446
234,3250,-8614,10030
235,2056,-1870,7142
237,1208,3730,6044
238,-3322,-620,9716
239,-6922,120,10498
241,-4458,-12962,5802
242,-1404,-11806,5426
244,2144,-9098,6934
245,1670,-162,3322
246,2454,1930,8950
248,-3192,444,8566
249,-5608,1034,8024
250,-6068,-10014,9370
252,-2698,-7670,6444
253,-1270,-9954,8704
255,840,-2374,8166
256,3842,-604,3588
257,644,3786,4940
259,-6392,-814,10268
260,-5668,-11240,6532
261,-766,-11308,5088
263,2452,-16578,7730
264,4608,26,2264
266,3236,-2070,7384
267,-1144,1100,6866
268,-3470,1288,7702
270,-5728,-4458,10176
271,-4986,-9036,6488
272,-2498,-10728,8062
274,-988,-8062,7240
275,654,-2326,4730
