timestamp,accX,accY,accZ
0,3838,5414,5490
2,-1988,2580,7946
3,-5938,1326,9968
4,-6612,-7782,8462
6,-4786,-9060,8268
7,-1786,-10040,6034
9,638,-5162,6320
10,942,-2528,7000
11,-136,796,5706
13,-3028,1216,5894
14,-5610,-9142,10420
16,-3030,-8326,6332
17,700,-10064,6802
18,3490,-3056,3652
20,4706,-2188,7552
21,2498,6398,6700
22,-4108,2540,7318
24,-6184,-2266,11354
25,-3316,-11306,9852
27,120,-12912,3728
28,1268,-7858,9666
29,1784,-7960,9826
31,836,1410,3088
32,-1842,-556,8084
33,-5796,-3682,12136
35,-6286,-8858,6860
36,-3150,-11718,5642
38,-278,-9054,9422
39,990,-3782,7390
40,362,4044,5562
42,-3316,-400,8408
43,-6732,336,10258
44,-7278,-8122,6742
46,-702,-11948,5096
47,2002,-13412,8432
49,2470,-210,750
50,3872,1018,4616
51,1228,-3456,8422
53,-3750,2394,5920
54,-4386,-4504,7702
55,-3842,-8188,7364
57,-1114,-8056,5108
58,-56,-7650,8724
60,3006,46,4608
61,-262,1138,5240
62,-3630,-1332,11816
64,-6968,-8848,12042
65,-6654,-6904,5932
66,-216,-17248,9354
68,2554,-8744,6250
69,5526,-2692,5970
71,472,702,6260
72,-2704,5748,9562
73,-4522,-4660,9964
75,-4848,-4464,7838
76,-2096,-11452,7308
77,396,-7950,8232
79,1806,-6018,4654
80,1076,1498,6800
82,-792,1278,8036
83,-3032,-886,6130
84,-4854,-9792,11100
86,-2766,-15528,2656
87,1678,-6152,4190
88,3198,-10686,9830
90,2062,7114,3492
91,-1846,5606,5956
93,-5304,742,11932
94,-5514,-9746,9028
95,-4834,-10718,7444
97,-466,-11282,8812
98,1890,-8416,5322
100,1828,-1202,7128
101,476,-2944,7624
102,-2248,2014,5660
104,-4000,-10668,11260
105,-4712,-11378,8606
106,-452,-7298,7092
108,3050,-7096,7932
109,3440,1376,5636
111,-912,2444,8262
112,-4770,4494,9014
113,-5758,-5468,9168
115,-5862,-8864,10856
116,-636,-12696,2582
118,2114,-5404,3168
119,1732,-6080,9696
120,-406,3896,2902
122,-2092,5038,4188
123,-3792,-6066,13652
125,-4872,-6298,7828
126,-2666,-9160,7000
127,2254,-8454,8006
129,2658,-5300,7460
130,438,4706,4702
132,-1448,-36,7432
133,-4402,-3438,10408
134,-5930,-13024,10030
136,-1212,-13980,3826
137,3688,-12274,9090
139,2578,-5200,6246
140,2408,2620,4654
141,-606,-2122,10318
143,-3956,392,7456
144,-4810,-7794,8204
145,-3304,-10804,10012
147,-1744,-7934,5952
148,66,-4948,8836
150,376,-96,5674
151,-2508,2008,5200
152,-5604,2914,6912
154,-8024,-12848,10930
155,-4090,-7644,3474
156,150,-14026,8784
158,4304,-1984,3700
159,5050,696,3556
161,2766,3778,7140
162,-3048,2954,7568
163,-4934,-3928,9536
165,-2870,-7576,6830
166,-184,-10920,4764
167,208,-5702,9328
169,2040,-4396,5920
170,1816,52,6146
172,-2858,-686,9552
173,-6518,-2696,9908
174,-6384,-12570,8280
176,-1368,-13128,7838
177,716,-7540,6776
178,2340,-5430,8824
180,2012,3956,6322
181,-1630,2618,7806
182,-7070,-1112,11704
184,-7210,-7762,6744
185,-1392,-10650,3326
187,-230,-9990,6234
188,1322,-5164,5430
189,1894,2082,3272
191,1364,308,8250
192,-3254,174,7290
193,-4510,-4666,8192
195,-4026,-10178,6016
196,2254,-8088,5070
198,2572,-9326,6556
199,2986,5132,3314
200,974,2790,7258
202,-4048,-238,11402
203,-7884,-6760,9260
204,-6338,-8402,7206
206,-2924,-13506,7706
207,922,-7314,2182
209,2754,-2486,10368
210,320,-1786,8104
211,-2534,4638,6258
213,-5430,-7562,12992
214,-4770,-7790,10600
216,-2826,-10000,4628
217,864,-8446,8442
218,3614,-5572,6882
220,2924,4642,5648
221,-2126,2052,6410
222,-3120,-2706,8318
224,-6048,-8134,9752
225,-3168,-15472,8728
226,1216,-8198,4568
228,3664,-8068,7844
229,1722,6392,4406
231,-848,2954,6566
232,-2752,-1980,10682
233,-6046,-4760,7394
235,-4408,-10790,8724
236,-2348,-10418,7018
237,294,-7380,6280
239,332,-1868,7858
240,168,-450,5772
242,-4618,2194,4524
243,-6622,-2312,13508
244,-4904,-12500,7558
246,-550,-8876,1418
247,2992,-9536,8376
248,4678,2564,2656
250,3420,3794,7174
251,-3662,1860,9668
253,-4188,-2356,9224
254,-4174,-7422,8684
255,-1318,-10056,6878
257,358,-6308,7168
258,1286,-3218,7666
259,1382,-2340,5016
261,232,2828,6482
262,-5996,-3596,11030
264,-7044,-6856,7242
265,-1392,-13134,6126
266,872,-10684,7902
268,1162,-3362,6442
269,2356,-210,7480
270,-56,5234,6582
272,-6326,-304,8718
273,-7938,-6492,12980
275,-4992,-12600,3796
