timestamp,accX,accY,accZ
0,3036,-9996,3472
2,2012,5710,3376
3,730,-530,7596
4,-2532,1422,8882
6,-4890,-6252,8222
7,-3626,-10962,8814
8,-2256,-7900,5972
10,50,-5554,8188
11,-364,-1156,6954
13,-1292,1064,5602
14,-5286,3798,11486
15,-7054,-14386,12562
17,-5378,-10024,5666
18,180,-15104,7356
20,3370,-5582,3450
21,5194,-306,8848
22,-2138,2698,7814
24,-1192,5838,4974
25,-4240,-7896,11660
26,-4002,-7278,9358
28,-1866,-9884,4480
29,1100,-7570,8496
30,1858,-5384,7292
32,1462,190,5854
33,-2160,-702,7936
35,-4832,-1736,8534
36,-5206,-11942,10476
37,-2286,-14304,7436
39,752,-6904,6582
40,2406,-6352,9090
42,1000,3246,5546
43,-780,2630,7760
44,-6602,572,10934
46,-7272,-4276,7728
47,-2742,-11990,5410
48,82,-10312,7918
50,1102,-7278,5834
51,2156,776,4304
53,1760,728,6962
54,-2488,726,6616
55,-4318,-3870,8424
57,-4496,-10940,5802
58,1530,-8260,4726
59,2136,-2536,7562
61,1658,4284,3802
62,1838,3560,7488
64,-6752,2052,10814
65,-7114,-5406,10210
66,-6960,-11010,8086
68,338,-14668,8270
69,1020,-10198,3390
71,2886,-3756,8064
72,1094,-4114,4720
73,-3580,3280,6164
75,-5404,-6804,11106
76,-5100,-6832,4938
78,-1064,-9878,5138
79,44,-10262,6466
80,3462,-2256,4450
82,1214,2368,5886
83,-2550,-1394,9268
85,-5376,-4604,8222
86,-6092,-4734,8178
87,532,-15350,5046
89,2528,-7444,2774
90,4108,-6290,8982
91,782,5716,3544
93,-264,7104,9944
94,-6016,-1458,12158
95,-6090,-2450,8860
97,-4164,-11420,7850
98,-1030,-7676,8998
100,460,-7464,6128
101,304,1484,7636
102,1004,470,7224
104,-3956,-992,7842
105,-6154,-11950,12018
106,-4932,-14500,2808
108,2656,-12098,7398
109,3172,-10086,7160
111,4898,2762,4790
112,60,674,8290
113,-3252,3914,7974
115,-4936,-4352,7544
116,-4656,-7686,9352
118,-2556,-10616,5452
119,1182,-6820,5956
120,1842,-3114,6954
122,292,1916,5326
123,-2530,2184,9350
125,-6508,-5026,9800
126,-5834,-8092,7320
127,-2000,-11050,6650
129,1802,-5748,5188
130,3400,-1394,8422
132,-380,5540,6416
133,-3512,4472,8824
134,-7252,-2796,11898
136,-5700,-9280,10348
137,-1966,-10134,3302
139,1770,-9006,6682
140,2576,-3164,5158
141,1688,4316,2628
143,-328,1236,8920
144,-4528,-2052,8982
146,-4892,-6508,8798
147,-1934,-9578,6278
148,2684,-8612,7204
150,2362,-5270,7166
151,518,5528,5084
153,-1610,2608,8238
154,-7950,-2006,11982
155,-6930,-10308,9680
157,-4572,-12952,7002
158,1588,-14328,9210
160,1948,-6184,2636
161,2942,-1780,6778
162,-486,-2308,6064
164,-3794,-1266,7480
165,-4800,-9768,11282
167,-2614,-7438,3902
168,358,-9266,6232
169,1586,-6850,6182
171,2978,278,4178
172,-910,4216,5760
174,-4624,-6742,12150
175,-6108,-7432,8818
176,-4394,-14582,7422
178,2160,-12812,5066
179,3640,-4128,7728
181,552,-2064,8254
182,-1302,7324,4522
183,-2500,-4292,11876
185,-7386,-3866,12276
186,-4798,-6744,5528
188,-1108,-10476,8642
189,578,-7470,5830
190,772,-146,5322
192,518,1714,6562
193,-1440,-916,6272
195,-6252,-5906,9578
196,-3702,-12370,4004
197,2138,-9290,3098
199,3942,-10960,7810
200,4034,4106,3198
202,620,4908,5664
203,-1166,1916,10874
204,-5236,-5300,9732
206,-5306,-7184,7268
207,-1060,-11802,8698
209,1006,-9366,6546
210,1774,-1904,6832
211,298,-1494,7150
213,-1530,810,6986
214,-6852,-6426,11286
216,-6040,-10056,5900
217,-558,-13700,6638
218,1320,-9376,4890
220,1902,-592,4794
221,1644,522,7928
223,-2916,4900,8126
224,-6432,-4522,9444
225,-5702,-7130,9406
227,-2728,-13748,4882
228,2060,-7696,2588
229,2662,-6130,8202
231,1950,-670,4772
232,-804,5802,4104
233,-1910,-4632,11626
235,-4320,-5220,8344
236,-3612,-6906,7162
238,-258,-9110,8760
239,2892,-5200,7308
240,1398,4260,7092
242,-2500,3584,8052
243,-4874,326,9198
245,-7076,-7236,10220
246,-4626,-14318,4448
247,1778,-12848,6930
249,2830,-11734,8440
250,3424,4436,2908
252,1566,998,6304
253,-2012,380,7620
254,-4556,-5836,8598
256,-3294,-10552,6638
257,40,-8288,5310
259,1342,-7274,6810
260,1566,1622,6640
261,904,1444,5732
263,-3982,3094,9072
264,-6486,-11880,13218
266,-6216,-9938,7966
267,2268,-14024,7890
268,2564,-8438,5472
270,4040,-900,7866
271,-2398,828,9416
273,-2832,5576,7716
274,-6896,-6032,11084
275,-6006,-6478,6230
277,-3518,-10498,4688
