timestamp,accX,accY,accZ
0,2494,-8050,7816
2,506,2986,6000
3,642,4698,5986
4,-1176,1194,9678
6,-8246,-5024,12500
7,-6510,-9544,5312
9,-680,-13830,8170
10,1132,-14114,2294
11,3282,1098,4228
13,2688,-3914,9346
14,-752,5502,4830
16,-4130,-2296,7500
17,-5260,-8510,8860
18,-398,-7730,2388
20,402,-8854,9392
21,3390,-2264,6174
23,1892,24,4584
24,-1560,1608,8262
25,-5326,-6680,10624
27,-6570,-7286,7368
28,-36,-15228,6616
30,2600,-10146,4246
31,2796,-5820,9244
32,-70,-48,7296
34,-718,1828,7702
35,-5284,-4004,11596
37,-7012,-2312,6768
38,-2604,-12166,6824
39,-1210,-9686,7736
41,904,-5184,5248
42,274,96,6118
44,286,362,7188
45,-5468,-498,5894
46,-6474,-5392,11010
48,-1036,-13286,4862
49,1616,-7726,3224
51,4356,-4904,7294
52,3244,4772,3750
53,910,2108,9114
55,-4960,1940,9436
56,-5174,-4412,7396
58,-3074,-9398,6930
59,-976,-9756,8498
60,924,-3344,4972
62,902,218,6442
63,334,-1860,7266
65,-5004,1228,7300
66,-6184,-6366,10612
67,-5952,-8862,5094
69,56,-11156,7374
70,1378,-10568,4584
71,3712,1620,3778
73,1868,240,7436
74,-3948,1176,9200
76,-6550,-5448,8862
77,-5618,-8574,8250
78,362,-13426,4788
80,1736,-7824,3076
81,3518,-6910,8956
82,2282,136,4088
84,-988,7160,8216
85,-4990,-4904,12512
87,-4422,-4606,8158
88,-2772,-11232,7564
89,492,-9418,9040
91,2226,-5368,6458
92,-804,3858,6008
93,-2202,2642,8870
95,-5018,-1710,10650
96,-6780,-11386,11734
98,-3664,-11930,4346
99,1754,-15252,8860
100,3026,-10654,7844
102,2956,3580,3308
103,1360,-1632,8046
104,-3352,646,7110
106,-4664,-6682,9560
107,-3016,-10860,9210
109,-846,-8360,4530
110,1194,-6908,7828
111,1378,104,4712
113,446,1690,6008
114,-3642,3108,10512
116,-6590,-11796,12950
117,-5282,-9904,7432
118,-1660,-13314,7398
120,2834,-6656,6360
121,3014,-318,7192
123,-2434,1724,7936
124,-3346,4598,8992
125,-6770,-4636,11018
127,-5636,-7988,8780
128,-2586,-10988,5974
130,696,-8202,8622
131,1764,-2200,3974
132,740,1676,5308
134,-922,-676,8154
135,-5540,-3158,7644
137,-4646,-10322,8992
138,-1012,-15272,4198
139,3174,-5640,4238
141,3576,-5906,8116
142,2942,7200,5196
143,-2598,3274,7222
145,-5074,280,10780
146,-5348,-9312,8776
147,-2200,-12366,6288
149,-1356,-9022,7910
150,846,-8934,8010
152,1330,-1870,5344
153,-1270,52,7024
154,-4190,-886,9842
156,-4890,-9546,8624
157,-3948,-11772,6260
159,-690,-10368,8354
160,1818,-4994,7502
161,2656,2904,3466
163,1904,1292,8124
164,-4610,2592,8620
165,-6962,-4638,7520
167,-3290,-10666,6796
168,232,-13938,8474
170,2562,-3354,2430
171,3970,-2246,5756
172,2776,-3474,6020
174,-3634,5356,5302
175,-4688,-3426,10346
176,-5238,-5724,7158
178,-2252,-9002,4916
179,-1076,-10912,9452
181,2936,-1900,5566
182,-1686,2758,6926
183,-4558,-52,9916
185,-7144,-3238,9558
186,-6560,-13460,9288
188,-1646,-14494,4798
189,2826,-10772,7668
190,3690,-7206,6818
192,2122,4684,4018
193,-786,-1308,9288
195,-3862,-1358,11002
196,-4694,-8138,6486
197,-1854,-11544,8482
199,310,-9088,5290
200,1556,-3866,5384
202,110,396,8538
203,-2556,1170,5654
204,-6500,2370,6596
206,-6728,-15520,11442
207,-3576,-8912,2826
209,1330,-9476,10890
210,3186,-1380,4186
211,2820,5438,8024
213,328,758,9954
214,-4380,1918,9116
216,-5842,-8838,9216
217,-3250,-9934,8278
218,-376,-11654,5298
220,2354,-5342,6744
221,2002,-3482,6218
223,1368,2242,5476
224,-2996,-1512,7866
225,-4838,-6530,7946
227,-2152,-11088,6638
228,1476,-13696,5952
230,3312,-2586,4320
231,3498,-1596,7654
232,-660,6542,6660
234,-5324,866,8782
235,-8224,-3242,10678
237,-2914,-13060,7258
238,-1030,-12468,6234
239,1076,-9790,9118
241,1780,-5898,6920
242,1252,2216,6488
244,-3886,-2340,9216
245,-4446,-5454,8160
246,-3456,-11362,7032
248,-1168,-12320,7330
249,1286,-7130,7160
251,2212,-300,5668
252,664,2872,6550
253,-3656,920,9566
255,-6204,-1590,8016
256,-5334,-12844,5954
257,-1118,-12420,6396
259,1664,-7272,4562
260,2456,1068,2472
262,3608,52,9864
263,-3948,3830,8046
264,-5062,1344,7484
266,-5662,-9580,10150
267,-2612,-7342,6124
269,-2092,-9816,8656
270,2648,-2630,7126
271,716,342,5730
273,-3972,1190,8292
274,-6028,-5156,10610
276,-6042,-9634,6810
277,-1804,-13872,6528
