timestamp,accX,accY,accZ
0,2076,4206,3178
2,1202,-1998,9202
3,-3372,-1134,6372
4,-4340,-6360,8268
6,-3582,-11646,10338
7,-2332,-8182,4542
9,1304,-7992,7640
10,1872,-1990,4950
11,262,954,5936
13,-3236,4368,4944
14,-5906,-12838,11922
15,-5752,-8720,6358
17,-2266,-11568,8876
18,2128,-6568,4364
19,4670,250,2558
21,2672,-642,10032
22,-3442,5192,8066
24,-4348,422,10144
25,-6082,-8062,11050
26,-3208,-9896,6492
28,-1180,-10108,9172
29,1344,-7318,8124
30,1036,-2184,4612
32,-178,-474,7422
33,-4328,-1992,8088
35,-6006,-2938,10652
36,-2348,-15034,7992
37,1128,-9136,1518
39,4368,-8030,9332
40,3096,3090,5338
41,1150,7446,7008
43,-4280,2604,10470
44,-6566,-2892,10860
46,-4826,-9532,5232
47,-1604,-9612,8222
48,394,-11868,5006
50,1112,1452,4860
51,460,-1110,7236
52,-444,2792,6540
54,-5704,-1816,8084
55,-6074,-13068,7954
57,-274,-8184,4024
58,1068,-12208,8220
59,1214,3168,3204
61,2168,1524,5784
62,-330,1374,8050
63,-7142,-4234,9550
65,-6678,-10172,9378
66,-4072,-14402,6716
67,2940,-10372,2830
69,3528,-3830,7520
70,2220,-4910,9274
72,-480,2866,3692
73,-2590,5398,10322
74,-5028,-7818,11822
76,-3938,-5022,4526
77,-1618,-10496,9174
78,760,-6066,9320
80,2940,-2192,6430
81,-2484,4450,6678
83,-4310,630,10510
84,-7348,-4566,9020
85,-5426,-13474,9650
87,-1480,-15238,4288
88,3376,-10642,8172
89,3192,-6290,6860
91,1656,5434,3984
92,-894,-2034,9636
93,-3868,-1792,7034
95,-3464,-8670,7090
96,-2006,-10736,8346
98,-386,-7912,5920
99,1768,-3892,6490
100,1308,2128,6184
102,-2970,2096,5616
103,-5450,2852,6416
104,-6838,-14110,10234
106,-3502,-8628,2716
107,1302,-13316,9336
109,4256,-248,2282
110,3532,3354,3986
111,-20,2826,10872
113,-4854,2190,8484
114,-6146,-4008,11012
115,-3164,-11234,8516
117,-1182,-10152,5066
118,48,-7244,8912
120,1530,-4760,6682
121,1708,458,5982
122,-2880,-2512,8172
124,-5012,-3710,8022
125,-5362,-15314,8884
126,440,-11952,5650
128,2594,-5678,5982
129,3116,-2942,8846
131,608,5882,6618
132,-1560,1824,8400
133,-7202,-604,11806
135,-6602,-6890,6368
136,-1652,-9216,4436
138,-554,-9234,7912
139,1082,-2196,5374
140,738,3298,4376
142,-172,-310,9158
143,-4192,120,7580
144,-6058,-6632,9408
146,-4070,-10128,5298
147,1578,-8582,6558
148,3048,-9718,6662
150,2428,5322,3768
151,440,1700,7194
153,-3000,2414,8686
154,-6376,-8548,9178
155,-4578,-12584,7064
157,-1530,-13866,6632
158,3346,-6162,2282
159,3226,322,8384
161,-788,-2758,9276
162,-2746,4160,5516
163,-3714,-8540,12212
165,-4818,-8584,9962
166,-3574,-6146,6412
168,-72,-8168,10220
169,2106,-2942,7598
170,838,4132,5318
172,-4356,3104,8254
173,-5786,-5274,9238
174,-6020,-7840,7242
176,-2068,-16112,8128
177,2240,-6264,2232
179,4740,-6896,7094
180,2518,-3434,3848
181,-436,6282,4704
183,-1760,-3762,9618
184,-6056,-5098,6846
186,-2080,-10404,5714
187,-1332,-9900,8512
188,1138,-5834,6004
190,266,-184,5996
191,1268,1056,7502
192,-5806,1256,5256
194,-6810,-1856,13242
195,-4124,-13378,5512
196,-102,-7868,2384
198,2078,-7282,9512
199,4186,4722,1834
201,1586,5320,8414
202,-6160,724,12582
203,-5906,-3382,9660
205,-6070,-10306,7962
206,-1226,-11172,7702
208,1090,-10254,5472
209,1700,-4428,7682
210,2592,-3210,5876
212,358,938,5588
213,-4784,-4842,10566
214,-5648,-8260,6176
216,582,-14268,6750
217,1438,-9490,6726
218,2838,-2780,6344
220,1198,1186,8718
221,-2550,6494,7636
223,-7568,-1270,9156
224,-8032,-5158,12778
225,-3896,-12368,4362
227,632,-8550,3260
228,362,-9510,9546
229,1362,1538,3004
231,-54,4432,4016
232,-1454,-2772,10284
234,-5500,-4116,9662
235,-3544,-9994,6618
236,86,-8586,4424
238,2814,-8144,8794
239,3072,5230,4698
240,1262,5270,4564
242,-1828,566,9942
243,-6456,-3916,10060
245,-4668,-12216,6950
246,-2086,-12416,7006
247,2454,-10160,7088
249,2376,-1342,4254
250,668,-2376,9160
252,-2078,-36,8244
253,-4794,-4010,9398
254,-5116,-10834,11628
256,-3786,-7608,4352
257,-762,-9058,8830
258,460,-4146,9784
260,2110,-228,5734
261,-2006,4192,5176
262,-6446,-432,12136
264,-6658,-8818,7360
265,-2684,-10774,5626
267,2104,-9066,4316
268,5970,-2270,2336
269,4778,-3822,7428
271,-1382,6894,5794
272,-2576,1108,8022
273,-4862,-4734,9400
