timestamp,accX,accY,accZ
0,-1486,-12726,5142
2,2876,-7266,7614
3,2470,-4960,7282
5,1500,4804,5776
6,-5202,2584,8322
7,-6090,-1208,10976
9,-4142,-12492,6858
10,-1282,-10744,3718
11,-304,-12076,8124
13,3186,-6038,5198
14,3008,778,5204
15,-814,-232,7866
17,-2932,-452,7726
18,-4826,-9966,8556
20,-2426,-8562,5744
21,-698,-8426,8672
22,2728,-2106,7972
24,2040,4484,3946
25,998,1382,8140
27,-6698,2620,9502
28,-7872,-6960,8676
29,-3670,-10916,5610
31,-324,-14322,8178
32,1402,-1798,3372
33,2982,-980,5584
35,2112,-3360,7318
36,-3734,2366,6612
38,-4598,-5784,9442
39,-4170,-6944,6010
40,-786,-9140,4798
42,1352,-9636,7486
43,3286,-1610,4714
44,1636,2920,4712
46,-2910,-2708,10336
47,-6050,-6382,10062
49,-6252,-4928,6528
50,130,-15012,7508
51,3580,-9592,4196
53,4018,-3438,7560
54,294,1934,6506
55,-1734,6232,8322
57,-6600,-3508,12638
58,-6188,-5268,9388
60,-3642,-10862,7330
61,-1086,-9322,8914
62,-64,-7556,5632
64,816,420,5754
65,668,792,7030
66,-1986,-902,7540
68,-5494,-10776,11136
69,-3090,-15928,2082
71,-1336,-9736,5194
72,4170,-11300,9652
73,3760,6432,2746
75,20,3990,6036
76,-3386,1134,11670
77,-4878,-5044,8302
79,-4402,-8096,5436
80,-2194,-12236,7972
82,712,-7610,6056
83,1074,-1764,6378
84,-350,-300,6202
86,-2430,1784,6854
87,-5778,-6642,11078
88,-3928,-10478,8012
90,-1296,-12602,6516
91,1684,-4902,5672
93,3026,-3890,7312
94,2350,-250,7032
95,-3832,3466,6802
97,-5488,374,11856
98,-6430,-12214,9474
99,-1342,-11742,4084
101,872,-9684,7596
102,3150,-8832,8388
104,2824,-1652,3834
105,-42,1060,6180
106,-2976,-1530,10356
108,-5390,-3250,7500
109,-2768,-10012,7016
110,-1344,-8372,6702
112,636,-6346,8336
113,948,2512,6424
115,-216,5378,8202
116,-6216,-406,9254
117,-8620,-2544,11406
119,-6592,-12418,5592
120,-330,-13154,5940
121,2126,-14110,5648
123,3038,1408,3090
124,2638,488,7708
126,-3640,2492,7554
127,-4840,-2572,8836
128,-3852,-8908,6928
130,-576,-8418,5294
131,926,-10012,8828
132,846,-498,4488
134,2550,936,5626
135,-1604,2306,8200
137,-6192,-7176,11972
138,-7086,-9278,5376
139,106,-14458,7744
141,2266,-12190,6788
142,3254,-874,6022
144,-40,-1844,9580
145,-2090,4362,6040
146,-5910,-2458,9864
148,-6652,-6436,8476
149,-2368,-11176,4646
151,-472,-9412,6592
152,2,-6484,6688
153,1226,-78,4770
155,80,1466,7562
156,-624,-1052,6700
157,-6064,-5884,9126
159,-3186,-13074,5348
160,1884,-6988,1940
162,4322,-8108,8660
163,2580,5014,4766
164,-26,7450,5454
166,-3242,554,11502
167,-5596,-5510,9552
169,-5646,-9338,6264
170,-48,-10210,6990
171,216,-9942,7572
173,1088,-192,7112
174,-158,-796,6794
175,-1812,544,8390
177,-6426,-6434,10784
178,-5912,-9988,9292
180,-2112,-12204,6902
181,1624,-6936,7580
182,2446,-1266,6056
184,882,1654,7934
185,-2602,4410,7116
186,-5308,-5614,8946
188,-5674,-8648,10340
189,-1032,-12746,3494
191,1804,-7240,3914
192,3474,-6444,7738
193,2602,1542,4104
195,-608,5800,4282
196,-3500,-756,12996
197,-5484,-4678,9022
199,-3774,-7414,4854
200,-1468,-8166,10254
202,1186,-7072,8028
203,1464,-1362,5172
204,-2050,2010,7380
206,-4908,-2412,11118
207,-7352,-7386,8482
208,-3632,-14916,7616
210,-262,-13868,5848
211,4164,-10546,6636
213,3384,-2156,5428
214,1790,3202,5684
215,-2282,-1480,9966
217,-4500,-1194,7712
218,-2720,-10846,7170
219,-1226,-9656,7666
221,270,-7466,6536
222,1466,-1854,7218
224,2094,1642,6490
225,-4830,3036,5296
226,-6620,-1382,9682
228,-6726,-12030,6386
229,-1660,-8726,3656
230,1434,-13850,7110
232,3566,2396,2220
233,2500,1720,6058
235,-1410,3638,9420
236,-4454,432,7884
237,-6092,-5146,10208
239,-2230,-11632,7018
240,-254,-10154,5172
241,808,-5618,7398
243,2012,-3074,5276
244,798,2204,6876
246,-3654,-2500,8852
247,-5184,-3616,7264
248,-4430,-16874,8026
250,636,-8708,5698
251,3314,-4332,7370
252,2518,-546,8498
254,-380,8030,5914
255,-3774,-178,8994
257,-7428,-2774,11906
258,-5820,-10270,4952
259,-1282,-9968,5194
261,130,-10224,7708
262,952,-1188,4884
264,754,2282,4552
265,-1128,-2316,8494
266,-5432,-2674,9054
268,-5334,-9346,6304
269,710,-10304,6424
270,2578,-9214,7662
272,1816,1586,4310
273,2434,1790,6518
275,-1922,3190,8424
