timestamp,accX,accY,accZ
0,-3794,-7058,8478
2,-3386,-9502,7258
3,-1420,-9470,7232
5,1758,-7592,6492
6,2342,-3698,6324
7,-1376,1852,7924
9,-2772,302,7742
10,-4288,-2462,8452
11,-3046,-9232,7458
13,-1134,-10762,6512
14,1634,-6856,6828
15,2480,-2766,5662
17,700,1980,7566
18,-4078,1664,9310
20,-6476,708,10446
21,-6714,-9752,8494
22,-3620,-13094,7882
24,-82,-11520,7086
25,2386,-5908,4738
26,2800,-1658,5230
28,1006,2238,7800
29,-4312,228,8502
31,-4882,-3974,8716
32,-2418,-10198,6686
33,-168,-9936,6662
35,1228,-5084,6014
36,2110,-1746,5764
38,726,970,6952
39,-3500,-584,7832
40,-3878,-4844,8628
42,-3882,-9960,6792
43,184,-9868,5732
44,1876,-8078,6720
46,872,-60,6286
47,-1536,2670,6852
49,-3138,-420,11080
50,-7186,-3304,9798
51,-6122,-7878,7754
53,-766,-12610,7140
54,1620,-10382,7044
55,2434,-2626,4704
57,1918,498,5588
58,-878,2538,8632
60,-4984,-2944,9228
61,-5338,-6494,9368
62,-2946,-9648,6822
64,446,-10892,7760
65,2552,-7654,5206
66,1726,-32,5534
68,300,1120,6898
69,-2902,-1600,8180
70,-4092,-5996,9372
72,-3014,-8736,5496
73,178,-8198,6838
75,1348,-6312,8168
76,922,1094,6534
77,-2452,1944,7352
79,-5432,1046,10976
80,-6220,-6838,9068
81,-3924,-10400,6934
83,-1430,-10526,7168
84,2664,-8400,6568
86,3052,-4610,5314
87,158,3178,5522
88,-2694,2548,8598
90,-5026,-4930,9002
91,-4338,-8490,7522
93,-1676,-11412,7234
94,1606,-8994,6240
95,3106,-5144,5380
97,2506,856,5264
98,-1818,2052,6468
99,-3972,-398,10388
101,-4494,-7886,8596
102,-2154,-8884,5892
103,-884,-7766,8336
105,492,-3738,7274
106,-180,-618,7286
108,-3194,696,8036
109,-5258,-1054,9284
110,-5746,-9688,8394
112,-1706,-12828,6986
113,784,-10108,6442
115,3192,-5236,5746
116,1902,-906,5390
117,774,2256,8038
119,-4482,-226,9712
120,-5658,-3552,7698
121,-2502,-11978,7738
123,-440,-11908,7694
124,2050,-5602,4402
125,3004,-1896,5766
127,1694,196,6640
128,-3284,906,7940
130,-5080,-1550,10006
131,-5528,-8940,6640
132,-2374,-9616,7872
134,-490,-8944,6816
135,352,-1790,5600
136,-26,-1200,6574
138,-2300,-418,8320
139,-4960,-3282,8470
141,-4760,-8312,7100
142,-668,-9778,5960
143,1802,-9364,6494
145,2728,-2220,4944
146,772,1806,5464
147,-2244,2234,10106
149,-4778,-3352,9122
150,-5264,-5792,7522
152,-2664,-12316,6994
153,1430,-11560,7612
154,3776,-7246,4494
156,2452,598,4526
157,-478,3170,6648
159,-3158,106,10434
160,-5884,-3896,8934
161,-4654,-8124,8224
163,-1698,-10520,9434
164,726,-7322,7372
165,910,-1970,5242
167,-570,890,7058
168,-2686,132,9138
170,-5166,-5796,8532
171,-2922,-9306,6904
172,-1672,-10130,6864
174,1820,-7078,6660
175,1814,-3494,5586
176,-818,2072,6646
178,-3074,2430,7702
179,-4814,-6470,9420
181,-2556,-8604,5452
182,-846,-10618,7552
183,2838,-8250,7270
185,3704,-3606,4716
186,2412,3734,5684
187,-2728,2428,9528
189,-5798,-102,8940
190,-5318,-7970,7154
192,-3710,-11386,7916
193,-2366,-8798,8196
194,836,-5790,6224
196,2342,-2974,5702
197,-1860,1718,7442
199,-4326,-928,8408
200,-5062,-8638,7916
201,-2304,-10336,6866
203,-1602,-7990,6738
204,1980,-5456,6760
205,1902,-2354,6026
207,474,1878,7412
208,-3132,-1598,7884
210,-4250,-4896,7178
211,-1912,-10480,6116
212,342,-11016,6440
214,2914,-4900,5830
215,1854,-700,5204
216,358,2800,8862
218,-4996,1500,9232
219,-6574,-480,9254
220,-6774,-11948,9180
222,-2398,-11830,7336
223,550,-9390,7630
225,2288,-4408,5680
226,1478,756,4812
227,-78,702,9134
229,-5018,-2152,9516
230,-4838,-6050,7714
231,-2050,-10468,7034
233,944,-9754,7150
234,1410,-3870,5932
236,1426,-308,6182
237,-240,980,6782
238,-3754,-2710,8086
240,-3446,-6104,8538
241,-2474,-10182,5992
243,1654,-10012,6488
244,2190,-6460,5844
245,142,2488,6044
247,-2142,3024,8352
248,-4456,-234,9892
249,-6792,-5190,8548
251,-5378,-10048,7720
252,358,-11746,6202
254,1576,-8628,7358
255,2572,-622,5268
256,756,2402,5690
258,-2238,2642,10052
259,-5770,-5754,9616
260,-4564,-8014,7738
262,-2608,-11668,7314
263,862,-9406,8038
265,2506,-6084,5524
266,1520,464,6474
267,-772,1368,6434
269,-3494,-3996,9020
270,-3354,-8538,9506
271,-1366,-9542,5188
273,940,-8046,7688
274,1244,-3942,7712
