timestamp,accX,accY,accZ
0,-2266,-10138,6462
2,426,-9078,7118
3,2706,-6158,6224
4,2672,-630,5868
6,-1426,3184,9494
7,-5052,1296,9538
9,-6806,-6096,9344
10,-5804,-11144,9688
11,-2416,-13008,6550
13,1248,-7724,7916
14,2834,-4240,5752
15,1654,1862,5858
17,-3186,500,8808
18,-4246,-30,8226
20,-4058,-9636,8060
21,-2778,-10876,6522
22,664,-8308,7602
24,2148,-5072,5934
25,1684,-140,5346
26,-1244,810,7816
28,-3426,-2610,9152
29,-4504,-8104,6644
31,-926,-10538,6864
32,884,-10246,6288
33,2086,-3236,6482
35,400,158,7552
36,-1172,3646,8262
37,-6682,-1218,11140
39,-7062,-5540,7962
40,-2546,-11832,6414
42,-676,-12224,7452
43,1486,-4786,5470
44,2872,-718,4766
46,1310,2868,6618
47,-3882,1648,9656
49,-5584,-4008,7304
50,-2652,-9920,5582
51,-914,-11778,7270
53,864,-10282,5144
54,2284,-2032,4600
55,2266,-152,5314
57,-3036,818,7848
58,-4706,-2366,8706
60,-4162,-9218,6710
61,-702,-9502,6052
62,404,-8702,6902
64,1248,-892,7350
65,-316,1042,7062
66,-3034,2650,8956
68,-5908,-3230,10562
69,-5878,-7638,6476
71,-974,-12208,5530
72,1386,-11044,7012
73,2946,-1862,4802
75,1268,1178,4674
76,-706,3074,9578
78,-5354,-1352,9470
79,-5858,-6260,8338
80,-3988,-12020,6164
82,450,-10836,7294
83,2500,-8936,5576
84,2978,-166,3792
86,758,3572,5322
87,-1654,-1516,9674
89,-5042,-4174,8278
90,-3504,-7202,7572
91,22,-10376,7226
93,976,-6264,6178
94,178,-672,7986
95,-992,1336,6474
97,-3542,1544,9630
98,-6270,-6482,10852
100,-4528,-9926,7528
101,-1272,-11160,6360
102,2558,-8422,7392
104,2068,-3154,4886
105,-696,2280,5918
106,-2700,2576,8772
108,-4926,-4386,9600
109,-4606,-8816,6918
111,-1574,-12052,7108
112,2548,-9094,6234
113,3178,-4878,5080
115,2062,1490,5470
116,-1066,3154,6338
118,-3132,-3268,11116
119,-4372,-6496,8004
120,-2728,-8198,7670
122,-1660,-9580,9414
123,962,-4850,7000
124,710,530,6420
126,-2340,-596,8224
127,-4810,-1004,9522
129,-4860,-8706,9372
130,-2790,-10772,6514
131,-568,-9252,7420
133,1608,-6206,8182
134,2224,-1820,4734
135,-1960,1164,7040
137,-4448,-246,11162
138,-5580,-7462,7164
140,-1862,-11402,6260
141,-388,-11600,6298
142,3230,-6682,5740
144,3772,-3086,4340
145,1978,4068,6314
147,-3616,1238,9404
148,-5852,-1456,7686
149,-3980,-7802,6686
151,-3208,-11514,8726
152,328,-6984,7684
154,1852,-3502,5198
155,894,200,6760
156,-4178,-284,9074
158,-5282,-5692,8160
159,-3370,-9200,6904
161,-1680,-10332,7350
162,1264,-7066,8178
163,1864,-3830,6022
165,1486,2540,5882
166,-2462,1396,8746
168,-4684,-6932,7340
169,-2280,-8902,5182
170,-350,-11270,7582
172,2832,-7846,5698
173,3248,-3010,3860
175,2254,2976,7568
176,-2848,2942,8008
177,-6144,568,9954
179,-5452,-8414,8232
180,-3262,-10494,7358
181,-1484,-9852,8776
183,1866,-5430,6122
184,2166,-1180,6264
186,-2318,510,8014
187,-4990,844,9118
188,-5068,-8470,7862
190,-2650,-9962,6352
191,-470,-9052,8920
192,1134,-5714,6298
194,1886,-1180,4398
195,482,416,7706
197,-3340,-960,9154
198,-4218,-5066,7204
199,-1240,-11568,7146
201,1136,-10258,5940
202,2300,-4742,6020
203,2030,-346,5914
205,176,2750,8392
206,-5692,912,9784
208,-6662,-2352,9356
209,-5834,-10922,8266
210,-1530,-12504,7552
212,4,-5458,6200
213,2612,-2276,5296
215,1118,432,6338
216,-786,1224,9002
217,-4900,-2274,9708
219,-5400,-6036,7138
220,-1956,-10780,7076
221,-62,-9118,8172
223,1688,-3062,4940
224,972,-784,5790
226,-294,98,7764
227,-3912,-3436,8448
228,-3738,-7514,6832
230,128,-10168,6438
231,1454,-9258,6666
233,2366,-1528,6004
234,-166,1396,7532
235,-1222,2102,9110
237,-6066,-1938,10090
238,-5788,-5874,9096
239,-4536,-12246,6590
241,-64,-11340,8176
242,2102,-8218,4752
244,1626,406,4844
245,-322,1604,6858
246,-3620,-380,9990
248,-5752,-5086,9390
249,-5442,-11092,6360
251,-646,-11636,8490
252,1300,-9534,4830
253,1890,-530,3806
255,1648,1158,5486
256,-1682,-650,8146
257,-3788,-3584,7216
259,-3360,-8204,6940
260,568,-8678,5330
262,1058,-6848,7030
263,1818,202,6794
264,-766,2376,5518
266,-2986,3042,11148
267,-6254,-5596,10078
268,-4802,-8042,7174
270,-2164,-12488,7660
271,1214,-9980,8084
273,2316,-4654,4674
274,158,2542,5302
275,-2466,3142,8248
