timestamp,accX,accY,accZ
0,1824,-10120,6764
2,3372,-6996,6294
3,3468,804,4380
4,-398,4710,6314
6,-3344,2512,11138
7,-6204,-4038,8362
8,-4738,-8144,7054
10,-3932,-11310,8918
11,338,-8526,7176
13,1292,-4916,5530
14,1626,906,6396
15,-2584,142,7810
17,-4756,-1844,8844
18,-3674,-9338,7910
19,-1538,-9972,6330
21,-298,-7386,6534
22,1580,-3802,6966
24,1596,-1730,6240
25,-2516,1396,7188
26,-3782,-1850,9562
28,-4672,-8690,5988
29,-1078,-10990,6314
30,1252,-11388,5786
32,3056,-3034,4698
33,1948,-42,5100
35,-32,2614,8744
36,-4962,1358,9132
37,-6912,-3514,8604
39,-4280,-11090,8790
40,-1970,-11704,8650
41,448,-5920,5638
43,2268,-1954,4986
44,682,552,7642
46,-3932,-200,7908
47,-4674,-1666,7788
48,-4488,-10648,7920
50,-1184,-9890,6560
51,1350,-8556,6346
52,2164,-1816,5064
54,780,-118,6332
55,-1502,-812,7822
57,-3726,-3412,7780
58,-3560,-7274,6640
59,-542,-9762,6986
61,2574,-8564,6504
62,2666,-1648,4972
63,-314,3252,6694
65,-2886,2012,10142
66,-6424,-2212,8990
68,-6100,-7178,8012
69,-4872,-12242,8294
70,710,-10982,6478
72,2116,-7666,5008
73,1364,1478,5252
74,-358,2078,6230
76,-3222,-1080,9720
77,-4502,-4922,7876
79,-3850,-8110,7504
80,504,-10168,7212
81,1762,-7152,6702
83,2752,-1096,5924
84,458,554,5742
85,-1880,810,8948
87,-3962,-6042,8258
88,-2822,-8074,6836
90,-1414,-8774,7472
91,1296,-6838,7272
92,1616,-2238,6806
94,-2186,1914,8286
95,-4328,1690,8430
96,-6762,-6768,10064
98,-4636,-10052,7750
99,-2350,-11062,6752
101,1450,-9476,7902
102,3260,-5166,5622
103,2574,2710,5592
105,-2330,1988,7224
106,-4740,-134,10280
107,-4730,-8454,7454
109,-2654,-10072,5820
110,-320,-9856,8256
112,2738,-5850,4950
113,2674,-1596,5932
114,-892,1220,6656
116,-3376,430,7568
117,-4470,-8770,9420
118,-2246,-9130,6086
120,-272,-7990,8744
121,516,-5192,7854
123,1016,-134,6212
124,-646,1998,8444
125,-5440,-1320,9370
127,-6160,-4808,8696
128,-3030,-11774,7120
129,120,-11196,5234
131,1664,-6224,6908
132,2318,-1358,5234
134,622,2448,6958
135,-5140,256,10328
136,-5728,-2398,9758
138,-5742,-12354,7542
139,-594,-12724,6266
141,1316,-9060,6528
142,3084,-3962,5634
143,2692,362,4558
145,150,2436,7684
146,-4632,-2182,9862
147,-4988,-6142,7098
149,-1696,-9780,7096
150,158,-8928,8064
151,750,-2096,6952
153,-318,-584,7976
154,-1280,750,7544
156,-5296,-2964,8874
157,-5506,-7212,9982
158,-3690,-10650,5216
160,840,-9898,6516
161,2084,-8046,5698
162,642,992,6066
164,-1264,2206,7240
165,-3692,-2094,10140
167,-5826,-6070,8690
168,-4050,-10024,6280
169,1068,-11868,6848
171,3440,-8844,6364
172,3556,232,4352
173,1002,2578,5794
175,-1668,2950,9756
176,-5508,-3708,9342
178,-4906,-7414,7708
179,-2514,-10788,8818
180,18,-8290,7994
182,1096,-4392,6610
183,554,330,6822
184,-3080,1020,8568
186,-5006,-938,8894
187,-4492,-9450,9432
189,-1846,-11062,6146
190,-304,-8400,6752
191,1828,-4358,7592
193,1484,-912,5502
194,-2640,2246,8182
195,-4436,-722,9734
197,-5290,-8780,6926
198,-1194,-12782,6092
199,580,-12250,5694
201,3962,-5286,5588
202,3276,-1842,5084
204,-1072,5034,7008
205,-4884,492,11114
206,-5638,-5298,6736
208,-4032,-10320,8310
209,-3084,-12104,7682
211,-476,-6692,5742
212,1376,-3280,6358
213,672,1984,6942
215,-4242,-604,8438
216,-5116,-2826,8642
217,-2952,-10230,7046
219,-1776,-11276,6766
220,478,-5446,6508
222,1626,-2414,6240
223,1238,-200,5580
224,-1814,520,8176
226,-4320,-3202,9038
227,-4222,-8080,5694
228,36,-10778,6030
230,2700,-10258,6232
231,3644,-2020,4734
233,1152,1674,5704
234,-1246,3464,9088
235,-5918,220,9244
237,-6850,-5414,9686
238,-5026,-10960,8158
239,-252,-10980,7200
241,1136,-8656,5936
242,2072,224,4618
243,-70,2158,6912
245,-2908,-196,8810
246,-5388,-4124,8704
248,-4370,-8870,6646
249,-532,-10220,6486
250,1600,-8032,7522
252,1548,-1854,5406
253,130,406,6368
255,-2190,-90,8656
256,-4140,-5116,7974
257,-3126,-8886,7124
259,-1112,-10290,6516
260,2816,-7480,6534
261,2526,-3830,5392
263,-846,2938,7504
264,-3336,2454,9652
266,-5600,-3250,8990
267,-5078,-8582,8430
268,-3178,-11400,7228
270,1634,-10012,6094
271,2412,-6360,6296
272,2540,2402,5524
274,-1976,2152,6882
