timestamp,accX,accY,accZ
0,-1374,-10288,5118
2,2396,-9906,7218
3,3214,-146,4428
5,1098,3030,4600
6,-1572,2414,9854
7,-4366,-3100,10322
9,-4860,-7306,7200
10,-2468,-11408,7420
11,1412,-9498,7778
13,2420,-6394,5904
14,2616,972,5204
15,-872,2330,7042
17,-3384,1738,9568
18,-5704,-7486,9570
20,-2836,-9112,6844
21,-1626,-9174,8598
22,452,-5878,7784
24,-294,-2070,6682
25,-1956,1056,8132
26,-4784,-468,8904
28,-5452,-8144,9066
29,-2666,-12440,7368
31,304,-11652,5714
32,3240,-6094,6202
33,2806,-2044,6184
35,1624,3590,6698
36,-3150,1648,9938
37,-5304,-1128,7440
39,-3130,-10980,6822
40,-1728,-12856,7544
42,1620,-6506,5166
43,2966,-3678,5080
44,2566,-210,6388
46,-2996,3184,8402
47,-5418,-1724,10876
48,-5956,-7612,6400
50,-3452,-11048,9158
51,-1454,-12020,6354
53,516,-3062,6008
54,196,-1448,7218
55,-812,408,6874
57,-4306,-1554,7858
58,-5176,-6142,7878
59,-1168,-10876,5520
61,1180,-10438,5674
62,3140,-3180,5802
64,2058,494,5488
65,-898,2610,8888
66,-4370,-1086,9640
68,-5150,-4684,8420
69,-4020,-11908,6690
70,892,-11618,7576
72,2594,-8816,4800
73,2662,-376,4664
75,90,3340,6332
76,-2308,278,10102
77,-6356,-2278,9708
79,-5830,-6650,8158
80,-2464,-11830,9082
81,128,-9174,7646
83,1134,-2562,4958
84,1018,664,6164
86,-1866,316,8232
87,-4690,-3152,8846
88,-3634,-8256,7906
90,-2242,-10594,5510
91,1480,-8158,7048
92,2254,-5706,5074
94,138,864,5820
95,-2144,1704,8028
97,-4112,-4242,8908
98,-3826,-7022,6464
99,-1998,-10714,7770
101,2112,-9460,6410
102,2906,-5766,5036
103,3370,2414,5856
105,-1820,4370,8186
106,-5098,1014,10558
108,-5974,-5580,8336
109,-4372,-9110,7860
110,-3102,-11086,8092
112,1492,-8288,6254
113,2428,-4236,5212
114,-182,1786,6808
116,-2908,804,7534
117,-4308,-6146,8680
119,-3306,-9512,7836
120,-1476,-10292,6596
121,1538,-6928,7258
123,2112,-4280,5432
124,946,1426,7250
125,-2524,1086,7610
127,-4070,-1884,7896
128,-2528,-9432,6900
130,-1032,-10120,6526
131,1582,-7034,6362
132,2102,-3048,4732
134,580,1908,9074
135,-4354,1838,9252
136,-6260,426,8828
138,-6858,-10430,9828
139,-3304,-12054,7806
141,-206,-12038,6538
142,1248,-5832,5822
143,2420,-1350,4804
145,912,890,7224
146,-4314,546,8406
147,-4804,-3896,8962
149,-4642,-10404,6972
150,128,-10416,5936
152,1708,-5812,6200
153,2016,-1570,5370
154,920,486,7112
156,-2978,-122,8194
157,-4122,-4398,7938
158,-3664,-9734,7246
160,236,-9432,6256
161,1422,-6884,5586
163,880,86,6708
164,-1216,2036,7440
165,-3290,-310,10008
167,-6574,-4202,9260
168,-5768,-8412,7906
169,-808,-12010,6656
171,1276,-10168,6782
172,2726,-2474,4992
174,952,1086,5322
175,-1094,2038,8570
176,-5120,-2790,10324
178,-5502,-6564,8620
179,-3398,-11184,6788
181,1016,-9818,8260
182,2740,-6480,4962
183,1900,-1136,6206
185,454,996,6014
186,-2580,1042,8214
187,-4244,-6704,9416
189,-3026,-8320,5560
190,92,-8220,7806
191,810,-6892,7784
193,982,1322,7324
194,-2658,604,8538
196,-4880,52,9624
197,-6038,-7278,9762
198,-3952,-10362,7988
200,-1056,-10208,6024
201,2666,-7632,7060
202,2956,-3856,5108
204,1546,2296,5756
205,-3280,1702,8878
207,-4744,-578,8912
208,-4244,-10038,7644
209,-1550,-11264,6310
211,480,-8604,7148
212,3002,-5318,5190
213,2506,-1388,5456
215,-966,2338,7068
216,-4172,-736,9028
218,-4496,-7048,8268
219,-2586,-9778,7460
220,-604,-6624,7092
222,192,-3732,7186
223,-146,-1210,6910
225,-3158,1454,7240
226,-5346,-1432,9420
227,-5660,-9024,8336
229,-1426,-11458,6010
230,428,-10970,6732
231,3222,-3616,5752
233,1754,-524,5686
234,388,2736,7496
236,-4158,-690,10216
237,-5948,-4374,6824
238,-2446,-12524,6884
240,-94,-12766,7594
241,3170,-5424,4888
243,3070,-1588,5046
244,1714,2996,6826
245,-3782,240,9180
247,-5408,-2494,7936
248,-3460,-8802,6600
250,-2456,-10726,8748
251,-748,-5234,6302
252,614,-1538,6250
254,68,-346,7870
255,-1824,-1462,7906
256,-4704,-3396,8808
258,-4674,-7862,6900
259,-934,-10150,5496
260,1504,-9124,7268
262,2682,-1398,5510
263,944,1398,4840
265,-2386,194,9804
266,-5292,-3432,9990
267,-4728,-7424,5964
269,-746,-11560,6284
270,2152,-10104,7614
271,3550,-2746,4542
273,2086,1738,4152
274,-364,4446,9902
