timestamp,accX,accY,accZ
0,-4100,-10210,6380
2,-542,-9506,6434
3,766,-8490,5938
4,1016,-1616,6060
6,548,534,6124
7,-1762,-1184,8626
9,-4412,-5132,8826
10,-3134,-7596,5726
11,672,-11074,6586
13,2326,-8930,6936
14,3264,104,4964
15,452,2444,6764
17,-2810,2104,10118
18,-6400,-1730,8952
20,-6440,-7288,8634
21,-4178,-11464,8036
22,182,-9502,7114
24,2330,-7072,5332
25,1464,54,5370
26,-314,1662,6896
28,-4092,-2986,8484
29,-4502,-6244,8144
31,-4186,-10138,6740
32,160,-8392,7658
33,1828,-6938,5804
35,2020,-800,6494
36,-628,592,6246
37,-2346,-236,8378
39,-3878,-6388,8710
40,-2182,-9044,6452
41,-708,-8980,7064
43,2996,-5632,6698
44,1656,-554,6200
46,150,2060,8272
47,-4934,508,9784
48,-5840,-644,8940
50,-4936,-11066,7762
51,-1950,-11812,7580
52,-68,-8450,6662
54,3112,-4572,5056
55,1974,0,6344
57,-2976,1574,8496
58,-5018,-1620,8906
59,-4204,-8082,7596
61,-2790,-9774,7226
62,-238,-8528,6960
63,2108,-5114,5686
65,2210,-1310,5868
66,1630,362,6542
68,-2730,-1510,7988
69,-4308,-4330,8398
70,-926,-9836,5232
72,86,-8154,5756
73,1324,-3556,7338
74,512,172,5996
76,-1414,2082,8914
77,-5950,-1614,10524
79,-6820,-4470,7834
80,-2696,-12120,6208
81,-368,-11028,7478
83,1804,-5640,6284
84,2646,-1194,4318
85,1006,2792,5606
87,-2578,450,9988
88,-6262,-3440,10108
90,-4800,-8206,7058
91,-1088,-11600,7298
92,1126,-9830,6850
94,2822,-2820,5278
95,2852,976,5038
96,116,1904,7074
98,-4016,-2818,9754
99,-3880,-6772,9270
101,-2670,-8908,5858
102,478,-8842,8126
103,264,-1504,7176
105,-496,638,7126
106,-3176,1788,7596
107,-4544,-3428,9896
109,-5920,-8536,9312
110,-2464,-12014,5834
112,1872,-9876,6458
113,2342,-7008,7434
114,2142,2368,5356
116,-1404,3056,7418
117,-4210,762,9666
118,-5586,-7028,8232
120,-3894,-10730,7238
121,-1230,-11164,6168
123,2662,-7592,5812
124,3618,138,4832
125,410,1842,5900
127,-1194,1676,9398
128,-4530,-4820,9444
129,-4002,-8730,8188
131,-2492,-10434,6994
132,778,-5858,7992
134,-72,-2972,7214
135,262,698,7392
136,-3296,1124,7654
138,-4458,-1414,9720
139,-4222,-10434,8258
140,-1520,-10618,5992
142,1180,-7492,6922
143,2112,-3340,6202
145,1076,552,7010
146,-2448,1200,8510
147,-5294,-1754,9236
149,-5792,-9464,7310
150,-1688,-12388,6914
151,1208,-12598,6038
153,3454,-5106,5540
154,3580,-732,4834
156,886,2890,6778
157,-4108,72,10294
158,-5848,-2632,6818
160,-3486,-9228,6956
161,-1960,-12212,8834
162,-134,-4626,6266
164,1008,-2248,5216
165,244,194,7194
167,-4596,0,9030
168,-5298,-4164,8952
169,-3956,-10250,6450
171,-666,-10538,6540
172,1096,-8874,6022
173,2568,-1150,5230
175,-180,1208,6688
176,-2870,-56,9382
178,-5420,-4240,9000
179,-3722,-8184,6628
180,-290,-12770,6132
182,2476,-10116,6158
183,4228,-1682,4610
184,1522,2752,5312
186,-740,3958,9728
187,-5396,-152,10168
189,-5180,-5280,7714
190,-4636,-12358,8310
191,-302,-10200,8172
193,634,-6848,5206
194,920,238,6122
196,-758,2574,8204
197,-5654,-2374,9780
198,-4858,-6306,8214
200,-3728,-10302,6668
201,254,-9870,7378
202,1284,-7980,5710
204,1650,544,6560
205,-818,1576,6902
207,-3280,-3132,8678
208,-4204,-6028,7720
209,-2810,-9994,6140
211,-144,-9900,5580
212,3366,-7062,5460
213,3974,1308,5870
215,-98,3414,7250
216,-3232,2402,9536
218,-6106,-4608,8662
219,-5522,-9532,8984
220,-3596,-10212,6840
222,1314,-8586,6466
223,1544,-6682,5712
224,320,2478,6052
226,-2750,1936,7632
227,-4336,4,9654
229,-5198,-8412,8700
230,-2786,-10556,6562
231,-838,-8460,7178
233,1832,-6036,6338
234,1376,-1982,6266
235,-832,984,6284
237,-3508,-728,7456
238,-3906,-8130,8768
240,-1530,-10652,5560
241,1554,-8196,7236
242,2864,-5090,6486
244,1592,744,5754
245,-2778,1752,8798
247,-5160,170,10672
248,-7158,-7598,8398
249,-3540,-11872,7706
251,-1186,-11930,6884
252,2352,-6934,5282
254,2254,-2482,5354
255,1498,2512,7340
256,-4864,2200,8672
258,-5500,-2276,9988
259,-3986,-9402,6854
260,-1534,-9788,7812
262,-124,-8356,6490
263,2924,-3484,4980
265,1658,542,6238
266,-2198,8,6910
267,-3298,-1934,9130
269,-2468,-9398,7890
270,-430,-10012,4358
271,826,-6744,7768
273,1008,-2332,6620
274,304,1282,6810
