timestamp,accX,accY,accZ
0,-2010,2404,7132
2,-4918,1012,8782
3,-5858,-7192,8824
4,-3822,-10044,7272
6,-1970,-10570,7304
7,1640,-6494,7254
9,1680,-3338,5912
10,674,106,6188
11,-3152,-994,8032
13,-3646,-3662,7406
14,-2220,-10714,6576
15,748,-10594,7060
17,2032,-5446,6436
18,2430,-266,5176
20,-320,2410,8842
21,-4458,0,10176
22,-6216,-2074,8090
24,-5276,-11622,9412
25,-1662,-12110,7644
26,878,-9140,5758
28,2638,-2242,6276
29,1188,1992,5494
31,-1148,1198,8872
32,-5632,-2220,10548
33,-6076,-8724,7422
35,-2370,-12292,7642
36,-292,-10618,6148
38,2428,-4334,6008
39,1494,-1492,5982
40,998,930,6368
42,-3364,-1450,8278
43,-3896,-7040,7034
44,-3068,-8980,4558
46,1088,-8216,7322
47,1714,-2420,5464
48,722,1612,5732
50,-1698,1798,9792
51,-5590,-2108,9324
53,-5450,-5000,7628
54,-4456,-12286,7280
56,354,-10398,6524
57,1900,-3732,5646
58,1364,570,6456
60,-440,2130,8158
61,-6248,-796,10494
63,-6350,-4600,10322
64,-5396,-12150,6482
65,-1154,-12102,7596
67,1186,-6146,5830
68,2970,-2158,4354
70,1916,1332,6448
71,-3160,382,8124
72,-3930,-3952,8784
74,-4220,-9202,5896
75,-472,-8840,6478
76,1698,-8512,6420
78,1538,-1106,6678
79,180,978,6760
81,-2190,-906,8638
82,-5258,-4388,9166
83,-4856,-7656,6854
85,-736,-10854,6560
86,1682,-8884,6964
87,2136,-458,6302
89,-282,1574,7236
90,-3046,2856,9486
92,-5320,-3460,10740
93,-6128,-7840,8640
94,-3550,-12830,6610
96,1366,-11114,7342
97,3072,-7254,4598
99,3310,474,4178
100,-234,2686,7726
101,-4026,-1500,8868
103,-5096,-6630,9532
104,-3118,-9254,6322
106,598,-10444,7954
107,1616,-6710,5658
108,716,116,6432
110,-902,1610,7424
111,-3258,-2442,8616
113,-5026,-6070,9380
114,-3794,-10538,6028
115,468,-9814,6884
117,2008,-7582,7002
118,338,2026,5276
119,-2248,1990,8244
121,-4656,-1580,9666
122,-6452,-5844,9468
124,-3952,-12484,6332
125,1342,-11598,6158
127,3352,-8184,5070
128,3200,102,4286
129,1196,3792,4860
131,-1456,-786,10070
132,-5250,-3744,8762
133,-3734,-7858,6688
135,-756,-11148,8348
136,700,-8690,7508
138,1388,-2396,5766
139,434,2476,6168
140,-2672,2452,9342
142,-5774,-4576,10540
143,-4168,-7798,8182
144,-2584,-9228,7084
146,422,-8956,8324
147,898,-560,4888
149,-286,1528,6590
150,-3178,850,9872
152,-5476,-4764,9652
153,-4206,-9542,7408
154,-1168,-11908,5814
156,2740,-8956,6154
157,3522,-5936,4226
159,1592,3040,4724
160,-610,3076,10020
161,-5902,-1970,9538
163,-4920,-7024,7520
164,-3222,-11420,8062
166,794,-9870,7126
167,1196,-3862,5658
168,1638,884,6104
170,-1024,2810,7500
171,-4248,-1202,10084
173,-5260,-6098,9854
174,-3702,-8948,6004
175,-248,-9536,7894
177,478,-7420,8436
178,942,226,5412
179,-1370,912,7204
181,-3220,-490,9406
182,-4666,-7468,7778
183,-2644,-11286,6788
185,-306,-9472,5748
186,3516,-6402,6198
188,3002,-3312,5412
189,-582,3266,7278
190,-3526,2232,9778
192,-5308,-5212,7504
193,-4168,-9782,8028
194,-2042,-12238,7002
196,1582,-7394,5676
197,3076,-4480,4764
199,2028,2674,6692
200,-2588,2264,7634
201,-5400,416,9782
203,-5208,-8348,8138
204,-3728,-10788,7326
205,-988,-8196,8058
207,1596,-5108,6126
208,1016,-330,6970
210,-1542,-176,7244
211,-4114,-928,7940
213,-3812,-9418,7756
214,-1334,-10758,5892
215,992,-8214,6596
217,2784,-3578,5344
218,1948,360,7348
219,-2392,1354,8676
221,-5020,258,9530
222,-5586,-8572,7382
224,-2314,-11476,7810
225,-234,-11890,6680
226,2854,-5374,4604
228,2942,-732,5510
229,528,2780,8038
230,-5310,644,9796
232,-6624,-3136,8422
233,-4308,-9384,7520
235,-2478,-11672,8082
236,1978,-7078,6162
237,2230,-3546,4696
239,1208,380,6942
240,-3598,266,7862
242,-3602,-2594,8348
243,-2300,-9418,7468
244,156,-9054,5038
246,1264,-5972,6780
247,2046,-1782,5446
248,242,988,7716
250,-3834,-374,9852
251,-5130,-3326,8706
253,-4274,-9992,7804
254,-834,-12238,7888
255,1524,-9520,5112
257,2638,-2236,5250
258,384,1282,6988
260,-2130,1910,9712
261,-6518,-1236,10346
262,-6604,-9934,8516
264,-2754,-12792,7454
265,-646,-10966,6602
267,2862,-5308,5398
268,1982,-2026,4826
269,1068,1458,7038
271,-3422,-1080,8250
272,-3954,-5634,8090
273,-1450,-9436,6040
275,710,-9006,6974
276,1712,-3748,5628
