timestamp,accX,accY,accZ
0,-1970,346,8576
2,-4558,392,8834
3,-5404,-7524,9466
4,-2960,-11664,7826
6,-486,-10344,5652
7,3336,-8036,6748
9,3046,-3498,5272
10,2074,3274,6744
11,-3186,982,9412
13,-4636,-1298,8046
14,-3974,-9354,7712
15,-2132,-12230,7966
17,438,-7712,5606
18,2554,-4886,5854
20,2376,-1254,5800
21,-2256,2156,7308
22,-4564,-924,9768
24,-5848,-7538,7364
25,-2978,-10582,6696
26,-1324,-9822,8418
28,432,-4256,7148
29,510,-2054,5122
31,-126,1110,8418
32,-4488,-1580,8900
33,-5252,-5488,7628
35,-1328,-10856,6274
36,942,-10410,5926
37,2690,-4640,6022
39,2008,-640,5446
40,452,2430,7946
42,-4428,-1250,9678
43,-6116,-4170,9218
44,-4610,-11364,6788
46,-240,-12096,7552
47,1918,-9378,5486
48,3012,-1562,5308
50,1198,1606,5490
51,-1712,1108,9290
53,-6170,-1996,11368
54,-5720,-6360,6722
55,-2796,-11200,8990
57,-794,-9268,9012
58,1354,-2940,4964
59,554,-890,6706
61,-1240,316,7374
62,-4836,-3344,8246
64,-4120,-9030,8698
65,-2582,-9742,5752
66,1496,-9134,6656
68,2346,-5778,5386
69,822,1022,6178
70,-2070,1628,7722
72,-3620,-3054,9106
73,-4264,-7132,7796
75,-2498,-9674,6716
76,1864,-10354,7040
77,3332,-5898,6094
79,3262,2134,4718
80,-1034,3290,7146
81,-4122,658,10586
83,-6190,-4776,8176
84,-5114,-9350,7438
86,-3638,-10416,8452
87,390,-7768,7956
88,1748,-5466,4744
90,144,1668,6386
91,-2852,-120,8298
92,-4782,-5776,7344
94,-2922,-8680,7646
95,-1552,-10262,6018
97,1588,-6508,6772
98,2106,-4224,6672
99,1626,1680,6484
101,-2170,866,7384
102,-4168,-2074,8612
103,-2698,-8584,6444
105,-1220,-10638,6148
106,1518,-6572,6758
108,2966,-3026,5190
109,1124,428,7410
110,-3562,2410,9256
112,-6214,806,10576
113,-7238,-9564,7932
115,-4138,-11720,8656
116,-1318,-11774,7636
117,2148,-6212,5670
119,2526,-2442,4164
120,1352,1266,7262
121,-3852,428,8206
123,-4500,-3526,8674
124,-2816,-10200,7562
126,-266,-10036,5720
127,1140,-5638,6618
128,2074,-1908,5706
130,638,790,7026
131,-2784,-874,8296
132,-4484,-4176,8336
134,-3710,-9962,6570
135,180,-11622,6290
137,1664,-8258,6182
138,1292,-288,5646
139,-1086,2016,7420
141,-2872,844,9990
142,-6872,-2564,9172
143,-6358,-8016,8438
145,-1692,-12750,7226
146,710,-9628,7114
148,2830,-3302,4632
149,2002,1434,4998
150,62,3036,8042
152,-4416,-2258,8854
153,-4842,-6036,8700
154,-3842,-10896,6730
156,762,-10050,7238
157,2156,-6692,5518
159,1286,338,6342
160,142,994,6164
161,-2310,-1880,8484
163,-4504,-5642,8950
164,-3310,-9176,5766
165,752,-9032,6798
167,1504,-6048,7974
168,1004,1170,6760
170,-2332,1930,7322
171,-4634,1248,11072
172,-6086,-6444,8588
174,-4612,-9562,6748
175,-1868,-11488,7650
176,2528,-8850,6284
178,3602,-3934,4916
179,344,2256,6146
181,-2546,2150,7794
182,-4858,-5004,9914
183,-4318,-7550,6658
185,-2236,-10742,7872
186,1148,-9218,8126
187,3778,-5730,4966
189,2308,1358,5004
190,-1886,1604,7342
192,-3658,62,9546
193,-4294,-8002,8954
194,-2050,-8720,5104
196,-728,-8514,9430
197,1132,-4398,7470
198,536,120,6446
200,-3128,1314,8830
201,-5736,-790,10114
202,-5950,-9216,8672
204,-2466,-12470,6856
205,4,-10626,6228
207,2932,-6600,6566
208,2486,-1772,5082
209,1064,2824,7578
211,-4522,534,10302
212,-5642,-2798,8018
213,-2940,-11936,7138
215,-654,-12532,6236
216,1158,-7018,6476
218,2960,-3234,5496
219,2846,1044,5400
220,-2560,2002,8368
222,-4892,-1680,10744
223,-5294,-8550,6186
225,-1908,-10998,6986
226,-596,-9778,7528
227,454,-2934,6574
229,152,-894,6584
230,-1614,970,8358
231,-5832,-3070,9548
233,-5480,-7848,7010
234,-808,-10946,5402
236,876,-10686,6968
237,2690,-2600,5136
238,1358,1254,5964
240,-888,1330,9056
241,-5286,-2660,9838
243,-5702,-4898,7054
244,-898,-12780,6368
245,1082,-11362,6554
247,3210,-3460,5258
248,2820,36,4766
249,638,2882,7340
251,-2020,252,10350
252,-6148,-3844,10664
254,-4964,-10136,7000
255,-2096,-11062,9598
256,336,-8392,5758
258,446,-1862,5504
259,46,154,7304
260,-2986,-642,7906
262,-5596,-5120,9330
263,-4094,-9934,8786
265,-1262,-9924,5638
266,1642,-8702,7502
267,2282,-4682,4940
269,354,2206,5712
270,-2474,1864,8018
271,-4728,-4650,9146
273,-3656,-8368,6988
274,-1284,-12132,6210
