timestamp,accX,accY,accZ
0,-2568,3198,8348
2,-4500,1754,9470
3,-6060,-6486,9208
5,-4650,-9078,7664
6,-3106,-10372,8500
7,1456,-7700,6122
9,1534,82,5482
10,-276,1154,6906
11,-2938,-910,8284
13,-3906,-5884,7720
14,-2582,-10592,7900
16,-246,-8626,5360
17,2968,-6432,6408
18,2746,-2376,5828
20,-1386,2256,6392
21,-3848,740,9992
23,-5080,-5492,7620
24,-3674,-10156,7208
25,-1446,-12052,7266
27,2948,-7188,5500
28,2186,-2766,6010
30,-866,3396,6822
31,-4218,3182,9154
32,-6250,-4918,9778
34,-5312,-8978,7708
35,-2706,-10710,7870
37,1200,-9656,6376
38,2204,-5384,6018
39,2348,1018,5392
41,-1192,1002,5954
42,-3642,-1620,9630
43,-3922,-8342,8374
45,-1394,-9008,5590
46,152,-7686,6990
48,1676,-3270,5746
49,1088,-1134,6888
50,-3090,1242,8106
52,-3660,-680,8466
53,-5618,-8888,7930
54,-1402,-11026,6562
56,544,-9456,7028
57,2336,-4316,5592
59,1240,-176,5004
60,-292,2480,9924
61,-5686,742,9208
63,-6784,-3112,8690
64,-3742,-11460,8082
65,-1298,-11630,7854
67,1020,-7242,5890
68,3260,-2934,4598
70,2124,950,6988
71,-3394,-158,7640
72,-4254,-1862,9048
74,-2604,-9480,7124
75,-1216,-9990,5900
77,900,-5738,7304
78,1446,-3150,6214
79,774,-110,7042
81,-1110,-326,8466
82,-4496,-3232,9036
83,-4002,-6658,7520
85,-1086,-10296,6936
86,1516,-8238,6046
87,1274,-2126,6504
89,-244,1428,6622
90,-3000,210,10068
92,-6708,-2530,9450
93,-6394,-6738,7574
94,-4044,-12532,8430
96,1186,-11432,5930
97,2750,-4166,5446
98,2840,42,5118
100,96,2184,5848
101,-2226,-980,9662
103,-4820,-5922,9318
104,-4172,-7664,7222
105,238,-10930,7998
107,2174,-7548,6560
108,2586,-722,6068
109,-96,-44,7854
111,-2054,684,7718
112,-4848,-5536,9232
113,-3782,-9476,8540
115,-2246,-8932,6846
116,958,-7568,8658
118,670,-3154,5806
119,-1984,1928,7968
120,-4406,-812,9436
122,-5920,-5556,8868
123,-4782,-10510,8608
125,-2126,-11930,5464
126,2206,-9518,6832
127,3720,-5338,6164
129,3158,3500,4774
130,-882,1246,7110
131,-4656,-604,9708
133,-4320,-7526,7212
134,-2662,-10742,6768
136,-312,-8194,7108
137,1602,-6150,7320
138,2862,-3224,5012
140,-1074,2308,5762
141,-3552,374,8928
142,-5652,-7362,8094
144,-2766,-7898,6490
145,-1028,-9100,8484
147,194,-4984,7506
148,366,-1588,6688
149,-784,900,7156
151,-5090,-830,8744
152,-6256,-4414,8700
153,-2434,-11842,6954
155,594,-11458,4876
156,2118,-6076,6540
158,3208,-2082,5438
159,1080,1622,6492
160,-3676,1188,9208
162,-5370,-1984,9594
163,-5218,-10436,6942
164,-1630,-12020,7538
166,1114,-10062,5892
167,2650,-3544,5190
169,1746,394,6246
170,-488,2394,7178
171,-5056,-1444,10370
173,-5518,-5498,6764
174,-2156,-9860,6760
175,-644,-9812,9062
177,-36,-2822,5720
178,-20,6,6410
180,-828,-306,7498
181,-5256,-2412,8440
182,-4622,-7222,8712
184,-3278,-11494,5276
185,1952,-10304,5318
186,2778,-7426,5620
188,1242,1134,5564
189,-424,2504,6408
191,-3162,-1174,10012
192,-5390,-5156,7800
193,-4456,-9588,6620
195,658,-10850,7120
196,2204,-8064,6578
197,3440,-182,4966
199,360,3702,5772
200,-2026,4068,10454
202,-5838,-4040,9706
203,-5578,-6710,7770
204,-3916,-11646,8810
206,-106,-8384,8310
207,1330,-5906,5668
209,230,856,6192
210,-1788,272,7850
211,-4480,-3778,8210
213,-3692,-8156,7608
214,-1844,-11138,6022
216,1692,-7894,6306
217,3234,-4008,6102
218,82,1280,5896
220,-2342,2580,7628
221,-4338,-4350,9476
222,-3836,-7546,5916
224,-2176,-11298,7808
225,2068,-8924,7134
227,3302,-5352,4278
228,3114,2056,6296
229,-2042,4410,7920
231,-4820,1160,10304
232,-6278,-6376,8454
233,-4176,-9602,7206
235,-2910,-10950,8854
236,1578,-7930,6532
238,2224,-3946,5608
239,-444,1788,6500
240,-4190,-14,8176
242,-4274,-6462,9004
243,-3098,-10012,6904
244,-980,-9366,7258
246,2350,-7196,7336
247,2290,-2666,5494
249,1080,1664,7500
250,-2956,344,8772
251,-4082,-2828,7640
253,-2372,-10476,6380
254,-346,-11316,6354
255,1404,-6956,6252
257,1858,-2802,4846
258,1044,1358,9008
260,-5048,1584,10708
261,-6276,596,9116
262,-7104,-10500,9708
264,-3180,-12668,8612
265,-910,-10824,5974
266,2398,-5688,6336
268,2028,-1500,5474
269,1218,1842,7316
271,-4152,-670,8422
272,-4780,-3400,8192
273,-2038,-10770,5870
275,52,-10352,6452
