timestamp,accX,accY,accZ
0,-3094,-9102,6998
2,-1360,-9630,5882
3,1022,-7684,7636
5,2138,-5168,5748
6,1710,2614,6566
7,-1418,2582,7764
9,-4548,-4834,8578
10,-3940,-9074,7484
12,-2492,-10622,6234
13,1548,-8574,6630
14,2656,-5012,5608
16,2354,2400,6800
17,-2062,3106,7854
19,-5692,-2202,10030
20,-6596,-7064,9226
21,-4554,-12048,6550
23,234,-10148,8072
24,1772,-7432,6956
26,2726,-80,4426
27,534,928,6174
28,-3200,1078,9492
30,-4306,-7522,8508
31,-2916,-9320,6410
32,-864,-8796,7540
34,1432,-7334,7866
35,1826,-2194,5562
36,-398,748,7180
38,-2684,650,8214
39,-4566,-7384,8096
41,-3174,-8788,7414
42,-460,-10906,6952
43,1436,-6566,7266
45,1742,-1698,6268
46,52,2908,7288
47,-4628,1952,10068
49,-7336,-1688,8990
50,-5202,-9980,8070
52,-2292,-13194,6310
53,96,-8914,7462
54,3438,-4518,4890
56,2868,-216,3884
57,1576,1652,7792
58,-3810,-102,9886
60,-4892,-3918,6836
61,-2052,-10626,6104
63,52,-11264,7438
64,1098,-4804,6110
65,1882,-1780,5804
67,884,810,7072
68,-3986,-404,9734
69,-5162,-4858,9348
71,-4020,-9660,6096
72,-446,-10796,7252
74,1054,-3378,6280
75,576,78,7280
76,-1104,1090,7318
78,-5884,376,10412
79,-6910,-4150,10776
81,-5366,-12294,4752
82,-544,-12274,6042
83,1922,-11410,5964
85,3580,-1114,3578
86,1700,1930,4274
87,-384,896,10398
89,-5646,-3076,10282
90,-4978,-6686,6376
92,-1408,-11662,7492
93,134,-10472,6098
94,2506,-2672,5578
96,2254,1110,5068
97,-430,2538,8262
99,-4230,-2314,9860
100,-5128,-5684,9254
101,-2806,-9866,6286
103,-294,-9588,8148
104,986,-5324,7314
105,-168,890,6076
107,-2154,1768,9412
108,-5374,-2728,9518
110,-5516,-8018,9172
111,-3118,-11606,5534
112,1688,-10706,6778
114,3434,-7606,5154
115,1830,726,4150
117,-130,3394,9640
118,-2702,-1030,9260
119,-5706,-4928,7952
121,-3948,-12084,7620
122,474,-10918,6578
124,2104,-8044,5952
125,2890,-716,4942
126,508,2208,5776
128,-2342,-1062,10376
129,-5800,-4286,9972
131,-4484,-9828,6050
132,-1894,-10732,7962
133,208,-8050,7174
135,226,-1132,5376
136,-448,666,5978
138,-3140,-2098,9942
139,-5590,-5372,9148
140,-3936,-9450,5394
142,984,-10798,6198
143,2376,-8334,6930
144,2764,-970,4646
146,-22,2540,5826
147,-2070,2872,10008
149,-5790,-3880,9180
150,-4302,-7926,7464
151,-1860,-11448,7224
153,2264,-9478,6748
154,3072,-844,4008
156,1262,2522,5450
157,-1424,2858,9266
158,-6412,-1350,10330
160,-5432,-6014,7996
161,-3928,-11408,7958
163,-770,-9592,8836
164,304,-6334,4944
165,818,124,5410
167,-1646,-222,9608
168,-5070,-2808,9138
170,-4030,-7776,7396
171,-1654,-10168,6148
172,1458,-9364,7536
174,1982,-2668,4716
175,476,2026,5022
177,-1302,3066,7984
178,-3910,-2782,8656
179,-3910,-6674,6328
181,-2314,-10286,7206
182,1784,-10524,6506
183,3036,-6738,4758
185,3742,1914,5092
186,-822,3612,6952
188,-4100,1112,11350
189,-6006,-4278,7796
190,-4828,-8436,7274
192,-3992,-10960,8622
193,626,-7622,7542
194,1790,-4868,5076
196,6,984,6226
197,-2698,306,7934
198,-4520,-5946,7804
200,-2864,-9200,6556
201,-1786,-9830,7062
203,1262,-7382,7376
204,2312,-4036,4950
205,1284,1650,7114
207,-2220,1012,8046
208,-4388,-1896,6994
209,-2974,-8964,7314
211,-1418,-11140,7480
212,1288,-7112,5732
214,3048,-3238,5142
215,1116,116,7582
216,-3346,1948,8186
218,-6182,842,10242
219,-6196,-8874,9164
221,-3524,-10904,6888
222,-1182,-9320,8996
223,2014,-5248,5472
225,2678,-1758,5468
226,-930,288,7920
228,-4076,696,8664
229,-4816,-8338,7860
230,-2734,-10366,7482
232,-78,-8134,7348
233,1226,-7018,7670
235,2216,-1918,5464
236,-1168,750,7146
237,-3142,-926,9350
239,-4574,-6370,6614
240,-2048,-9288,7218
242,618,-8064,5878
243,2366,-3312,5414
244,1564,-846,7834
246,-1900,3014,7198
247,-5814,1866,9626
249,-6942,-7638,9622
250,-4326,-10800,7306
251,-1484,-12574,8532
253,2220,-7368,6642
254,3180,-2940,4476
256,10,1660,6508
257,-3052,1360,9000
258,-4724,-5852,8106
260,-3650,-9756,6820
261,-1664,-10820,7896
263,1664,-7542,6476
264,2604,-3430,5570
265,1656,272,6202
267,-2502,902,7434
268,-3674,-1840,8408
269,-2854,-7994,6238
271,-708,-9678,5966
272,254,-6652,7764
274,2148,-1314,5782
275,-220,1508,7522
276,-4864,1952,9498
