timestamp,accX,accY,accZ
0,-5098,-2658,10892
2,-6776,-6286,9706
3,-4660,-9770,6722
4,42,-11264,7430
6,1488,-7696,7562
7,2998,-262,4898
9,1546,526,5766
10,-2602,1396,7834
11,-4132,-6206,8750
13,-3418,-10240,8884
14,-700,-7700,6012
16,1498,-6870,7684
17,1776,-3396,6114
18,-866,1528,7476
20,-3314,1326,8786
21,-5014,-5508,8182
22,-4248,-9590,8436
24,-1428,-11822,6214
25,1800,-6808,6460
26,2328,-3552,6354
28,204,3090,6964
29,-3730,1280,9492
31,-6776,-742,9102
32,-6638,-9142,7860
33,-2934,-13316,7416
35,404,-12986,6332
36,3392,-5538,5366
37,3038,-2084,4580
39,-620,1544,6602
40,-3552,404,9628
42,-4982,-6606,7716
43,-1910,-9960,6130
44,-718,-10300,7748
46,964,-4422,4878
47,1022,-1940,6558
48,628,-578,7044
50,-4010,596,7858
51,-5340,-4630,9308
52,-4500,-9228,6150
54,-536,-8924,6030
55,756,-9038,6598
57,1074,214,5886
58,-998,2322,6292
59,-3384,-918,10266
61,-6144,-2990,9812
62,-5152,-7682,6702
64,-880,-13386,7024
65,2080,-10894,7090
66,3962,-2076,3994
68,2522,586,4682
69,-694,2630,9308
70,-4262,-1512,9940
72,-5042,-5374,7688
73,-3252,-10784,7648
74,26,-9822,8814
76,2086,-6850,5092
77,1248,-288,5928
79,-320,1988,7250
80,-3740,-2088,8290
81,-4690,-5696,9012
83,-3600,-9314,6098
84,4,-8682,6426
86,852,-7562,7916
87,962,736,5830
88,-2002,1788,6844
90,-4620,-428,10342
91,-5738,-6232,9004
92,-3426,-10516,6594
94,-1260,-10978,6086
95,3610,-8056,6244
96,3670,-4072,4288
98,940,3450,5410
99,-2450,1342,9008
101,-4652,-3344,7534
102,-4168,-8574,7134
103,-2364,-11956,7968
105,1724,-7598,5440
106,1950,-5098,6182
108,2328,2176,5666
109,-2168,2442,6350
110,-4030,-956,10436
112,-4246,-7126,7458
113,-2406,-8762,6058
114,-1566,-7742,8150
116,582,-3292,6250
117,380,-1596,7582
119,-3326,236,7666
120,-4732,-1102,8206
121,-5444,-10022,8464
123,-1104,-11546,5246
124,940,-9850,7184
125,3440,-4512,6300
127,2716,-154,3750
128,794,2106,8310
130,-4108,154,9900
131,-6076,-2708,7144
132,-2846,-11168,7152
134,-710,-11218,7872
135,1400,-6340,5606
136,2664,-2286,4348
138,1908,1500,7590
139,-3884,250,8804
140,-6038,-1878,9872
142,-5390,-9032,7192
143,-2406,-9896,7328
145,-920,-9732,7918
146,774,-3098,5822
147,416,-610,5670
149,-1176,-624,8424
150,-4640,-2592,8592
152,-3710,-7838,7190
153,-300,-10362,5598
154,2464,-8504,6836
156,2770,-2710,5868
157,1032,1254,4944
158,-1460,386,10128
160,-5608,-2762,10452
161,-5216,-6048,6702
163,-2996,-12786,8746
164,1180,-10936,7082
165,2432,-3402,5118
167,1620,268,6586
168,-1102,3260,6628
169,-3646,-970,11378
171,-6392,-4934,9922
172,-5088,-7696,7650
174,-1474,-11866,9550
175,360,-7902,4900
176,1654,-1456,4682
178,236,-132,7094
179,-2032,-1060,7958
181,-3832,-5778,8160
182,-2732,-9794,5482
183,634,-9262,6304
185,2094,-7284,7274
186,2590,-3402,5424
187,-1040,2194,6990
189,-2952,1030,9468
190,-4988,-5416,7968
191,-3784,-8918,6784
193,-1928,-11182,7294
194,1920,-7920,7156
196,2758,-4260,4784
197,2172,3950,6772
198,-3094,2184,9068
200,-5818,-3232,9650
201,-5584,-7514,7770
203,-3938,-11362,8180
204,402,-8990,8050
205,1880,-6308,6652
207,2782,-3046,4960
208,-790,540,7092
209,-3886,30,8628
211,-4266,-8340,8064
212,-2512,-10618,7778
214,242,-6552,6926
215,2270,-5780,7692
216,1720,-2598,6042
218,76,1938,6924
219,-3676,-504,9418
220,-4724,-4646,7134
222,-2682,-9894,7348
223,184,-11332,6568
225,1672,-5090,5776
226,1810,-986,6346
227,-108,2128,7646
229,-5292,466,10470
230,-7196,-2068,10194
231,-6030,-10854,7732
233,-2260,-13222,7772
234,332,-7406,5882
236,3088,-3544,4608
237,1894,-524,5518
238,352,2042,6998
240,-4368,-1434,9256
241,-4466,-8468,7102
242,-1482,-10304,6144
244,590,-9946,7298
245,2208,-3328,4672
247,1138,434,6518
248,-190,1000,6898
249,-3724,-1300,7676
251,-4436,-6656,8578
252,-3792,-10368,5180
253,470,-8984,6458
255,1904,-2596,6566
256,-212,1966,5946
258,-1978,2460,10342
259,-6180,-1042,10078
260,-6158,-4888,8974
262,-5748,-13408,6486
263,292,-12392,7244
264,2154,-9450,5274
266,2842,-138,3984
267,1406,2312,5270
269,-1858,750,8970
270,-4828,-3448,9300
271,-4322,-7782,6378
273,-470,-10744,6684
274,1310,-9014,7784
