timestamp,accX,accY,accZ
0,-1968,930,8418
2,-4110,-1018,9254
3,-5130,-7064,7896
5,-2970,-12302,8012
6,-626,-8816,4924
7,2882,-7734,6708
9,3118,-4584,4556
10,-142,3806,6780
11,-3266,1428,9682
13,-5278,-630,7412
14,-3734,-10080,8182
15,-2296,-13140,8148
17,866,-6998,5596
18,2878,-5848,6376
20,2616,-478,5182
21,-2434,3038,6820
22,-4658,186,10500
24,-6060,-6732,7154
25,-3078,-10594,6716
26,-1420,-10834,8160
28,1226,-4684,6244
29,164,-1602,6620
31,-452,1232,7470
32,-4650,-1002,8538
33,-5140,-5882,7790
35,-1784,-10712,5944
36,778,-10426,6992
38,1886,-5360,5594
39,2158,596,5132
40,96,2936,8396
42,-4944,-1188,10440
43,-5518,-4050,7008
44,-4280,-11906,7106
46,150,-12530,7040
47,1892,-5156,4856
49,3148,-1002,5442
50,1116,1796,6664
51,-4862,2054,9638
53,-5778,-2596,11032
54,-5802,-9414,5978
56,-2612,-11760,8642
57,-1076,-9780,5816
58,1496,-3098,4756
60,866,-676,6534
61,-1448,718,7962
62,-4958,-3146,8326
64,-4186,-8726,6948
65,-424,-10042,4814
67,1100,-8878,7220
68,2466,-1914,4898
69,1112,1456,5460
71,-1610,1952,9784
72,-4562,-2894,8664
73,-4528,-6446,7776
75,-2650,-11926,5848
76,1888,-10006,6584
78,2850,-6526,5058
79,1044,1550,4694
80,-684,3576,6618
82,-4446,-840,10450
83,-6640,-3778,7962
84,-5088,-9804,8384
86,-842,-10344,8180
87,650,-8130,6612
89,1846,-2848,5096
90,668,1420,5614
91,-2370,1704,9412
93,-4584,-5710,8320
94,-3426,-7602,7502
95,-1178,-9506,6944
97,1960,-7154,5940
98,2212,-3820,6864
100,-202,920,6802
101,-2108,1782,7172
102,-3710,-4964,8436
104,-3464,-7920,7050
105,-1048,-11590,6794
107,2824,-7214,6424
108,2344,-2510,6026
109,788,1378,7918
111,-3756,2558,8938
112,-5856,-3234,9842
113,-6530,-9360,8898
115,-3382,-12160,7822
116,-1540,-9474,7412
117,2612,-6510,4998
119,2382,-2590,5526
120,-926,2068,8104
122,-3634,422,7678
123,-4260,-7644,9006
124,-2792,-9644,7182
126,-730,-9796,6854
127,2012,-5938,6032
129,2024,-2156,6426
130,-1346,330,7372
131,-2896,-1136,7866
133,-3916,-6678,8412
134,-2386,-10148,7124
136,-880,-9602,6502
137,2304,-5168,6596
138,812,-266,6454
140,-614,2012,8964
141,-5484,-166,10388
143,-6670,-7234,8176
144,-3880,-11744,7408
145,-1962,-12250,6772
147,2530,-7244,6032
148,3286,-3474,4510
149,2400,2576,6142
151,-3202,1096,8694
152,-4678,-2540,8822
154,-3180,-8610,6704
155,-2658,-10514,7542
156,80,-7010,5760
158,2306,-3772,6130
159,1914,-1528,6038
160,-2400,-358,6536
162,-3480,-1874,8970
163,-4482,-8268,7208
165,-1486,-8820,6042
166,562,-9008,7812
167,1176,-1366,6596
169,-6,1136,6436
170,-2158,966,8398
172,-5994,-1900,10514
173,-6542,-10170,7008
174,-1680,-11080,5790
176,958,-10848,7070
177,2800,-4850,4764
179,2820,148,3870
180,562,1726,8412
181,-4884,-1322,9976
183,-6208,-4368,6654
184,-2304,-9900,6848
186,-214,-11784,7292
187,2546,-5400,5892
188,2872,-2334,4702
190,1952,1280,6236
191,-3462,502,8142
192,-4928,-3238,10170
194,-4036,-8520,5584
195,-656,-8756,6082
196,18,-7954,8022
198,478,-1126,5408
199,-656,406,6244
201,-3178,-1406,9760
202,-5930,-4228,9048
203,-4908,-9516,7302
205,-116,-11014,6120
206,2158,-8426,6324
208,2520,-1984,4750
209,502,2740,5518
210,-1346,224,10054
212,-5862,-2652,9016
213,-4380,-6902,6524
214,-2896,-12616,7690
216,1756,-9334,5848
217,2964,-3482,5444
219,2480,732,5566
220,-578,3104,7688
221,-5388,-2720,11340
223,-4788,-5472,8598
224,-3792,-10608,8052
226,-678,-10014,9176
227,496,-5224,5918
228,-530,-966,7712
230,-2100,402,8088
231,-5612,-3064,8764
233,-5036,-8670,9132
234,-3490,-10070,5718
235,1416,-10064,6400
237,1866,-6994,5006
238,904,2106,5762
239,-1022,2550,7106
241,-3360,674,9622
242,-4700,-6392,7082
244,-3260,-9780,7028
245,1836,-11230,6478
246,3360,-7260,5618
248,4038,664,4944
249,516,3260,6282
250,-2790,1722,10194
252,-5052,-3628,9036
253,-5268,-8346,7716
255,-3668,-9936,8692
256,-414,-7150,8942
257,1052,-5326,5318
259,692,908,6652
260,-2382,624,8428
261,-5100,-1752,7664
263,-3624,-8900,7900
264,-1970,-10278,6870
266,412,-7400,6678
267,2268,-4846,6380
268,1934,1964,5930
270,-2496,1174,7910
271,-4680,-2176,8782
272,-3278,-8430,6584
274,-1318,-11040,6008
275,878,-8626,7566
