timestamp,accX,accY,accZ
0,-2434,-11826,7562
2,716,-9554,8518
3,2736,-5094,4514
4,1524,-176,6026
6,-666,778,6248
7,-3156,-4654,9512
9,-4100,-8374,8314
10,-2164,-8332,6004
11,614,-8320,9134
13,812,-5154,7204
14,1198,1518,7046
15,-3270,1084,8592
17,-5424,-210,9662
18,-5414,-8334,9166
19,-2996,-11462,6750
21,-694,-9906,7342
22,2972,-6874,6436
24,3128,-1510,4804
25,-864,2708,6790
26,-4098,812,9432
28,-5242,-6712,7848
29,-3924,-10606,6848
31,-1184,-12182,8114
32,2676,-7992,7424
33,3346,-3410,4148
35,2236,1660,5788
36,-2602,1128,8728
37,-4166,-1688,8266
39,-4970,-8794,7182
40,-1968,-9564,7018
41,-298,-8924,7770
43,116,-3282,8198
44,-34,190,6580
45,-1064,550,8466
47,-5604,-3472,10772
48,-5894,-6814,6534
50,-1170,-12126,5974
51,1030,-11382,6608
52,2226,-2620,6124
54,1146,-38,6148
55,-264,3036,8126
57,-5122,-1852,10344
58,-6170,-5472,9424
59,-4020,-12844,5940
61,382,-12034,7636
62,2692,-8726,5210
63,3396,-702,4440
65,1384,2210,5456
66,-1610,558,9664
67,-5690,-3702,9936
69,-5100,-7118,5930
70,-2036,-10680,8860
72,-116,-8906,8990
73,1076,-236,5774
74,-72,610,6926
76,-2812,-36,8360
77,-5584,-3994,9056
78,-4770,-9216,9010
80,-2164,-11596,5338
81,1418,-9808,7958
82,2494,-5096,7284
84,2032,2268,5444
85,-2314,676,8404
87,-4568,-52,8864
88,-4442,-8518,7186
89,-1996,-12196,6418
91,-100,-9502,7018
92,4136,-6366,5476
93,3466,-1806,3816
95,-318,4538,7192
96,-4280,252,10448
98,-5790,-4948,7398
99,-4080,-9566,7664
100,-2812,-11196,8108
102,422,-7148,8006
103,1806,-3904,6534
104,914,2390,5848
106,-4410,-1032,9462
107,-5768,-2906,8076
109,-2524,-9368,5782
110,-1808,-9784,6064
111,486,-7196,7846
113,2126,-2836,6170
114,1256,618,6164
115,-1296,812,8828
117,-5020,-2802,11228
118,-4868,-7598,4794
119,-86,-11966,6002
121,1700,-11596,7518
122,3006,-2562,4322
124,1800,506,5488
125,228,3448,8680
126,-6592,246,10746
128,-7072,-5048,9750
129,-4996,-11198,7234
130,-1494,-11616,7806
132,364,-9830,6516
133,2510,-1186,4584
134,536,1618,6112
136,-2406,654,9458
137,-4986,-3946,10148
139,-3912,-8926,5064
140,44,-10288,6200
141,662,-8994,8840
143,1584,-448,4350
144,324,954,6006
145,-1268,1012,9550
147,-4656,-5134,8384
148,-3368,-9398,6266
150,-1498,-11080,6126
151,2234,-8034,6638
152,2618,-4334,5360
154,184,2920,7356
155,-2720,3486,8974
157,-5756,-2452,9442
158,-6194,-8398,9502
159,-3594,-11784,6338
161,550,-9840,7024
162,1558,-6788,7660
163,2820,1538,4692
165,-686,2312,6218
166,-4056,920,10148
167,-4898,-6564,7774
169,-3780,-10134,6866
170,-1256,-9912,7540
172,1796,-7052,7200
173,2146,-3012,5128
174,-650,76,6658
176,-2008,788,8148
177,-4446,-7854,7544
178,-2248,-8862,5860
180,246,-10374,6838
181,1880,-5112,6488
183,1972,-1012,5716
184,218,1672,7020
185,-4702,2304,9696
187,-7050,-1832,10954
188,-6342,-9798,7190
189,-1788,-12258,6470
191,294,-11980,7022
192,3224,-2888,4506
193,2108,568,4904
195,-464,2104,8024
196,-5806,-1028,11260
198,-5944,-6126,6320
199,-2558,-10502,5914
200,-544,-11882,8688
202,1390,-5300,4728
203,2514,-960,3980
204,1486,468,7548
206,-3194,382,8156
207,-4072,-4830,8622
209,-3362,-8608,5418
210,554,-8026,5952
211,1082,-7264,6710
213,500,474,6034
214,-1102,1950,8934
216,-6184,-1256,10492
217,-5930,-5198,8876
218,-4734,-11968,6832
220,318,-11736,6558
221,1274,-8786,5700
222,2246,-426,5310
224,-138,1540,5254
225,-2324,2410,10626
227,-6384,-3224,9294
228,-4998,-8086,6820
229,-872,-12176,7174
231,1082,-9416,7402
232,3036,-3244,4236
234,2750,1072,4050
235,-234,1108,8568
236,-3822,-2960,8980
238,-4264,-6080,7024
239,-540,-10034,6696
241,158,-8178,6980
242,1160,-1774,7876
243,-760,-134,7044
245,-2044,1936,8478
246,-4470,-4530,10494
247,-5606,-7444,9192
249,-3350,-11442,6164
250,1150,-10302,7858
252,2482,-6116,5196
253,186,1038,6678
254,-1466,2518,7668
256,-4192,-2376,9152
257,-6154,-6486,9230
259,-3544,-11002,5974
260,1146,-10884,7198
261,3240,-8372,6296
263,3984,808,4040
264,622,1832,6278
265,-1658,1894,8958
267,-5102,-5114,9614
268,-4250,-8222,7010
269,-2130,-9438,8624
271,474,-7840,9208
272,406,-3592,4668
274,-818,764,6722
