timestamp,accX,accY,accZ
0,918,-8616,6310
2,2348,-1258,6280
3,74,2472,5272
4,-2672,2462,9802
6,-5732,-2462,9974
7,-5320,-6718,8022
9,-3980,-13220,7064
10,1678,-11012,6218
11,3868,-7700,4608
13,2786,730,4340
14,-142,2480,5888
15,-2152,-1116,9796
17,-5378,-4130,8622
18,-3582,-8138,7644
20,-162,-10804,8040
21,1516,-6918,6392
22,1100,-1530,6396
24,-350,1936,6612
25,-2822,1644,8896
26,-5076,-5562,9772
28,-4066,-8340,8052
29,-1612,-9592,6964
31,1096,-8046,7232
32,1412,-3094,6236
33,394,916,7446
35,-3970,716,8302
36,-5608,-5744,9972
37,-3848,-10736,7544
39,-1352,-12190,5648
40,3442,-8934,6260
42,3170,-4992,3974
43,1130,3366,5380
44,-2086,2350,7790
46,-4074,-3008,9014
47,-4512,-8120,6438
49,-2948,-10512,8482
50,726,-9056,7392
51,1490,-5604,5670
53,2286,1454,6668
54,-1616,1636,7024
56,-4396,536,10010
57,-4610,-7738,9206
58,-2918,-9092,6334
60,-1400,-9134,8494
61,506,-5114,7774
62,1154,-1710,6430
64,-2358,570,7706
65,-4210,-978,8936
67,-5602,-8534,7616
68,-1872,-11708,6648
69,254,-11690,5582
71,3770,-5338,6138
72,3368,-1616,4492
73,928,2778,8160
75,-3808,1072,9654
76,-5500,-1326,6814
78,-3900,-10634,8550
79,-1902,-12168,6782
80,1552,-6476,5398
82,2640,-3862,5446
83,1416,2242,6672
85,-3534,656,8426
86,-5792,-2098,8714
87,-4680,-9192,7712
89,-2806,-10548,7882
90,-728,-6836,7142
92,1084,-3950,6176
93,414,-406,6736
94,-2552,-102,7564
96,-4496,-2358,8016
97,-2682,-10124,7146
99,-292,-10794,6048
100,2260,-6192,5954
101,3400,-2426,4826
103,1378,992,6672
104,-3108,1862,9392
105,-5012,-1166,10068
107,-5788,-8804,6730
108,-2300,-11170,8296
110,84,-11586,6070
111,1904,-4028,3936
112,1890,216,5458
114,-378,1566,8220
115,-5532,-72,9790
116,-5930,-3804,7848
118,-3236,-9986,7442
119,-1870,-11458,8648
121,-202,-5518,5622
122,1818,-2256,4548
123,536,-510,6840
125,-3940,-260,7984
126,-3790,-4526,8098
128,-1618,-10210,6410
129,842,-8518,4860
131,1858,-5628,5902
132,1938,-360,5208
133,-262,1910,9178
135,-4904,-1142,10396
136,-5598,-3810,7426
137,-2528,-11108,7600
139,-316,-10762,7174
140,1190,-5986,5610
142,2482,-1314,5322
143,508,2890,7818
144,-5964,648,10696
146,-6448,-3054,10518
147,-5422,-9760,7314
149,-2420,-12266,8576
150,28,-9854,6004
151,2804,-3350,4600
153,1762,-294,5338
154,264,144,7490
155,-3460,-2330,8386
157,-3722,-7474,7958
158,-284,-9882,5680
160,760,-7712,6638
161,1428,-1938,6664
162,168,240,7138
164,-1534,542,8706
165,-5154,-3994,8958
167,-4832,-6590,7324
168,-962,-10650,6658
170,1304,-9190,5916
171,2480,-1618,5834
172,176,2118,6808
174,-1714,1620,9394
175,-6342,-2350,10232
177,-6818,-6116,7330
178,-2260,-12354,6922
179,-166,-11722,7948
181,2302,-3848,4530
182,2566,-1098,4406
183,1670,1462,7034
185,-3298,294,7584
186,-4360,-6086,9008
188,-4438,-9250,5414
189,62,-7830,6438
190,1668,-8032,6320
192,866,-360,5872
193,-24,1076,8184
194,-3852,-1410,7874
196,-5266,-4896,8432
197,-3888,-10624,6448
199,376,-8938,5854
200,1778,-7322,6698
201,474,700,6238
203,-1144,2186,6980
204,-4144,-1244,10246
206,-6422,-3858,8892
207,-5854,-13066,6980
209,-654,-12042,6982
210,2060,-9916,5850
211,2880,-1914,4822
213,1872,1766,6496
214,-3348,372,8882
215,-4660,-2874,9798
217,-4714,-9436,6400
218,-918,-10880,7376
220,1230,-9216,5612
221,1774,-2016,6420
222,1340,-484,6594
224,-942,610,7112
225,-4774,-3720,9566
227,-4876,-9162,6296
228,-1524,-9426,6158
230,286,-9188,7344
231,776,-696,6284
232,-754,1234,7244
234,-3416,-130,9388
235,-5838,-4170,9714
236,-5554,-12198,6500
238,-754,-12416,5788
239,2080,-10970,6408
241,3558,-2848,4928
242,2318,1854,4076
243,-286,1320,9328
245,-4598,-1264,10242
246,-4950,-5260,6182
248,-2084,-11278,7438
249,92,-11138,8164
250,2308,-7178,5338
252,2298,-76,5046
253,118,2812,7858
254,-4642,-1424,8896
256,-5454,-5198,9636
257,-4360,-9684,6554
259,-258,-10526,7146
260,278,-2734,7364
261,438,280,6262
263,-1570,1726,8752
264,-3422,-2116,9450
266,-5568,-5236,8598
267,-2998,-11166,6412
268,1456,-10368,4986
270,3338,-6864,6114
271,2724,-470,4768
273,460,4068,5632
274,-2200,-1042,10520
275,-5856,-4250,8188
277,-4492,-8578,8074
