timestamp,accX,accY,accZ
0,-4810,-8806,7576
2,-918,-11042,7516
3,1502,-8950,7154
5,2080,-1194,5484
6,1392,1706,5828
7,-2496,2756,9084
9,-5904,-3862,10534
10,-5282,-7294,9020
12,-3340,-10344,7540
13,-132,-10108,8718
14,1164,-5624,5442
16,428,310,6236
17,-1652,36,8260
18,-4694,-3502,7964
20,-3432,-9126,7868
21,-1754,-10044,5386
23,2606,-8130,5588
24,2810,-1490,5734
25,496,2924,5562
27,-2190,3690,10262
28,-4376,-2666,8958
30,-4864,-7328,6790
31,-3320,-12662,8302
32,1232,-9908,5994
34,2824,-6018,5458
35,1360,1828,6210
37,-1896,3378,9294
38,-6188,-2190,10574
39,-5966,-4952,9032
41,-4992,-12070,8040
42,16,-11316,8284
44,1124,-6476,5902
45,1806,-1252,5252
46,-534,580,6604
48,-1632,-1340,8030
49,-3700,-6740,7856
51,-2752,-10376,6210
52,1606,-8348,5566
53,2696,-6246,6510
55,2446,924,6232
56,-1384,2736,7392
57,-3114,1310,9644
59,-5064,-6274,8118
60,-3968,-9614,7078
62,-1450,-11322,6892
63,2076,-7754,6272
64,2346,-3480,5724
66,-1374,3206,7760
67,-3836,2328,8236
68,-6344,-5188,10658
70,-5522,-9034,7920
71,-3508,-10708,7614
73,980,-9948,8626
74,2336,-6000,5320
75,2850,842,5524
77,-986,570,7478
78,-3302,166,8274
79,-3660,-9086,8534
81,-1430,-10188,5964
82,534,-7604,7150
84,1698,-4982,7186
85,1804,1502,6518
86,-2402,1462,8260
88,-4728,-868,8976
89,-3916,-7662,7288
91,-2464,-11222,6454
92,-332,-7978,6594
93,2030,-5198,6662
95,1580,3384,6722
96,-3196,2758,8044
98,-5964,1092,10518
99,-5842,-7002,7572
100,-3618,-11408,7378
102,-1198,-10790,7106
103,3086,-6616,5264
105,3504,-3588,5216
106,280,2466,5380
107,-2358,2644,7556
109,-4694,-7060,8892
110,-3562,-8260,6192
111,-1282,-9998,7996
113,1348,-7040,6412
114,2080,-2382,4764
116,596,802,8462
117,-3154,844,7246
118,-4582,-2254,7824
120,-3650,-9280,8172
121,-1510,-10502,6050
123,464,-7296,7346
124,1608,-1738,6300
125,-442,2280,7716
127,-4788,340,9792
128,-6068,-2192,10764
129,-5564,-10358,7016
131,-1594,-14122,7432
132,1204,-11784,5556
134,3818,-4508,4268
135,2916,-12,5008
136,426,2860,7558
138,-4040,-126,9542
139,-5296,-4362,7478
140,-2036,-10478,6292
142,-450,-11176,7498
143,952,-4298,4768
145,1646,-860,5828
146,972,1214,7852
147,-4434,-968,8258
149,-4696,-4098,9370
150,-2176,-9538,6208
151,-408,-8528,5822
153,202,-4654,7522
154,564,272,6506
156,-1238,1410,8146
157,-6020,-2232,11116
159,-6300,-5708,10064
160,-4424,-12314,6028
161,180,-11930,6430
163,2542,-6210,5528
164,2938,-1738,4514
165,1758,2260,6690
167,-4206,896,10272
168,-5524,-3108,9926
170,-4690,-6654,6320
171,-894,-10970,7808
172,250,-10192,5400
174,2558,-3002,5022
175,1838,522,5636
176,-1026,2446,8508
178,-5400,-3110,10220
179,-5132,-6222,9676
181,-3282,-9388,6596
182,-512,-9768,9026
183,450,-5726,6242
185,-36,-896,6892
186,-2104,404,8066
187,-5404,-2848,9110
189,-5160,-8154,9302
190,-2382,-11350,5214
192,1646,-8986,5960
193,3340,-6856,4512
194,1632,1650,4624
196,-402,3238,7212
197,-3456,-1332,9022
199,-5078,-5636,7614
200,-3870,-12054,7776
202,884,-10456,6876
203,2230,-7424,5022
204,2556,-292,6028
206,-168,2710,7944
207,-5402,-748,9560
208,-5872,-3832,9782
210,-5018,-10110,6966
211,-1706,-10170,8520
213,658,-8104,6374
214,442,-1608,5696
215,-406,398,6860
217,-2654,-2010,8246
218,-4318,-5098,7716
220,-3696,-11592,6414
221,1040,-9058,5772
223,3294,-7454,6032
224,2038,-474,5254
225,-404,2562,5766
227,-2676,-1736,10156
228,-5572,-4376,8038
229,-4042,-8738,8132
231,-190,-12214,8318
232,2640,-8056,5180
234,2552,-1458,5906
235,196,1858,6958
236,-2542,3006,9638
238,-6642,-3846,11238
239,-6196,-6058,7840
240,-3928,-12022,9202
242,-92,-9556,8648
243,1432,-4736,4666
245,942,-916,6426
246,-1312,-484,7674
247,-3454,-3186,8068
249,-3302,-8574,8464
250,-1710,-10282,5700
251,1840,-8116,7252
253,2596,-5364,6822
254,2236,1776,5898
256,-2754,2478,8198
257,-3890,-3748,8576
259,-4330,-7342,6676
260,-2390,-9944,8276
261,1708,-9852,6722
263,2966,-5420,4690
264,708,2068,6344
266,-2192,2784,8438
267,-4994,-648,10284
268,-6014,-5830,8434
270,-4844,-10314,8148
271,-116,-10478,6810
272,1264,-8052,7710
274,2376,-778,4526
275,308,974,5804
276,-2734,226,9526
