timestamp,accX,accY,accZ
0,694,-7298,7426
2,752,-1702,6154
3,-842,1630,6168
4,-2236,-2294,9702
6,-4434,-6022,9710
7,-1828,-8616,5816
9,1572,-10260,5342
10,2680,-6842,5464
11,2302,-478,5640
13,-258,2666,6598
14,-4012,2846,10034
16,-7384,-5644,11120
17,-5578,-9452,10054
18,-2550,-10838,6510
20,1748,-8910,7992
21,2402,-5356,4452
22,254,3288,4756
24,-2738,3308,6562
25,-5464,-5094,11412
26,-6502,-9200,9442
28,-3862,-11094,6266
29,2182,-11202,8138
31,3300,-6634,7040
32,4574,-3078,4452
33,1364,3574,4394
35,-2726,3128,6360
36,-5132,-7224,10270
37,-4962,-9258,8526
39,-1364,-10164,7050
40,908,-7844,8436
42,2364,-3188,7682
43,2214,2294,5554
44,-1828,2482,6146
46,-4414,-546,10574
47,-5224,-8676,9110
48,-3268,-9830,5360
50,-1350,-8238,9448
51,-580,-6592,9028
53,488,482,6040
54,-1338,202,7592
55,-3402,-2368,8920
57,-4214,-8020,8162
58,-360,-10474,4664
59,598,-8456,5928
61,572,-4654,7644
62,-360,-1798,6962
63,-310,684,7406
65,-3824,-2868,9718
66,-3086,-6242,6914
68,636,-10192,5264
69,1848,-9144,5466
70,1162,-3098,5458
72,240,526,6232
73,-1820,1734,8742
75,-6814,-1830,10718
76,-7020,-6240,10238
77,-4446,-11440,7024
79,698,-10088,6474
80,1920,-4804,5418
81,1732,-392,5458
83,-18,2910,6966
84,-6468,-1354,10240
86,-7366,-6576,11012
87,-5426,-11796,5562
88,876,-12152,7324
90,2382,-10136,5392
91,4834,-702,4422
92,2690,2928,4460
94,-460,4440,7472
95,-6498,-3524,10484
97,-6812,-7924,10856
98,-3746,-11148,5628
99,550,-10476,8476
101,1518,-6342,6716
102,3036,1146,4890
103,320,3354,5240
105,-3848,-2204,9516
106,-6750,-6650,10418
108,-5066,-9788,4986
109,-1120,-9550,7558
110,-604,-8942,7958
112,1058,-652,5476
113,822,916,6284
114,-1396,-38,8468
116,-3776,-5314,8898
117,-2476,-9028,7140
119,-1068,-8086,5284
120,210,-7258,6948
121,372,-4268,6420
123,-706,1336,6440
124,-2212,-108,8260
125,-3184,-5464,8482
127,-1550,-8436,6378
128,220,-9330,5798
129,668,-6122,6734
131,-64,-2248,6840
132,-694,1696,7630
134,-5392,54,9464
135,-6238,-3080,10336
136,-2762,-10288,8084
138,-410,-10442,6094
139,1288,-7268,6852
141,2216,-3710,6038
142,1468,566,5930
143,-3962,1652,8394
145,-5946,-3108,10842
146,-6960,-10076,7064
147,-594,-11866,6010
149,1816,-11642,6860
150,4502,-4000,5152
151,3690,716,3962
153,1574,4220,6290
154,-5576,-206,9108
156,-7908,-4588,9030
157,-3208,-11050,5394
158,-608,-11734,6796
160,734,-5490,8978
161,3266,-1596,5532
163,1842,3524,5294
164,-4484,462,7718
165,-7376,-2940,11402
167,-6468,-10488,6164
168,-2500,-10482,5904
169,-272,-10984,8590
171,2634,-3952,5872
172,3096,-6,5878
174,1262,164,7326
175,-3736,-1514,8100
176,-3980,-6320,7188
178,-1056,-8430,4636
179,-68,-7934,5522
180,172,-3672,8132
182,786,718,6080
183,-636,22,8120
185,-3156,-3376,10160
186,-3342,-6094,5666
187,-1074,-8678,5002
189,472,-8726,6912
190,-268,-2106,6798
192,-1246,698,6232
193,-3010,968,9982
194,-5688,-3590,10760
196,-5072,-7160,8878
197,-1592,-10502,6116
198,1932,-9160,6552
200,1736,-6192,5120
201,14,1040,4668
202,-1230,2676,6816
204,-4382,-3632,10822
205,-4678,-7794,8318
207,-2308,-10460,6526
208,3032,-10346,6412
209,3402,-6906,6152
211,4372,2018,4050
212,-374,4550,5230
214,-3872,3388,11206
215,-8456,-6338,11788
216,-5422,-9364,7748
218,-2720,-11742,7254
219,1338,-8442,9272
220,2782,-4622,4292
222,1520,3524,4500
223,-2050,2874,5462
224,-6152,-5286,11550
226,-6768,-9684,9734
227,-3838,-10734,6064
229,28,-10830,8978
230,1914,-7756,8230
231,3940,1660,4926
233,1114,1388,5412
234,-2914,1106,9332
236,-4182,-7518,9258
237,-2744,-8964,5850
238,-810,-8872,7590
240,318,-7560,9308
241,1286,-2102,5568
242,-788,1160,6602
244,-2624,68,8476
245,-4042,-6698,8318
247,-2550,-7546,5918
248,-484,-8796,7320
249,-1112,-6270,8442
251,-356,-2090,6988
252,-1402,-66,7340
253,-4678,-1790,10158
255,-5510,-4666,8762
256,-1378,-10206,6420
258,1042,-9654,4274
259,1720,-5870,7022
260,1306,-2600,6128
262,-248,2426,6266
263,-4476,-576,9382
265,-5498,-4628,8908
266,-4104,-11004,7106
267,1564,-11022,5118
269,2792,-6058,6426
270,3326,-2282,5656
271,696,2424,5168
273,-1124,2070,8762
274,-8068,-3084,12224
