timestamp,accX,accY,accZ
0,1678,-11306,8060
2,2472,-3536,5510
3,3098,924,4406
4,478,3768,6744
6,-6000,-556,10246
7,-8032,-5976,11956
9,-6298,-9954,5926
10,-1312,-11312,8246
11,-316,-9512,7474
13,2538,-1072,5370
14,1784,1710,5816
15,-786,-924,8070
17,-4714,-4442,8770
18,-4128,-8370,6236
19,-2996,-9538,5362
21,-182,-7792,7852
22,716,-6100,6466
23,774,444,7028
25,-948,516,6552
26,-1672,-5114,8062
28,-2246,-7404,7554
29,-1010,-8168,5028
30,-228,-6576,7706
32,-200,-4938,7450
33,-584,1488,6916
34,-2804,220,8594
36,-5532,-2226,8940
37,-2996,-7788,7800
39,-1110,-10662,6314
40,778,-7850,6414
41,1072,-5352,6776
43,274,-1362,6054
44,-3778,1542,9562
45,-6210,-1912,11270
47,-6090,-9190,7286
48,-1026,-11842,6758
50,1858,-12112,5894
51,3056,-4418,4994
52,3912,-1198,3612
54,1294,2474,5756
55,-5768,760,10374
56,-7124,-4154,11072
58,-5624,-10832,6898
59,408,-11762,5708
61,1820,-8826,7712
62,4176,-2314,4634
63,1702,2532,4358
65,-5022,2974,8114
66,-7892,-2774,11960
67,-8278,-9268,7594
69,-2894,-11468,5982
70,-360,-11172,9058
72,2678,-4222,6808
73,3066,236,4740
74,1886,808,6004
76,-4490,-1194,8242
77,-5922,-5798,8390
78,-1380,-9994,4562
80,-238,-8782,6168
81,526,-4714,8202
83,2260,-1038,6148
84,1802,1656,6208
85,-2572,-1148,8118
87,-3858,-5358,8844
88,-2906,-8516,4776
89,-604,-7988,6340
91,-724,-7256,8060
92,-616,-932,7210
94,-1206,576,7334
95,-2976,-2172,9942
96,-4568,-5926,9148
98,-2926,-8398,5474
99,340,-9272,5826
101,552,-8110,6962
102,578,-866,6714
103,-986,960,6874
105,-3786,1414,10008
106,-4640,-6016,8942
107,-2736,-9546,7654
109,482,-10290,5484
110,3100,-7354,4930
111,3528,-3594,5250
113,324,2692,4956
114,-3122,3330,7478
116,-5888,-4832,11244
117,-4898,-9428,8440
118,-1414,-10776,7120
120,2274,-9284,8076
121,3366,-5028,5992
123,3026,2566,4910
124,-3006,3504,6738
125,-6574,1522,12070
127,-8058,-8124,10384
128,-3956,-10624,6886
130,-1314,-11326,9888
131,2608,-7212,7494
132,3548,690,3518
134,984,2346,5020
135,-3204,1420,8812
136,-6080,-7514,9872
138,-3884,-10276,7428
139,-1708,-10204,7056
141,1244,-7172,7584
142,2234,-3728,5438
143,1032,1986,5876
145,-1370,1434,6266
146,-3344,-6022,9472
148,-4208,-8790,8176
149,-2310,-8062,6252
150,-842,-7648,8016
152,-432,-4142,9000
153,-276,764,7132
154,-2376,-302,7272
156,-3964,-2594,9696
157,-2692,-9252,7584
159,-890,-9518,4930
160,556,-7494,7374
161,-346,-4432,7628
163,-406,-1026,6952
164,-2900,722,8508
165,-3706,-2918,10202
167,-4574,-9272,6752
168,864,-11068,5478
170,2534,-9022,5428
171,1434,-2922,5232
172,834,468,5648
174,-708,1900,8306
175,-6304,-884,9940
176,-6212,-6124,9044
178,-1216,-10706,6352
179,1406,-9794,6836
180,2326,-3920,6152
182,1920,-324,4496
183,-852,3530,8044
185,-6960,-804,10552
186,-8614,-5192,11608
187,-6046,-11032,6738
189,-222,-13026,7856
190,2052,-9858,6454
192,4450,-1734,3614
193,3068,2288,4460
194,-1042,1164,7408
196,-6190,-3752,10338
197,-6170,-8812,6460
198,-614,-11020,5728
200,846,-10162,8298
201,1750,-2136,5830
203,2514,860,5772
204,494,2368,6284
205,-5422,-1482,8274
207,-5636,-7476,10534
208,-4770,-8556,5524
209,-704,-9354,6856
211,-1212,-7308,8508
212,958,-118,6242
213,-552,866,6638
215,-1908,-3050,8960
216,-3776,-6336,8094
218,-2844,-8844,6032
219,362,-9040,5108
220,136,-6362,6702
222,450,-1236,7992
223,-932,1742,7166
224,-1976,400,9696
226,-3728,-6846,7938
227,-834,-8806,6418
229,638,-8116,5026
230,1414,-5074,6032
231,770,-1994,5610
233,166,1908,7824
234,-4762,1472,8462
235,-5980,-2002,9362
237,-3170,-9898,8490
238,-234,-10838,6350
239,1328,-7028,6398
241,2394,-3404,4992
242,542,2630,6588
244,-5116,2052,8610
245,-7552,-2462,11052
246,-4736,-9854,8032
248,-1530,-11294,6526
249,1616,-9270,7556
251,4744,-4996,5134
252,4246,188,3320
253,1686,2446,5326
255,-4716,-212,9448
256,-7224,-5878,8774
257,-2110,-10086,4994
259,124,-11574,6884
260,1168,-4868,7594
261,3138,-1362,5136
263,2638,3334,5256
264,-4586,1186,8140
266,-6462,-3486,10066
267,-6722,-9746,6718
268,-2138,-9822,6256
270,-1620,-9436,8410
271,1496,-2992,7752
273,1408,130,6348
274,276,-712,6928
